NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID2	na	3056	0.16395722329616547	-0.117318526	No	
row_1	NR1H4	na	4146	0.12916140258312225	-0.14554708	No	
row_2	AACS	na	4870	0.10812609642744064	-0.1599936	No	
row_3	CDK4	na	5104	0.10251936316490173	-0.1516593	No	
row_4	ARRDC3	na	5135	0.10152450203895569	-0.1336323	No	
row_5	SELENOM	na	5683	0.08760153502225876	-0.14344944	No	
row_6	DYRK1B	na	6469	0.06983086466789246	-0.16826539	No	
row_7	CSF1	na	7396	0.05215127766132355	-0.2033399	No	
row_8	AMER1	na	8403	0.033438898622989655	-0.2459013	No	
row_9	SH3PXD2B	na	8479	0.0322188101708889	-0.24336849	No	
row_10	TRPM4	na	8535	0.03121720813214779	-0.24005419	No	
row_11	TBL1XR1	na	9139	0.019896378740668297	-0.26559386	No	
row_12	ATF2	na	9178	0.01928992196917534	-0.26374128	No	
row_13	LEP	na	9257	0.017596110701560974	-0.26416138	No	
row_14	DGAT2	na	9371	0.015240900218486786	-0.2667376	No	
row_15	PAXIP1	na	10168	0.0010186544386669993	-0.3052976	No	
row_16	FTO	na	10262	-5.956180393695831E-4	-0.30971128	No	
row_17	KLF7	na	10851	-0.010687621310353279	-0.33628824	No	
row_18	ARID5B	na	11803	-0.028624720871448517	-0.37709588	No	
row_19	PLAAT3	na	12266	-0.03703911229968071	-0.39248002	No	
row_20	UBB	na	14085	-0.07216878980398178	-0.46714175	No	
row_21	SPTLC2	na	14129	-0.07282165437936783	-0.4552572	No	
row_22	GHRL	na	14685	-0.08492781221866608	-0.4659771	No	
row_23	PIK3CA	na	14693	-0.08510924875736237	-0.44998118	No	
row_24	SIRT1	na	14769	-0.08667280524969101	-0.43699592	No	
row_25	SPART	na	15185	-0.09619506448507309	-0.43873677	No	
row_26	ZNF516	na	16496	-0.12963752448558807	-0.47763395	Yes	
row_27	LRP5	na	17023	-0.14594489336013794	-0.47522965	Yes	
row_28	BBS4	na	17258	-0.15349137783050537	-0.45715994	Yes	
row_29	PPARD	na	18044	-0.18434984982013702	-0.45999396	Yes	
row_30	EBF2	na	18161	-0.18970640003681183	-0.4292276	Yes	
row_31	LRP5L	na	18911	-0.23041027784347534	-0.42146757	Yes	
row_32	SOX8	na	18963	-0.23316699266433716	-0.37919423	Yes	
row_33	OXCT1	na	19952	-0.32542872428894043	-0.3648318	Yes	
row_34	PPARGC1A	na	20040	-0.338614284992218	-0.30407065	Yes	
row_35	ACAT1	na	20061	-0.341868132352829	-0.23942283	Yes	
row_36	RORC	na	20196	-0.368909627199173	-0.17513481	Yes	
row_37	SLC25A25	na	20462	-0.44970929622650146	-0.1017154	Yes	
row_38	CASR	na	20557	-0.5588219165802002	9.737893E-4	Yes	
