NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APELA	na	1740	0.22549216449260712	-0.028164478	No	
row_1	ITGB1BP1	na	3655	0.14358428120613098	-0.08531222	No	
row_2	BMPER	na	5150	0.10111390054225922	-0.13266593	No	
row_3	HMOX1	na	5526	0.09132420271635056	-0.12803268	No	
row_4	PDCD10	na	8098	0.039003755897283554	-0.24334118	No	
row_5	BMP4	na	12535	-0.04208683967590332	-0.44860953	No	
row_6	MIR23A	na	13410	-0.05812399834394455	-0.47656938	No	
row_7	JCAD	na	14851	-0.08842514455318451	-0.52447456	No	
row_8	VEGFA	na	15397	-0.10082273930311203	-0.5257324	No	
row_9	THBS1	na	16086	-0.11773132532835007	-0.52971154	Yes	
row_10	ACVRL1	na	16313	-0.12408116459846497	-0.5096237	Yes	
row_11	SEMA5A	na	17428	-0.16004301607608795	-0.52372855	Yes	
row_12	MIR10B	na	17658	-0.1681150645017624	-0.49275604	Yes	
row_13	MIR126	na	17711	-0.17026178538799286	-0.45263475	Yes	
row_14	APLNR	na	17903	-0.1786029040813446	-0.41718635	Yes	
row_15	DLL4	na	18197	-0.1914881467819214	-0.38347244	Yes	
row_16	NRARP	na	18353	-0.19897286593914032	-0.3411699	Yes	
row_17	PPP1R16B	na	18396	-0.201459139585495	-0.29274708	Yes	
row_18	MIR27B	na	18459	-0.20471930503845215	-0.24448057	Yes	
row_19	EPHA2	na	18779	-0.2216883897781372	-0.20446631	Yes	
row_20	GATA2	na	19827	-0.30886930227279663	-0.17803015	Yes	
row_21	NGFR	na	20052	-0.3406277000904083	-0.10359948	Yes	
row_22	AGTR1	na	20538	-0.5153312087059021	0.0018972773	Yes	
