NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	na	1792	0.22299571335315704	-0.02160854	No	
row_1	HSD17B10	na	3040	0.16461215913295746	-0.03387133	No	
row_2	BCKDK	na	5015	0.1044149249792099	-0.09919226	No	
row_3	HIBADH	na	7960	0.0413043387234211	-0.23024744	No	
row_4	MCCC2	na	9018	0.02218640223145485	-0.27513817	No	
row_5	BCAT2	na	10656	-0.007627634797245264	-0.35252035	No	
row_6	PPM1K	na	12686	-0.044804345816373825	-0.43804052	No	
row_7	DLD	na	12812	-0.04704803600907326	-0.43028963	No	
row_8	BCKDHA	na	14602	-0.08305706828832626	-0.49289078	No	
row_9	DBT	na	16896	-0.14132243394851685	-0.56287813	Yes	
row_10	MCCC1	na	17285	-0.15449756383895874	-0.5363322	Yes	
row_11	IVD	na	18328	-0.1979161947965622	-0.5288331	Yes	
row_12	ACAD8	na	18781	-0.22202445566654205	-0.48554888	Yes	
row_13	BCKDHB	na	18839	-0.22639502584934235	-0.42176685	Yes	
row_14	HIBCH	na	19097	-0.24163296818733215	-0.36323333	Yes	
row_15	AUH	na	19746	-0.30018335580825806	-0.3065059	Yes	
row_16	ACADSB	na	20004	-0.3328312039375305	-0.22116233	Yes	
row_17	ACAT1	na	20061	-0.341868132352829	-0.123385414	Yes	
row_18	ALDH6A1	na	20533	-0.5049240589141846	0.0021401173	Yes	
