NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C10orf99	na	35	0.5245245099067688	0.012046425	Yes	
row_1	CEBPB	na	86	0.47772419452667236	0.022127677	Yes	
row_2	SERPINE1	na	180	0.425011545419693	0.028713008	Yes	
row_3	SLPI	na	183	0.42431989312171936	0.039750833	Yes	
row_4	FGA	na	188	0.4218197166919708	0.050624784	Yes	
row_5	IL23A	na	203	0.418400377035141	0.060917716	Yes	
row_6	SLAMF8	na	269	0.39553549885749817	0.06810505	Yes	
row_7	FGB	na	326	0.3799058794975281	0.075324334	Yes	
row_8	IGHG2	na	407	0.3600960075855255	0.08084465	Yes	
row_9	PLA2G1B	na	425	0.35662776231765747	0.08936901	Yes	
row_10	RIPK2	na	459	0.34875571727752686	0.09690072	Yes	
row_11	LBP	na	525	0.336690753698349	0.10254369	Yes	
row_12	F2	na	579	0.3301905393600464	0.10860561	Yes	
row_13	CXCL13	na	589	0.32815220952033997	0.116775654	Yes	
row_14	IGHV2-5	na	601	0.3257356286048889	0.12478403	Yes	
row_15	WFDC12	na	655	0.31717023253440857	0.13050424	Yes	
row_16	IGHV3-7	na	665	0.31610754132270813	0.13835818	Yes	
row_17	CCL20	na	706	0.31065183877944946	0.14454597	Yes	
row_18	PYCARD	na	727	0.3081575036048889	0.15165086	Yes	
row_19	IGHA2	na	746	0.30635905265808105	0.15880682	Yes	
row_20	IGLC2	na	904	0.2895149290561676	0.15869191	Yes	
row_21	ROMO1	na	926	0.2873368263244629	0.16520125	Yes	
row_22	IGKC	na	941	0.2859087884426117	0.172017	Yes	
row_23	IL22RA1	na	968	0.2833312749862671	0.17817557	Yes	
row_24	SSC5D	na	978	0.28261762857437134	0.18515058	Yes	
row_25	IGHV3-23	na	987	0.2817308306694031	0.19215146	Yes	
row_26	IGKV3-20	na	993	0.28093045949935913	0.19927871	Yes	
row_27	IGHV3-74	na	997	0.2804419994354248	0.2064914	Yes	
row_28	IGHV2-26	na	1008	0.27937519550323486	0.21333219	Yes	
row_29	IGHV3-21	na	1054	0.27513518929481506	0.21834223	Yes	
row_30	IGHV5-51	na	1059	0.2748732566833496	0.22535963	Yes	
row_31	IGHM	na	1084	0.2727442681789398	0.2313386	Yes	
row_32	IRGM	na	1133	0.26858022809028625	0.23602924	Yes	
row_33	IL27RA	na	1201	0.2632739841938019	0.23964716	Yes	
row_34	IGHV3-48	na	1207	0.2628907561302185	0.24630097	Yes	
row_35	TLR2	na	1215	0.2620372772216797	0.2528341	Yes	
row_36	IGLC7	na	1254	0.25910505652427673	0.25776735	Yes	
row_37	IGHV4-4	na	1277	0.25745558738708496	0.26344335	Yes	
row_38	IGLC3	na	1305	0.255155473947525	0.2688133	Yes	
row_39	IGHV3-43	na	1316	0.2547459304332733	0.27500772	Yes	
row_40	IFNE	na	1328	0.2531535029411316	0.2811112	Yes	
row_41	IGHV1-3	na	1344	0.25193852186203003	0.28698632	Yes	
row_42	FCER1G	na	1348	0.2514953017234802	0.2934393	Yes	
row_43	RPL39	na	1387	0.2488095611333847	0.29810232	Yes	
row_44	IGHV3-15	na	1422	0.2461109310388565	0.30289105	Yes	
row_45	TRBC2	na	1438	0.24489560723304749	0.3085813	Yes	
row_46	IGHV6-1	na	1446	0.2444157898426056	0.314652	Yes	
row_47	IGHV3-33	na	1455	0.2436956912279129	0.32065463	Yes	
row_48	IGHV3-11	na	1475	0.24258953332901	0.32608786	Yes	
row_49	HP	na	1478	0.24231241643428802	0.33234897	Yes	
row_50	IGHV3-72	na	1497	0.24082396924495697	0.337785	Yes	
row_51	IGHV3-20	na	1501	0.24059775471687317	0.343952	Yes	
row_52	IGHV1-18	na	1535	0.23834790289402008	0.34858608	Yes	
row_53	IGHG3	na	1565	0.23679551482200623	0.35337597	Yes	
row_54	IGHV2-70D	na	1572	0.236491397023201	0.35928783	Yes	
