NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM100	na	582	0.3296492099761963	-0.0069036693	No	
row_1	PDPN	na	699	0.3120722472667694	0.007813949	No	
row_2	ADAMTS12	na	1056	0.2750939726829529	0.0083892625	No	
row_3	S1PR2	na	2257	0.19904521107673645	-0.0372423	No	
row_4	CCM2	na	2481	0.18854761123657227	-0.03582189	No	
row_5	PLOD3	na	2634	0.18091781437397003	-0.03143071	No	
row_6	GPX1	na	2837	0.17271867394447327	-0.030018203	No	
row_7	CLDN1	na	2838	0.17263980209827423	-0.01874082	No	
row_8	ETV2	na	3001	0.1664234697818756	-0.015785074	No	
row_9	ANXA2P2	na	3318	0.15467722713947296	-0.021121306	No	
row_10	F2RL1	na	3471	0.14976337552070618	-0.018765235	No	
row_11	WNT7B	na	3474	0.1496734619140625	-0.009085811	No	
row_12	STC1	na	3962	0.13465462625026703	-0.024085304	No	
row_13	RAP2C	na	4097	0.13087312877178192	-0.022083698	No	
row_14	XDH	na	4140	0.12945899367332458	-0.015679207	No	
row_15	TNFRSF1A	na	4490	0.1190253496170044	-0.024956763	No	
row_16	MET	na	4565	0.11697694659233093	-0.020931209	No	
row_17	ANXA2	na	4936	0.10675510764122009	-0.03203639	No	
row_18	ICAM1	na	4999	0.10490971803665161	-0.028212765	No	
row_19	PDE4D	na	5631	0.08886063098907471	-0.05323973	No	
row_20	FASN	na	6992	0.05967911332845688	-0.115792975	No	
row_21	FOXP1	na	7057	0.05855385586619377	-0.11509518	No	
row_22	RAP1B	na	7216	0.055574286729097366	-0.119185016	No	
row_23	MESP1	na	7352	0.05329744145274162	-0.12229977	No	
row_24	ACVR1	na	7524	0.04975755140185356	-0.12740476	No	
row_25	BTG1	na	7732	0.0457204170525074	-0.1345325	No	
row_26	MSN	na	8160	0.03801310807466507	-0.15291323	No	
row_27	MYADM	na	8356	0.03423852100968361	-0.16020466	No	
row_28	CSNK2B	na	8376	0.03384590148925781	-0.1589221	No	
row_29	RBPJ	na	8546	0.03089720755815506	-0.1651614	No	
row_30	F11R	na	9048	0.021607106551527977	-0.18822958	No	
row_31	STARD13	na	9306	0.016574671491980553	-0.19970427	No	
row_32	EDF1	na	9432	0.01421537809073925	-0.20488338	No	
row_33	PRKD2	na	9614	0.011203891597688198	-0.21299544	No	
row_34	RAP1A	na	9841	0.0068857911974191666	-0.22358835	No	
row_35	COL18A1	na	9929	0.005389579571783543	-0.22748724	No	
row_36	IL1B	na	10062	0.0030364301055669785	-0.2337386	No	
row_37	ARHGEF26	na	10971	-0.013064084574580193	-0.27725148	No	
row_38	PTN	na	11223	-0.0177885964512825	-0.2883537	No	
row_39	TNMD	na	11357	-0.02044212445616722	-0.29351696	No	
row_40	RHOA	na	11421	-0.021576296538114548	-0.2951858	No	
row_41	ACVR2B	na	11497	-0.022950923070311546	-0.29735118	No	
row_42	PROX1	na	11772	-0.028129542246460915	-0.30890173	No	
row_43	RHOB	na	11823	-0.028888611122965813	-0.30945772	No	
