NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.027189335	No	
row_1	IRS1	na	484	0.3431183099746704	0.033280056	No	
row_2	CNR1	na	920	0.2877912223339081	0.032382987	No	
row_3	ACOXL	na	990	0.281267911195755	0.048897598	No	
row_4	ACOT8	na	1144	0.26785677671432495	0.060362153	No	
row_5	GLYATL2	na	1616	0.23373955488204956	0.053885944	No	
row_6	ADTRP	na	2184	0.20272234082221985	0.04052904	No	
row_7	NUDT19	na	3071	0.16326484084129333	0.00880501	No	
row_8	TWIST1	na	3344	0.153604194521904	0.0063814255	No	
row_9	LPIN1	na	4180	0.1281522810459137	-0.025334388	No	
row_10	PEX13	na	5387	0.09492097795009613	-0.077516474	No	
row_11	ABCD1	na	5851	0.08343856036663055	-0.09422746	No	
row_12	LPIN3	na	6600	0.06750989705324173	-0.1259819	No	
row_13	HACL1	na	6708	0.0650736391544342	-0.12660667	No	
row_14	PLA2G15	na	6879	0.0618615560233593	-0.13053499	No	
row_15	ACOX3	na	7003	0.059443164616823196	-0.13233913	No	
row_16	ECH1	na	7366	0.052930574864149094	-0.14627475	No	
row_17	ABCD2	na	7673	0.04685014486312866	-0.15790556	No	
row_18	MCAT	na	7769	0.045150112360715866	-0.15935282	No	
row_19	ETFB	na	7774	0.04506079852581024	-0.15636261	No	
row_20	AKT2	na	8669	0.02834502048790455	-0.19801539	No	
row_21	MCEE	na	8698	0.027850763872265816	-0.19741382	No	
row_22	DECR1	na	8942	0.02340763621032238	-0.20762542	No	
row_23	TYSND1	na	9000	0.022503312677145004	-0.20881803	No	
row_24	LONP2	na	9234	0.018265360966324806	-0.21890484	No	
row_25	LEP	na	9257	0.017596110701560974	-0.21873522	No	
row_26	HADH	na	9261	0.01751004531979561	-0.21764384	No	
row_27	SLC25A17	na	9269	0.01722586899995804	-0.2167679	No	
row_28	MECR	na	9463	0.013769809156656265	-0.2252192	No	
row_29	HADHA	na	9480	0.013428461737930775	-0.22505121	No	
row_30	SCP2	na	9766	0.008445643819868565	-0.23837152	No	
row_31	HSD17B4	na	9864	0.00645084772258997	-0.24265228	No	
row_32	PECR	na	9953	0.004879445303231478	-0.24660462	No	
row_33	DECR2	na	10149	0.0013935123570263386	-0.25602853	No	
row_34	LPIN2	na	10422	-0.0034929460380226374	-0.26906413	No	
row_35	AMACR	na	10459	-0.003971452359110117	-0.27054137	No	
row_36	ECI1	na	10463	-0.004074796102941036	-0.2703998	No	
row_37	ACADS	na	10871	-0.011037120595574379	-0.2894945	No	
row_38	PEX2	na	11303	-0.019229138270020485	-0.3091821	No	
row_39	HADHB	na	11322	-0.019715333357453346	-0.30866733	No	
row_40	SESN2	na	11485	-0.022691458463668823	-0.3149741	No	
row_41	CPT1C	na	11724	-0.02726481482386589	-0.32466885	No	
row_42	ACAA1	na	11816	-0.028794115409255028	-0.32707706	No	
row_43	SLC27A4	na	11833	-0.028997983783483505	-0.3258084	No	
row_44	ACADVL	na	12494	-0.041399817913770676	-0.3551114	No	
row_45	GCDH	na	12828	-0.047404173761606216	-0.36802152	No	
row_46	AKT1	na	13010	-0.0507674477994442	-0.3732713	No	
row_47	ABHD3	na	13147	-0.05337447673082352	-0.37613928	No	
row_48	ACOX1	na	13172	-0.05394041910767555	-0.373498	No	
row_49	ECHDC1	na	13186	-0.05438312515616417	-0.37028822	No	
row_50	ECI2	na	13276	-0.05574371665716171	-0.3706936	No	
row_51	CRAT	na	13422	-0.0582810714840889	-0.37365422	No	
row_52	ECHS1	na	13635	-0.06272551417350769	-0.37957245	No	
row_53	MTOR	na	13787	-0.06583595275878906	-0.38229197	No	
row_54	CROT	na	13960	-0.06932087242603302	-0.38579062	No	
row_55	AIG1	na	14153	-0.07328477501869202	-0.3899857	No	
row_56	PCCB	na	14299	-0.07670952379703522	-0.39164355	No	
row_57	ABCD3	na	14861	-0.08863064646720886	-0.4127731	No	
row_58	ETFA	na	15012	-0.09219806641340256	-0.41358015	No	
row_59	CEL	na	15016	-0.09229385107755661	-0.407202	No	
row_60	ACAT2	na	15217	-0.09679707884788513	-0.41012555	No	
row_61	FABP1	na	15561	-0.10441140085458755	-0.41949394	No	
row_62	PHYH	na	15639	-0.1066804975271225	-0.41571236	No	
row_63	ACACB	na	16123	-0.11869165301322937	-0.4309078	No	
row_64	ACBD5	na	16209	-0.12097325921058655	-0.42650646	No	
row_65	PPARA	na	16682	-0.13506445288658142	-0.44000727	No	
row_66	MLYCD	na	16842	-0.1393161416053772	-0.43792284	No	
row_67	ACAD10	na	17487	-0.16209830343723297	-0.45791176	Yes	
row_68	ETFBKMT	na	17493	-0.1623058170080185	-0.4466818	Yes	
row_69	ABHD2	na	17561	-0.1645852029323578	-0.43831834	Yes	
