NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR1A	na	330	0.3783264756202698	0.0018275094	Yes	
row_1	IGHG2	na	407	0.3600960075855255	0.015215599	Yes	
row_2	IGKV5-2	na	426	0.35644590854644775	0.031267863	Yes	
row_3	IGKV1-17	na	502	0.34005963802337646	0.043753054	Yes	
row_4	IGHV2-5	na	601	0.3257356286048889	0.054432537	Yes	
row_5	LIMK1	na	606	0.3250500559806824	0.06967828	Yes	
row_6	IGHV3-7	na	665	0.31610754132270813	0.08185733	Yes	
row_7	IGKV1-39	na	751	0.3061506450176239	0.09224244	Yes	
row_8	IGLV7-43	na	784	0.30228161811828613	0.10503671	Yes	
row_9	IGKV2-30	na	793	0.30127277970314026	0.11895723	Yes	
row_10	IGLV2-11	na	803	0.30023935437202454	0.13277972	Yes	
row_11	FCGR2B	na	900	0.28987929224967957	0.1418537	Yes	
row_12	IGLC2	na	904	0.2895149290561676	0.15546028	Yes	
row_13	IGKC	na	941	0.2859087884426117	0.16728108	Yes	
row_14	IGHV3-23	na	987	0.2817308306694031	0.17846307	Yes	
row_15	IGKV3-20	na	993	0.28093045949935913	0.191564	Yes	
row_16	IGLV1-51	na	1094	0.27197879552841187	0.19959193	Yes	
row_17	IGKV1D-12	na	1149	0.2675020098686218	0.20965768	Yes	
row_18	IGKV1D-39	na	1203	0.2631934881210327	0.21956769	Yes	
row_19	IGHV3-48	na	1207	0.2628907561302185	0.23190948	Yes	
row_20	WIPF3	na	1210	0.2626650631427765	0.24428949	Yes	
row_21	IGKV4-1	na	1219	0.2618758976459503	0.25633845	Yes	
row_22	IGKV3D-11	na	1226	0.2616157531738281	0.2684729	Yes	
row_23	IGLC7	na	1254	0.25910505652427673	0.27946073	Yes	
row_24	IGKV3-15	na	1278	0.25739821791648865	0.2905631	Yes	
row_25	IGLC3	na	1305	0.255155473947525	0.30141222	Yes	
row_26	IGKV3D-20	na	1306	0.25510188937187195	0.31353077	Yes	
row_27	IGLV2-8	na	1318	0.25453388690948486	0.3250842	Yes	
row_28	FCER1G	na	1348	0.2514953017234802	0.33561265	Yes	
row_29	IGKV1-5	na	1373	0.24959170818328857	0.34629527	Yes	
row_30	IGLV3-25	na	1398	0.2478206306695938	0.35689378	Yes	
row_31	IGHV3-33	na	1455	0.2436956912279129	0.36573076	Yes	
row_32	IGHV3-11	na	1475	0.24258953332901	0.3763254	Yes	
row_33	IGKV2D-30	na	1513	0.24013154208660126	0.3859226	Yes	
row_34	IGHG3	na	1565	0.23679551482200623	0.39467642	Yes	
row_35	IGLV6-57	na	1575	0.23629112541675568	0.40546107	Yes	
row_36	IGHV3-53	na	1645	0.23162750899791718	0.41308877	Yes	
row_37	IGLV3-19	na	1671	0.2297430783510208	0.42277956	Yes	
row_38	IGKV2-28	na	1713	0.22689534723758698	0.43155232	Yes	
row_39	IGHG4	na	1727	0.22618331015110016	0.4416611	Yes	
row_40	IGKV1-16	na	1753	0.22484950721263885	0.45111945	Yes	
row_41	IGLV3-21	na	1857	0.2199433296918869	0.45652866	Yes	
row_42	IGHV3-13	na	1875	0.21905997395515442	0.46610337	Yes	
row_43	IGLV2-23	na	1927	0.2161714881658554	0.47387743	Yes	
row_44	IGLV3-1	na	1939	0.21559089422225952	0.4835809	Yes	
row_45	IGHV3-30	na	1941	0.2154637575149536	0.49376753	Yes	
row_46	IGLV1-44	na	1951	0.21500104665756226	0.5035408	Yes	
row_47	ARPC1B	na	1978	0.21340569853782654	0.5124066	Yes	
row_48	IGLV1-47	na	1984	0.21313980221748352	0.52228713	Yes	
row_49	IGLV1-40	na	2021	0.21031013131141663	0.5305166	Yes	
row_50	IGLV3-27	na	2071	0.20732085406780243	0.5379681	Yes	
row_51	IGHV4-34	na	2095	0.20650902390480042	0.546653	Yes	
row_52	IGLV2-14	na	2113	0.20574979484081268	0.5555954	Yes	
row_53	IGHV1-69	na	2239	0.1998671591281891	0.55897456	Yes	
row_54	FCGR3A	na	2248	0.19945304095745087	0.5680582	Yes	
row_55	IGKV2-29	na	2284	0.19760765135288239	0.5757332	Yes	
row_56	IGHV4-59	na	2296	0.19700337946414948	0.5845536	Yes	
row_57	ARPC3	na	2336	0.1951213777065277	0.5919148	Yes	
row_58	PIK3R2	na	2361	0.19364966452121735	0.5999399	Yes	
row_59	IGKV1-12	na	2400	0.19209741055965424	0.60720634	Yes	
row_60	IGHV2-70	na	2416	0.19156590104103088	0.6155728	Yes	
row_61	IGLC6	na	2505	0.18749527633190155	0.6201744	Yes	
row_62	IGHG1	na	2856	0.1720527857542038	0.6112245	No	
row_63	IGHV4-39	na	2921	0.1696271449327469	0.61615145	No	
row_64	WAS	na	3135	0.1608768254518509	0.61337316	No	
row_65	MYO1G	na	3433	0.15084810554981232	0.6060088	No	
row_66	CD3G	na	3457	0.15017680823802948	0.6120177	No	
row_67	FCGR2A	na	3483	0.14941740036010742	0.6178926	No	
row_68	PLSCR1	na	3830	0.13832704722881317	0.60753626	No	
row_69	CD226	na	4135	0.1295626014471054	0.5988183	No	
row_70	PRKCD	na	4543	0.1175139918923378	0.58448887	No	
row_71	VAV1	na	4818	0.1097266748547554	0.57629627	No	
row_72	ARPC1A	na	4905	0.10741472244262695	0.5771916	No	
row_73	NCKAP1L	na	5016	0.10434658080339432	0.5767669	No	
row_74	ARPC4	na	5216	0.09903618693351746	0.5717358	No	
row_75	CD47	na	5347	0.09582378715276718	0.5699278	No	
row_76	RAC1	na	5546	0.09077350050210953	0.56455314	No	
