NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR156	na	1026	0.27799686789512634	0.024163362	No	
row_1	GABRA3	na	1335	0.2525762617588043	0.076480575	No	
row_2	GABRA5	na	5458	0.09300873428583145	-0.099252515	No	
row_3	GABRE	na	6237	0.07487383484840393	-0.11714807	No	
row_4	GABRA4	na	6885	0.06176271662116051	-0.13216461	No	
row_5	GNAI2	na	8954	0.023245839402079582	-0.22656901	No	
row_6	GABRR1	na	10165	0.0010452717542648315	-0.2851512	No	
row_7	ATF4	na	10881	-0.011296520940959454	-0.31692255	No	
row_8	GABBR1	na	11440	-0.021920541301369667	-0.33822578	No	
row_9	GABRG3	na	13240	-0.055163219571113586	-0.4110401	No	
row_10	PHF24	na	16903	-0.1415763646364212	-0.5514553	Yes	
row_11	GABRB1	na	17662	-0.1682944893836975	-0.5434857	Yes	
row_12	GABRR2	na	18295	-0.19617600739002228	-0.5219576	Yes	
row_13	GABRA2	na	18346	-0.1986389458179474	-0.47146174	Yes	
row_14	GABBR2	na	18578	-0.21144632995128632	-0.42635807	Yes	
row_15	SLC12A2	na	19011	-0.2358877807855606	-0.38451958	Yes	
row_16	GABRB3	na	19536	-0.2777857184410095	-0.33599257	Yes	
row_17	PLCL2	na	19923	-0.3216710388660431	-0.2690591	Yes	
row_18	GABRB2	na	20145	-0.3566729426383972	-0.18477277	Yes	
row_19	GABRG1	na	20173	-0.3623743951320648	-0.08953011	Yes	
row_20	PLCL1	na	20368	-0.4095797538757324	0.010166859	Yes	
