NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1R	na	237	0.40602049231529236	0.0032625038	Yes	
row_1	IGHG2	na	407	0.3600960075855255	0.008170722	Yes	
row_2	IGKV5-2	na	426	0.35644590854644775	0.020330712	Yes	
row_3	ZP3	na	430	0.3557868003845215	0.033200227	Yes	
row_4	IGKV1-17	na	502	0.34005963802337646	0.04216854	Yes	
row_5	C1S	na	574	0.33051738142967224	0.050787754	Yes	
row_6	IGHV2-5	na	601	0.3257356286048889	0.061432954	Yes	
row_7	IGHV3-7	na	665	0.31610754132270813	0.06991627	Yes	
row_8	IGHA2	na	746	0.30635905265808105	0.077211484	Yes	
row_9	IGKV1-39	na	751	0.3061506450176239	0.08821618	Yes	
row_10	IGLV7-43	na	784	0.30228161811828613	0.09770987	Yes	
row_11	IGKV2-30	na	793	0.30127277970314026	0.10834048	Yes	
row_12	IGLV2-11	na	803	0.30023935437202454	0.11888437	Yes	
row_13	FCGR2B	na	900	0.28987929224967957	0.12479413	Yes	
row_14	IGLC2	na	904	0.2895149290561676	0.13523912	Yes	
row_15	IGKC	na	941	0.2859087884426117	0.1439382	Yes	
row_16	IGHV3-23	na	987	0.2817308306694031	0.15204422	Yes	
row_17	IGKV3-20	na	993	0.28093045949935913	0.16207735	Yes	
row_18	IGHV3-74	na	997	0.2804419994354248	0.17219043	Yes	
row_19	IGHV2-26	na	1008	0.27937519550323486	0.18192211	Yes	
row_20	IGHV3-21	na	1054	0.27513518929481506	0.18978684	Yes	
row_21	IGHV5-51	na	1059	0.2748732566833496	0.19964726	Yes	
row_22	IGHM	na	1084	0.2727442681789398	0.20845163	Yes	
row_23	IGLV1-51	na	1094	0.27197879552841187	0.21796162	Yes	
row_24	IGKV1D-12	na	1149	0.2675020098686218	0.22510692	Yes	
row_25	IGKV1D-39	na	1203	0.2631934881210327	0.23214349	Yes	
row_26	IGHV3-48	na	1207	0.2628907561302185	0.24161448	Yes	
row_27	IGKV4-1	na	1219	0.2618758976459503	0.25065702	Yes	
row_28	IGKV3D-11	na	1226	0.2616157531738281	0.25993463	Yes	
row_29	IGLC7	na	1254	0.25910505652427673	0.2680933	Yes	
row_30	IGHV4-4	na	1277	0.25745558738708496	0.27643612	Yes	
row_31	IGKV3-15	na	1278	0.25739821791648865	0.28585288	Yes	
row_32	IGLC3	na	1305	0.255155473947525	0.29391596	Yes	
row_33	IGKV3D-20	na	1306	0.25510188937187195	0.3032487	Yes	
row_34	IGHV3-43	na	1316	0.2547459304332733	0.31212825	Yes	
row_35	IGLV2-8	na	1318	0.25453388690948486	0.3213913	Yes	
row_36	IGHV1-3	na	1344	0.25193852186203003	0.32938558	Yes	
row_37	IGKV1-5	na	1373	0.24959170818328857	0.3371473	Yes	
row_38	IGLV3-25	na	1398	0.2478206306695938	0.34503984	Yes	
row_39	IGHV3-15	na	1422	0.2461109310388565	0.35291874	Yes	
row_40	TRBC2	na	1438	0.24489560723304749	0.36114445	Yes	
row_41	IGHV6-1	na	1446	0.2444157898426056	0.36974388	Yes	
row_42	IGHV3-33	na	1455	0.2436956912279129	0.37826806	Yes	
row_43	IGHV3-11	na	1475	0.24258953332901	0.38621378	Yes	
row_44	IGHV3-72	na	1497	0.24082396924495697	0.3939971	Yes	
row_45	IGHV3-20	na	1501	0.24059775471687317	0.40265247	Yes	
row_46	IGKV2D-30	na	1513	0.24013154208660126	0.41089955	Yes	
row_47	EXO1	na	1529	0.23894034326076508	0.4189074	Yes	
row_48	IGHV1-18	na	1535	0.23834790289402008	0.42738268	Yes	
row_49	IGHG3	na	1565	0.23679551482200623	0.43462732	Yes	
row_50	IGHV2-70D	na	1572	0.236491397023201	0.44298574	Yes	
row_51	IGLV6-57	na	1575	0.23629112541675568	0.4515325	Yes	
row_52	IGHV3-53	na	1645	0.23162750899791718	0.45663172	Yes	
row_53	SERPING1	na	1670	0.22986051440238953	0.4638672	Yes	
row_54	IGLV3-19	na	1671	0.2297430783510208	0.47227222	Yes	
row_55	LTA	na	1677	0.22935451567173004	0.48041844	Yes	
row_56	IGHV1-24	na	1681	0.22907190024852753	0.48865217	Yes	
row_57	IGKV2-28	na	1713	0.22689534723758698	0.49543682	Yes	
row_58	IGHV3-49	na	1724	0.22631047666072845	0.5032272	Yes	
row_59	IGHG4	na	1727	0.22618331015110016	0.5114041	Yes	
row_60	IGKV1-16	na	1753	0.22484950721263885	0.51840734	Yes	
row_61	C1RL	na	1779	0.22365976870059967	0.5253671	Yes	
row_62	IGHV1-58	na	1844	0.22059601545333862	0.5303073	Yes	
row_63	IGLV3-21	na	1857	0.2199433296918869	0.5377669	Yes	
row_64	IGHV3-13	na	1875	0.21905997395515442	0.5449496	Yes	
row_65	IGHV4-61	na	1913	0.2167336344718933	0.55106896	Yes	
row_66	IGLV2-23	na	1927	0.2161714881658554	0.5583417	Yes	
row_67	IGLV3-1	na	1939	0.21559089422225952	0.56569093	Yes	
row_68	IGHV3-30	na	1941	0.2154637575149536	0.57352465	Yes	
row_69	IGLV1-44	na	1951	0.21500104665756226	0.58095014	Yes	
row_70	CR2	na	1967	0.2142803966999054	0.5880558	Yes	
row_71	IGLV1-47	na	1984	0.21313980221748352	0.59507084	Yes	
row_72	IGLL5	na	2015	0.21060621738433838	0.60130847	Yes	
row_73	IGLV1-40	na	2021	0.21031013131141663	0.608758	Yes	
row_74	IGLV3-27	na	2071	0.20732085406780243	0.61394614	Yes	
row_75	IGHV1-69D	na	2089	0.20671018958091736	0.62067705	Yes	
row_76	IGHV4-34	na	2095	0.20650902390480042	0.6279875	Yes	
row_77	IGLV2-14	na	2113	0.20574979484081268	0.6346833	Yes	
row_78	C2	na	2132	0.20503732562065125	0.6413041	Yes	
row_79	IGHV1-69	na	2239	0.1998671591281891	0.6434317	Yes	
row_80	TRDC	na	2242	0.19979262351989746	0.65064317	Yes	
row_81	IGHV4-28	na	2254	0.19912345707416534	0.65739	Yes	
row_82	IGKV2-29	na	2284	0.19760765135288239	0.663201	Yes	
row_83	IGHV4-59	na	2296	0.19700337946414948	0.6698702	Yes	
row_84	IGHV3-64	na	2316	0.1959466189146042	0.67610955	Yes	
row_85	IGHV1-45	na	2375	0.19302591681480408	0.6803345	Yes	
row_86	IGHA1	na	2384	0.1927376687526703	0.68699443	Yes	
row_87	IGKV1-12	na	2400	0.19209741055965424	0.69328856	Yes	
row_88	IGHV2-70	na	2416	0.19156590104103088	0.69956326	Yes	
row_89	IGHV3-73	na	2469	0.18918855488300323	0.70394135	Yes	
