NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.03228484	No	
row_1	IRS1	na	484	0.3431183099746704	0.042167198	No	
row_2	CNR1	na	920	0.2877912223339081	0.044450957	No	
row_3	ACOXL	na	990	0.281267911195755	0.0640726	No	
row_4	ACOT8	na	1144	0.26785677671432495	0.078496456	No	
row_5	TWIST1	na	3344	0.153604194521904	-0.016321018	No	
row_6	PLA2G7	na	3492	0.1490515023469925	-0.011315315	No	
row_7	POR	na	3777	0.1401066929101944	-0.01373021	No	
row_8	PEX13	na	5387	0.09492097795009613	-0.084535845	No	
row_9	ABCD1	na	5851	0.08343856036663055	-0.100323014	No	
row_10	HACL1	na	6708	0.0650736391544342	-0.13680078	No	
row_11	PRKAG2	na	6725	0.06486449390649796	-0.13228002	No	
row_12	ACOX3	na	7003	0.059443164616823196	-0.14094654	No	
row_13	ECH1	na	7366	0.052930574864149094	-0.15429579	No	
row_14	ABCD2	na	7673	0.04685014486312866	-0.16540767	No	
row_15	MCAT	na	7769	0.045150112360715866	-0.16635579	No	
row_16	ETFB	na	7774	0.04506079852581024	-0.16286784	No	
row_17	AKT2	na	8669	0.02834502048790455	-0.20420326	No	
row_18	DECR1	na	8942	0.02340763621032238	-0.21557118	No	
row_19	TYSND1	na	9000	0.022503312677145004	-0.21651497	No	
row_20	ADIPOR2	na	9116	0.020264554768800735	-0.22047378	No	
row_21	LONP2	na	9234	0.018265360966324806	-0.22469367	No	
row_22	LEP	na	9257	0.017596110701560974	-0.22432958	No	
row_23	HADH	na	9261	0.01751004531979561	-0.2230448	No	
row_24	SLC25A17	na	9269	0.01722586899995804	-0.22197856	No	
row_25	DGAT2	na	9371	0.015240900218486786	-0.2256644	No	
row_26	MECR	na	9463	0.013769809156656265	-0.22898223	No	
row_27	HADHA	na	9480	0.013428461737930775	-0.22866584	No	
row_28	ADIPOR1	na	9665	0.01017388142645359	-0.2368186	No	
row_29	SCP2	na	9766	0.008445643819868565	-0.24101107	No	
row_30	C1QTNF2	na	9782	0.008069773204624653	-0.24108388	No	
row_31	HSD17B4	na	9864	0.00645084772258997	-0.24451166	No	
row_32	PECR	na	9953	0.004879445303231478	-0.24840969	No	
row_33	DECR2	na	10149	0.0013935123570263386	-0.25781727	No	
row_34	AMACR	na	10459	-0.003971452359110117	-0.27258053	No	
row_35	ECI1	na	10463	-0.004074796102941036	-0.27239394	No	
row_36	ACADS	na	10871	-0.011037120595574379	-0.29136482	No	
row_37	PRKAA1	na	10964	-0.012986472807824612	-0.29479548	No	
row_38	APOD	na	11035	-0.014458473771810532	-0.29703164	No	
row_39	PEX2	na	11303	-0.019229138270020485	-0.30849695	No	
row_40	HADHB	na	11322	-0.019715333357453346	-0.30776432	No	
row_41	SESN2	na	11485	-0.022691458463668823	-0.3138197	No	
row_42	CPT1C	na	11724	-0.02726481482386589	-0.32321218	No	
row_43	ACAA1	na	11816	-0.028794115409255028	-0.32530192	No	
row_44	PDK4	na	12072	-0.033453505486249924	-0.3350186	No	
row_45	MAPK14	na	12104	-0.03409614786505699	-0.33374524	No	
row_46	SIRT4	na	12453	-0.04057009890675545	-0.34742126	No	
row_47	ACADVL	na	12494	-0.041399817913770676	-0.34599036	No	
row_48	GCDH	na	12828	-0.047404173761606216	-0.3583753	No	
row_49	AKT1	na	13010	-0.0507674477994442	-0.36306348	No	
row_50	ACOX1	na	13172	-0.05394041910767555	-0.36651573	No	
row_51	ECHDC1	na	13186	-0.05438312515616417	-0.36270523	No	
row_52	ECI2	na	13276	-0.05574371665716171	-0.36249447	No	
row_53	CRAT	na	13422	-0.0582810714840889	-0.36481065	No	
row_54	ECHS1	na	13635	-0.06272551417350769	-0.37003505	No	
row_55	MTOR	na	13787	-0.06583595275878906	-0.37202668	No	
row_56	APPL2	na	13837	-0.06696026027202606	-0.36894593	No	
row_57	ACSM1	na	13856	-0.06737865507602692	-0.36431733	No	
row_58	CROT	na	13960	-0.06932087242603302	-0.36368036	No	
row_59	ABCD3	na	14861	-0.08863064646720886	-0.400381	No	
row_60	ETFA	na	15012	-0.09219806641340256	-0.400169	No	
row_61	ACAT2	na	15217	-0.09679707884788513	-0.40221775	No	
row_62	FABP1	na	15561	-0.10441140085458755	-0.41043124	No	
row_63	PHYH	na	15639	-0.1066804975271225	-0.40547094	No	
row_64	CYGB	na	16097	-0.11801531910896301	-0.41813886	No	
row_65	ACACB	na	16123	-0.11869165301322937	-0.40965772	No	
row_66	PPARA	na	16682	-0.13506445288658142	-0.42586368	No	
row_67	MLYCD	na	16842	-0.1393161416053772	-0.42223966	No	
row_68	ACAD10	na	17487	-0.16209830343723297	-0.4404351	Yes	
row_69	ETFBKMT	na	17493	-0.1623058170080185	-0.4274124	Yes	
row_70	CPT1A	na	17772	-0.17267043888568878	-0.42687258	Yes	
row_71	PEX7	na	17975	-0.1815958172082901	-0.42189226	Yes	
row_72	CYP4V2	na	18025	-0.1835886836051941	-0.40927833	Yes	
row_73	PPARD	na	18044	-0.18434984982013702	-0.39508852	Yes	
row_74	NR4A3	na	18221	-0.19266383349895477	-0.38793397	Yes	
row_75	IVD	na	18328	-0.1979161947965622	-0.3769321	Yes	
row_76	EHHADH	na	18351	-0.1987314373254776	-0.36176208	Yes	
row_77	PLIN5	na	18362	-0.1994909644126892	-0.345944	Yes	
row_78	ECHDC2	na	18400	-0.2016761749982834	-0.33126566	Yes	
row_79	ACOX2	na	18402	-0.201761394739151	-0.31482255	Yes	
row_80	CPT1B	na	18684	-0.21692770719528198	-0.31081164	Yes	
row_81	PPARG	na	18755	-0.22013938426971436	-0.29623547	Yes	
row_82	ALOX12	na	18833	-0.22608470916748047	-0.28151512	Yes	
row_83	FABP3	na	18976	-0.23405969142913818	-0.2693167	Yes	
row_84	ETFDH	na	18981	-0.23443007469177246	-0.25034976	Yes	
row_85	BDH2	na	18982	-0.23445667326450348	-0.23118532	Yes	
row_86	HIBCH	na	19097	-0.24163296818733215	-0.2170007	Yes	
row_87	CPT2	na	19127	-0.24403655529022217	-0.1984692	Yes	
row_88	ACADL	na	19248	-0.254343181848526	-0.18353863	Yes	
row_89	ACADM	na	19476	-0.27128079533576965	-0.17244817	Yes	
row_90	ACAA2	na	19662	-0.29059526324272156	-0.15772818	Yes	
row_91	AUH	na	19746	-0.30018335580825806	-0.13724399	Yes	
row_92	ALDH3A2	na	19894	-0.31746751070022583	-0.11847199	Yes	
row_93	PPARGC1A	na	20040	-0.338614284992218	-0.09787381	Yes	
row_94	ACAT1	na	20061	-0.341868132352829	-0.07090614	Yes	
row_95	ACAD11	na	20083	-0.3460153043270111	-0.043648306	Yes	
row_96	HAO2	na	20307	-0.3923071324825287	-0.022469874	Yes	
row_97	SLC27A2	na	20419	-0.43558254837989807	0.007714632	Yes	
