NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCND3	na	2062	0.20786327123641968	-0.061814062	No	
row_1	CAV1	na	3242	0.15721826255321503	-0.09003396	No	
row_2	KCNH2	na	3807	0.13899196684360504	-0.09169062	No	
row_3	SNTA1	na	4200	0.12773282825946808	-0.087062284	No	
row_4	ATP1B3	na	4837	0.10910124331712723	-0.09777494	No	
row_5	KCNE2	na	4858	0.10854346305131912	-0.07859505	No	
row_6	CACNB3	na	5164	0.10059097409248352	-0.0747698	No	
row_7	KCNE5	na	5656	0.08814132958650589	-0.08231341	No	
row_8	SCN1B	na	6550	0.06837465614080429	-0.11310257	No	
row_9	ATP1A1	na	7045	0.058791279792785645	-0.12624183	No	
row_10	KCNA5	na	7501	0.05023336410522461	-0.13907097	No	
row_11	DLG1	na	8913	0.02377217262983322	-0.20336568	No	
row_12	SCN5A	na	9008	0.022331126034259796	-0.20379668	No	
row_13	FLNA	na	9154	0.019630491733551025	-0.20721257	No	
row_14	KCNJ8	na	9382	0.015029658563435078	-0.21547571	No	
row_15	YWHAE	na	9758	0.008555589243769646	-0.23214777	No	
row_16	WDR1	na	9964	0.0047163767740130424	-0.24125452	No	
row_17	ZMPSTE24	na	10060	0.003041590331122279	-0.24531579	No	
row_18	CACNA2D1	na	10899	-0.011609883047640324	-0.2839665	No	
row_19	KCNJ2	na	11004	-0.013793650083243847	-0.28646967	No	
row_20	ATP1A2	na	12046	-0.03296418488025665	-0.33104053	No	
row_21	ATP1B1	na	13212	-0.05474252253770828	-0.37760586	No	
row_22	KCNJ5	na	13562	-0.06108369305729866	-0.3832587	No	
row_23	KCNQ1	na	14695	-0.08513542264699936	-0.4225739	No	
row_24	KCNIP2	na	14898	-0.08961466699838638	-0.4157711	No	
row_25	KCNN2	na	15466	-0.10243086516857147	-0.42436233	No	
row_26	KCNE1	na	15947	-0.11500804126262665	-0.42638183	No	
row_27	AKAP9	na	16969	-0.14387235045433044	-0.4493859	Yes	
row_28	ANK2	na	17006	-0.1455950289964676	-0.42410558	Yes	
row_29	NEDD4L	na	17619	-0.1667908877134323	-0.42293805	Yes	
row_30	RNF207	na	17782	-0.17301391065120697	-0.39870232	Yes	
row_31	KCNE4	na	18017	-0.18318136036396027	-0.37608477	Yes	
row_32	KCNJ3	na	18031	-0.18383148312568665	-0.34258494	Yes	
row_33	KCNE3	na	18601	-0.21238119900226593	-0.33085853	Yes	
row_34	NOS1AP	na	18798	-0.2230139970779419	-0.29899466	Yes	
row_35	CACNA1D	na	19237	-0.2534410059452057	-0.27326545	Yes	
row_36	CASQ2	na	19308	-0.2587542235851288	-0.22862995	Yes	
row_37	NPPA	na	19325	-0.2601710855960846	-0.18110184	Yes	
row_38	ATP1B2	na	19380	-0.2649478316307068	-0.13453723	Yes	
row_39	AKAP6	na	19713	-0.29624053835868835	-0.095699556	Yes	
row_40	GJA5	na	19778	-0.30342966318130493	-0.042476784	Yes	
row_41	SCN4B	na	20423	-0.4380519390106201	0.007498868	Yes	
