NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRS2	na	111	0.46127790212631226	0.022614857	No	
row_1	IRS1	na	484	0.3431183099746704	0.025290454	No	
row_2	CNR1	na	920	0.2877912223339081	0.021523656	No	
row_3	ACOXL	na	990	0.281267911195755	0.035248883	No	
row_4	ACOT8	na	1144	0.26785677671432495	0.04405331	No	
row_5	AKR1D1	na	1175	0.2647671103477478	0.05868165	No	
row_6	GLYATL2	na	1616	0.23373955488204956	0.051384788	No	
row_7	ADTRP	na	2184	0.20272234082221985	0.035995226	No	
row_8	NUDT19	na	3071	0.16326484084129333	0.0026157317	No	
row_9	TWIST1	na	3344	0.153604194521904	-0.0013412371	No	
row_10	CRABP1	na	3354	0.15338043868541718	0.007542542	No	
row_11	FAH	na	3947	0.13498909771442413	-0.013186272	No	
row_12	LPIN1	na	4180	0.1281522810459137	-0.016735373	No	
row_13	PEX13	na	5387	0.09492097795009613	-0.06990962	No	
row_14	ABCD1	na	5851	0.08343856036663055	-0.08746709	No	
row_15	CYP26A1	na	6448	0.07030066102743149	-0.11232368	No	
row_16	LPIN3	na	6600	0.06750989705324173	-0.115600154	No	
row_17	HACL1	na	6708	0.0650736391544342	-0.11687418	No	
row_18	PLA2G15	na	6879	0.0618615560233593	-0.12142265	No	
row_19	ACOX3	na	7003	0.059443164616823196	-0.12382096	No	
row_20	ECH1	na	7366	0.052930574864149094	-0.13829648	No	
row_21	ABCD2	na	7673	0.04685014486312866	-0.15040457	No	
row_22	MCAT	na	7769	0.045150112360715866	-0.1523032	No	
row_23	ETFB	na	7774	0.04506079852581024	-0.14975956	No	
row_24	AKT2	na	8669	0.02834502048790455	-0.19173154	No	
row_25	MCEE	na	8698	0.027850763872265816	-0.19140708	No	
row_26	DECR1	na	8942	0.02340763621032238	-0.20186102	No	
row_27	TYSND1	na	9000	0.022503312677145004	-0.20327902	No	
