NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1R	na	237	0.40602049231529236	0.0064113336	Yes	
row_1	CFH	na	356	0.37354975938796997	0.017198829	Yes	
row_2	IGHG2	na	407	0.3600960075855255	0.030713035	Yes	
row_3	IGKV5-2	na	426	0.35644590854644775	0.045629207	Yes	
row_4	ZP3	na	430	0.3557868003845215	0.06124917	Yes	
row_5	IGKV1-17	na	502	0.34005963802337646	0.07284927	Yes	
row_6	C1S	na	574	0.33051738142967224	0.08402652	Yes	
row_7	F2	na	579	0.3301905393600464	0.09846333	Yes	
row_8	CXCL13	na	589	0.32815220952033997	0.11256547	Yes	
row_9	IGHV2-5	na	601	0.3257356286048889	0.1264628	Yes	
row_10	IGHV3-7	na	665	0.31610754132270813	0.13739242	Yes	
row_11	IGKV1-39	na	751	0.3061506450176239	0.14680573	Yes	
row_12	IGLV7-43	na	784	0.30228161811828613	0.15863751	Yes	
row_13	IGKV2-30	na	793	0.30127277970314026	0.17159736	Yes	
row_14	IGLV2-11	na	803	0.30023935437202454	0.18446256	Yes	
row_15	FCGR2B	na	900	0.28987929224967957	0.1926173	Yes	
row_16	IGLC2	na	904	0.2895149290561676	0.20530044	Yes	
row_17	IGKC	na	941	0.2859087884426117	0.21621118	Yes	
row_18	IGHV3-23	na	987	0.2817308306694031	0.22649701	Yes	
row_19	IGKV3-20	na	993	0.28093045949935913	0.238702	Yes	
row_20	IGLV1-51	na	1094	0.27197879552841187	0.24586801	Yes	
row_21	IGKV1D-12	na	1149	0.2675020098686218	0.25508347	Yes	
row_22	IGKV1D-39	na	1203	0.2631934881210327	0.26415688	Yes	
row_23	IGHV3-48	na	1207	0.2628907561302185	0.2756602	Yes	
row_24	CD19	na	1209	0.2627042829990387	0.28725296	Yes	
row_25	IGKV4-1	na	1219	0.2618758976459503	0.2984181	Yes	
row_26	IGKV3D-11	na	1226	0.2616157531738281	0.3097183	Yes	
row_27	IGLC7	na	1254	0.25910505652427673	0.31988108	Yes	
row_28	IGKV3-15	na	1278	0.25739821791648865	0.33016366	Yes	
row_29	IGLC3	na	1305	0.255155473947525	0.34020025	Yes	
row_30	IGKV3D-20	na	1306	0.25510188937187195	0.35150498	Yes	
row_31	IGLV2-8	na	1318	0.25453388690948486	0.36224705	Yes	
row_32	IGKV1-5	na	1373	0.24959170818328857	0.37066883	Yes	
row_33	IGLV3-25	na	1398	0.2478206306695938	0.3804781	Yes	
row_34	IGHV3-33	na	1455	0.2436956912279129	0.3885409	Yes	
row_35	IGHV3-11	na	1475	0.24258953332901	0.3983627	Yes	
row_36	IGKV2D-30	na	1513	0.24013154208660126	0.407196	Yes	
row_37	IGHG3	na	1565	0.23679551482200623	0.41519728	Yes	
row_38	IGLV6-57	na	1575	0.23629112541675568	0.42522866	Yes	
row_39	IGHV3-53	na	1645	0.23162750899791718	0.43212137	Yes	
row_40	SERPING1	na	1670	0.22986051440238953	0.44113475	Yes	
row_41	IGLV3-19	na	1671	0.2297430783510208	0.45131573	Yes	
row_42	LTA	na	1677	0.22935451567173004	0.46123517	Yes	
row_43	IGKV2-28	na	1713	0.22689534723758698	0.46957964	Yes	
row_44	IGHG4	na	1727	0.22618331015110016	0.4789676	Yes	
row_45	IGKV1-16	na	1753	0.22484950721263885	0.48771006	Yes	
row_46	VSIG4	na	1764	0.22440072894096375	0.49716562	Yes	
row_47	IGLV3-21	na	1857	0.2199433296918869	0.5024166	Yes	
row_48	IGHV3-13	na	1875	0.21905997395515442	0.5112935	Yes	
row_49	IGLV2-23	na	1927	0.2161714881658554	0.5183808	Yes	
row_50	C5AR1	na	1937	0.21575585007667542	0.5275022	Yes	
row_51	IGLV3-1	na	1939	0.21559089422225952	0.53700715	Yes	
row_52	IGHV3-30	na	1941	0.2154637575149536	0.54650646	Yes	
row_53	IGLV1-44	na	1951	0.21500104665756226	0.5555944	Yes	
row_54	CR2	na	1967	0.2142803966999054	0.56435716	Yes	
row_55	IGLV1-47	na	1984	0.21313980221748352	0.5730205	Yes	
row_56	IGLV1-40	na	2021	0.21031013131141663	0.5805811	Yes	
row_57	IGLV3-27	na	2071	0.20732085406780243	0.58737403	Yes	
row_58	IGHV4-34	na	2095	0.20650902390480042	0.59540147	Yes	
row_59	IGLV2-14	na	2113	0.20574979484081268	0.6036885	Yes	
row_60	C2	na	2132	0.20503732562065125	0.611895	Yes	
row_61	IGHV1-69	na	2239	0.1998671591281891	0.6155722	Yes	
row_62	IGKV2-29	na	2284	0.19760765135288239	0.62217903	Yes	
row_63	IGHV4-59	na	2296	0.19700337946414948	0.63037163	Yes	
row_64	PROS1	na	2341	0.1949000507593155	0.6368584	Yes	
row_65	IGKV1-12	na	2400	0.19209741055965424	0.64253694	Yes	
row_66	IGHV2-70	na	2416	0.19156590104103088	0.6502931	Yes	
row_67	IGLC6	na	2505	0.18749527633190155	0.65430164	Yes	
row_68	IGHG1	na	2856	0.1720527857542038	0.6448229	Yes	
row_69	IGHV4-39	na	2921	0.1696271449327469	0.6492124	Yes	
row_70	C1QB	na	3094	0.16251510381698608	0.6480092	Yes	
row_71	C1QC	na	3109	0.16186897456645966	0.6544982	Yes	
row_72	C1QA	na	3223	0.1577378362417221	0.65596646	Yes	
row_73	CR1	na	3434	0.15080526471138	0.6523874	Yes	
row_74	C3	na	3479	0.14946912229061127	0.65686095	Yes	
row_75	CCR7	na	3516	0.14830541610717773	0.66167384	Yes	
row_76	CPB2	na	3708	0.14212287962436676	0.65863854	No	
row_77	C9	na	3923	0.13545480370521545	0.65418375	No	
row_78	C8G	na	3967	0.13459256291389465	0.6580469	No	
row_79	SUSD4	na	4179	0.1281639039516449	0.6534157	No	
row_80	C3AR1	na	4307	0.12487247586250305	0.65274334	No	
row_81	CD55	na	4454	0.12017350643873215	0.6509343	No	
row_82	HPX	na	4612	0.11534451693296432	0.6483737	No	
row_83	KLK7	na	4833	0.10934066772460938	0.6424685	No	
row_84	CFHR1	na	4840	0.10905607789754868	0.6470081	No	
row_85	CFB	na	4944	0.10648936033248901	0.64669394	No	
row_86	CPN2	na	5236	0.09860403835773468	0.63684344	No	
row_87	C1QBP	na	5646	0.08848085254430771	0.6207781	No	
row_88	VTN	na	5951	0.08112232387065887	0.60951763	No	
row_89	PTPRC	na	6292	0.07362503558397293	0.5961658	No	
row_90	KLK5	na	6365	0.07203734666109085	0.59583974	No	
row_91	PTPN6	na	7029	0.059058777987957	0.5660585	No	
row_92	C7	na	7966	0.041229717433452606	0.52214676	No	
row_93	FCER2	na	8110	0.03877781331539154	0.5168773	No	
row_94	CD81	na	8817	0.025725362822413445	0.48351768	No	
row_95	SPINK5	na	9902	0.00573183735832572	0.43080062	No	
row_96	PHB	na	10389	-0.0029116913210600615	0.40718064	No	
row_97	CFI	na	10531	-0.0054803267121315	0.40053335	No	
row_98	C4BPA	na	11767	-0.02808488719165325	0.341428	No	
row_99	CPN1	na	12147	-0.03498304262757301	0.32445794	No	
row_100	PPP2R3C	na	12752	-0.04594848304986954	0.2969789	No	
row_101	CD59	na	13075	-0.05186159908771515	0.2835422	No	
row_102	A2M	na	13304	-0.056334324181079865	0.2748971	No	
row_103	TNF	na	14473	-0.08041109144687653	0.22138464	No	
row_104	C5	na	14582	-0.08270488679409027	0.21977212	No	
row_105	CD46	na	15083	-0.09398609399795532	0.19950393	No	
row_106	C6	na	15429	-0.1015525832772255	0.18714531	No	
row_107	C4BPB	na	16089	-0.11775197833776474	0.16016056	No	
row_108	CLU	na	17440	-0.16036784648895264	0.101297684	No	
row_109	C4B	na	18085	-0.1863611787557602	0.07808632	No	
row_110	C4A	na	18499	-0.20686222612857819	0.06707156	No	
row_111	FOXJ1	na	18942	-0.23205052316188812	0.05575588	No	
row_112	CFP	na	19149	-0.2467733472585678	0.05662509	No	
row_113	C5AR2	na	19707	-0.2957748770713806	0.042513713	No	
