NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAV1	na	3242	0.15721826255321503	-0.12039937	No	
row_1	KCNH2	na	3807	0.13899196684360504	-0.11479747	No	
row_2	SNTA1	na	4200	0.12773282825946808	-0.10350186	No	
row_3	KCNE2	na	4858	0.10854346305131912	-0.10966658	No	
row_4	CACNB3	na	5164	0.10059097409248352	-0.10059088	No	
row_5	KCNE5	na	5656	0.08814132958650589	-0.10352802	No	
row_6	SCN1B	na	6550	0.06837465614080429	-0.13073042	No	
row_7	KCNA5	na	7501	0.05023336410522461	-0.1650208	No	
row_8	DLG1	na	8913	0.02377217262983322	-0.22803979	No	
row_9	SCN5A	na	9008	0.022331126034259796	-0.2273045	No	
row_10	FLNA	na	9154	0.019630491733551025	-0.22969353	No	
row_11	YWHAE	na	9758	0.008555589243769646	-0.25700644	No	
row_12	WDR1	na	9964	0.0047163767740130424	-0.26586205	No	
row_13	ZMPSTE24	na	10060	0.003041590331122279	-0.2697623	No	
row_14	CACNA2D1	na	10899	-0.011609883047640324	-0.30778614	No	
row_15	KCNJ2	na	11004	-0.013793650083243847	-0.3095677	No	
row_16	KCNQ1	na	14695	-0.08513542264699936	-0.46891144	No	
row_17	KCNE1	na	15947	-0.11500804126262665	-0.50244826	No	
row_18	AKAP9	na	16969	-0.14387235045433044	-0.5179275	Yes	
row_19	ANK2	na	17006	-0.1455950289964676	-0.4850583	Yes	
row_20	NEDD4L	na	17619	-0.1667908877134323	-0.47518215	Yes	
row_21	RNF207	na	17782	-0.17301391065120697	-0.44192523	Yes	
row_22	KCNE4	na	18017	-0.18318136036396027	-0.40975472	Yes	
row_23	KCNE3	na	18601	-0.21238119900226593	-0.38762617	Yes	
row_24	NOS1AP	na	18798	-0.2230139970779419	-0.34413436	Yes	
row_25	CACNA1D	na	19237	-0.2534410059452057	-0.30518514	Yes	
row_26	CASQ2	na	19308	-0.2587542235851288	-0.24706231	Yes	
row_27	NPPA	na	19325	-0.2601710855960846	-0.18597443	Yes	
row_28	AKAP6	na	19713	-0.29624053835868835	-0.13436572	Yes	
row_29	GJA5	na	19778	-0.30342966318130493	-0.065327436	Yes	
row_30	SCN4B	na	20423	-0.4380519390106201	0.0074949735	Yes	
