NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MME	na	2263	0.1987150013446808	-0.041266922	No	
row_1	CTSZ	na	3245	0.15705323219299316	-0.03460433	No	
row_2	F2RL1	na	3471	0.14976337552070618	0.006304718	No	
row_3	ATP6AP2	na	5801	0.08473221212625504	-0.07763663	No	
row_4	F2R	na	8620	0.029325295239686966	-0.20454557	No	
row_5	OR51E2	na	9123	0.02009551413357258	-0.22200423	No	
row_6	CES1	na	9684	0.009801320731639862	-0.24584807	No	
row_7	ACE	na	11204	-0.01728009432554245	-0.3137465	No	
row_8	PCSK5	na	14609	-0.08318081498146057	-0.45051098	No	
row_9	ENPEP	na	15540	-0.1039571762084961	-0.4597513	No	
row_10	CPA3	na	18134	-0.1884916126728058	-0.5206085	Yes	
row_11	AOPEP	na	18379	-0.20047342777252197	-0.4630662	Yes	
row_12	ACE2	na	18536	-0.20945756137371063	-0.39813316	Yes	
row_13	SUCNR1	na	19038	-0.2377554327249527	-0.34018272	Yes	
row_14	REN	na	19553	-0.2793596684932709	-0.26845992	Yes	
row_15	CMA1	na	19696	-0.29468217492103577	-0.1733386	Yes	
row_16	GJA5	na	19778	-0.30342966318130493	-0.07222173	Yes	
row_17	CTSG	na	19916	-0.32069703936576843	0.0321499	Yes	
