NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOD2	na	7069	0.05836953967809677	-0.3169357	No	
row_1	NFATC2	na	10214	1.945570547832176E-4	-0.4697422	No	
row_2	CTH	na	10540	-0.005658005829900503	-0.48294586	No	
row_3	DNMT1	na	11786	-0.02839379385113716	-0.53043664	No	
row_4	MYOCD	na	12151	-0.03502137213945389	-0.53203624	No	
row_5	NFATC3	na	12813	-0.04706293344497681	-0.5425428	No	
row_6	ENG	na	15331	-0.09966310113668442	-0.6191241	No	
row_7	PDCD4	na	16781	-0.13771064579486847	-0.626274	Yes	
row_8	FGF9	na	17060	-0.146958589553833	-0.5722249	Yes	
row_9	KIT	na	17757	-0.17212998867034912	-0.52693033	Yes	
row_10	HEY2	na	18214	-0.19222989678382874	-0.4607228	Yes	
row_11	PDGFB	na	18857	-0.2275822013616562	-0.3873064	Yes	
row_12	GPER1	na	19566	-0.2811729609966278	-0.29245973	Yes	
row_13	NFATC1	na	19578	-0.28200972080230713	-0.16333249	Yes	
row_14	MIR140	na	20480	-0.4608001410961151	0.0047172257	Yes	
