NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FANCA	na	315	0.38222619891166687	0.058911335	Yes	
row_1	FOXP3	na	364	0.37181660532951355	0.12879473	Yes	
row_2	RUNX1	na	503	0.3398120701313019	0.18808179	Yes	
row_3	SOCS1	na	628	0.322222501039505	0.24463367	Yes	
row_4	IL2RA	na	921	0.2876865267753601	0.28630152	Yes	
row_5	LILRB4	na	1375	0.24944844841957092	0.31270695	Yes	
row_6	PLA2G2D	na	1437	0.24491356313228607	0.3573088	Yes	
row_7	CD28	na	1452	0.24406759440898895	0.4040337	Yes	
row_8	TNFSF4	na	1507	0.2403053343296051	0.44808114	Yes	
row_9	CTLA4	na	1550	0.23753254115581512	0.492174	Yes	
row_10	TNFRSF18	na	1723	0.22641661763191223	0.5277811	Yes	
row_11	DUSP10	na	2066	0.20751219987869263	0.5514431	Yes	
row_12	IL2	na	2102	0.2061770111322403	0.58978635	Yes	
row_13	FANCD2	na	2211	0.2010253667831421	0.6235763	Yes	
row_14	TGFB1	na	2269	0.1984594166278839	0.65934986	Yes	
row_15	IFNG	na	2827	0.1731029748916626	0.66586506	Yes	
row_16	CBFB	na	2981	0.16718634963035583	0.69089234	Yes	
row_17	CR1	na	3434	0.15080526471138	0.6981866	Yes	
row_18	BCL6	na	3501	0.14875368773937225	0.7238676	Yes	
row_19	LILRB2	na	6143	0.07676512748003006	0.61024964	No	
row_20	FUT7	na	6200	0.07553814351558685	0.6221964	No	
row_21	DROSHA	na	8473	0.03228425234556198	0.5178967	No	
row_22	LGALS9	na	8764	0.02685093879699707	0.5089988	No	
row_23	NFATC2	na	10214	1.945570547832176E-4	0.43851876	No	
row_24	KAT2A	na	10307	-0.001250217785127461	0.43428427	No	
row_25	IRF1	na	10624	-0.007150421384721994	0.42029452	No	
row_26	VSIR	na	10919	-0.011995771899819374	0.40831652	No	
row_27	HLA-G	na	12868	-0.048086609691381454	0.32285416	No	
row_28	CD46	na	15083	-0.09398609399795532	0.23336175	No	
row_29	BTN2A2	na	17826	-0.17485855519771576	0.13388157	No	
