NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	Details ...	132	0.7228647	3.2171967	0.0	0.0	0.0	3223	tags=75%, list=16%, signal=88%	
GO_B_CELL_MEDIATED_IMMUNITY	GO_B_CELL_MEDIATED_IMMUNITY	Details ...	198	0.6436089	3.013994	0.0	0.0	0.0	3525	tags=61%, list=17%, signal=73%	
GO_COMPLEMENT_ACTIVATION	GO_COMPLEMENT_ACTIVATION	Details ...	149	0.65016633	2.947875	0.0	0.0	0.0	3223	tags=68%, list=16%, signal=80%	
GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	Details ...	114	0.66167384	2.8632674	0.0	0.0	0.0	3516	tags=67%, list=17%, signal=80%	
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	Details ...	138	0.6201744	2.8158197	0.0	0.0	0.0	2505	tags=45%, list=12%, signal=51%	
GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	Details ...	125	0.63600886	2.8080912	0.0	0.0	0.0	3216	tags=55%, list=16%, signal=65%	
GO_HUMORAL_IMMUNE_RESPONSE	GO_HUMORAL_IMMUNE_RESPONSE	Details ...	270	0.56987965	2.7935035	0.0	0.0	0.0	3223	tags=52%, list=16%, signal=61%	
GO_IMMUNOGLOBULIN_PRODUCTION	GO_IMMUNOGLOBULIN_PRODUCTION	Details ...	163	0.6083786	2.7647114	0.0	0.0	0.0	4754	tags=61%, list=23%, signal=79%	
GO_LYMPHOCYTE_MEDIATED_IMMUNITY	GO_LYMPHOCYTE_MEDIATED_IMMUNITY	Details ...	324	0.5481331	2.751726	0.0	0.0	0.0	3696	tags=48%, list=18%, signal=58%	
GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GO_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	111	0.63141596	2.7402678	0.0	0.0	0.0	2981	tags=57%, list=14%, signal=66%	
GO_REGULATION_OF_B_CELL_ACTIVATION	GO_REGULATION_OF_B_CELL_ACTIVATION	Details ...	168	0.5925671	2.7305431	0.0	0.0	0.0	3216	tags=49%, list=16%, signal=57%	
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	Details ...	332	0.5422896	2.7062953	0.0	0.0	0.0	3696	tags=48%, list=18%, signal=58%	
GO_PHAGOCYTOSIS_RECOGNITION	GO_PHAGOCYTOSIS_RECOGNITION	Details ...	70	0.6786369	2.6764073	0.0	0.0	0.0	2921	tags=76%, list=14%, signal=88%	
GO_MEMBRANE_INVAGINATION	GO_MEMBRANE_INVAGINATION	Details ...	122	0.59455556	2.607251	0.0	0.0	0.0	3479	tags=53%, list=17%, signal=64%	
GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	GO_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	Details ...	249	0.5132694	2.4628778	0.0	0.0	0.0	4479	tags=48%, list=22%, signal=60%	
GO_DEFENSE_RESPONSE_TO_BACTERIUM	GO_DEFENSE_RESPONSE_TO_BACTERIUM	Details ...	223	0.51918596	2.4626513	0.0	0.0	0.0	3827	tags=49%, list=19%, signal=59%	
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION	Details ...	312	0.48799655	2.4341655	0.0	0.0	0.0	3554	tags=40%, list=17%, signal=47%	
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	102	0.5668506	2.4130678	0.0	0.0	0.0	6606	tags=70%, list=32%, signal=102%	
GO_REGULATORY_T_CELL_DIFFERENTIATION	GO_REGULATORY_T_CELL_DIFFERENTIATION	Details ...	30	0.7238676	2.40933	0.0	0.0	0.0	3501	tags=63%, list=17%, signal=76%	
GO_PHAGOCYTOSIS	GO_PHAGOCYTOSIS	Details ...	333	0.47101992	2.3809876	0.0	0.0	0.0	3483	tags=39%, list=17%, signal=46%	
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION		42	0.65527856	2.3582366	0.0	0.0	0.0	2335	tags=40%, list=11%, signal=46%	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		114	0.54338455	2.3380568	0.0	5.2271545E-5	0.001	6606	tags=67%, list=32%, signal=98%	
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS		123	0.52468264	2.332575	0.0	4.9998875E-5	0.001	2195	tags=29%, list=11%, signal=33%	
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS		45	0.6450789	2.320456	0.0	4.7915586E-5	0.001	1465	tags=36%, list=7%, signal=38%	
GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY	GO_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY		161	0.50282043	2.3151286	0.0	4.5998964E-5	0.001	3616	tags=40%, list=18%, signal=49%	
GO_MITOTIC_SPINDLE_ORGANIZATION	GO_MITOTIC_SPINDLE_ORGANIZATION		102	0.5445504	2.3115578	0.0	4.422977E-5	0.001	2142	tags=30%, list=10%, signal=34%	
GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE		36	0.65807855	2.3038046	0.0	4.2591633E-5	0.001	2335	tags=42%, list=11%, signal=47%	
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	GO_POSITIVE_REGULATION_OF_INTERLEUKIN_4_PRODUCTION		23	0.7271793	2.2845435	0.0	8.1346756E-5	0.002	1684	tags=48%, list=8%, signal=52%	
GO_MITOTIC_NUCLEAR_DIVISION	GO_MITOTIC_NUCLEAR_DIVISION		270	0.46167538	2.2793312	0.0	7.85417E-5	0.002	2433	tags=26%, list=12%, signal=29%	
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION		365	0.44732118	2.2703993	0.0	7.592364E-5	0.002	3554	tags=37%, list=17%, signal=44%	
GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE		55	0.58124375	2.269065	0.0	7.347449E-5	0.002	2433	tags=36%, list=12%, signal=41%	
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_MITOTIC_SISTER_CHROMATID_SEGREGATION		146	0.49655634	2.2676032	0.0	7.1178416E-5	0.002	2433	tags=29%, list=12%, signal=32%	
GO_B_CELL_ACTIVATION	GO_B_CELL_ACTIVATION		268	0.46332493	2.260587	0.0	6.902149E-5	0.002	3696	tags=40%, list=18%, signal=48%	
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION		450	0.43406406	2.2353833	0.0	1.348549E-4	0.004	3554	tags=36%, list=17%, signal=42%	
GO_FC_RECEPTOR_SIGNALING_PATHWAY	GO_FC_RECEPTOR_SIGNALING_PATHWAY		233	0.4619469	2.2300396	0.0	1.3100191E-4	0.004	3616	tags=35%, list=18%, signal=42%	
GO_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GO_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION		55	0.5748173	2.2239397	0.0	1.2736296E-4	0.004	1357	tags=31%, list=7%, signal=33%	
GO_REGULATION_OF_CHROMOSOME_SEPARATION	GO_REGULATION_OF_CHROMOSOME_SEPARATION		59	0.5726982	2.220747	0.0	1.5591425E-4	0.005	2433	tags=36%, list=12%, signal=40%	
GO_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_REGULATION_OF_CHROMOSOME_SEGREGATION		96	0.52143276	2.2178073	0.0	1.5181125E-4	0.005	3241	tags=34%, list=16%, signal=41%	
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM		434	0.42977795	2.2066135	0.0	2.0633702E-4	0.007	3859	tags=35%, list=19%, signal=42%	
GO_CELL_RECOGNITION	GO_CELL_RECOGNITION		182	0.4710449	2.2050073	0.0	2.0117858E-4	0.007	3534	tags=45%, list=17%, signal=54%	
GO_REGULATION_OF_NUCLEAR_DIVISION	GO_REGULATION_OF_NUCLEAR_DIVISION		193	0.4673331	2.198415	0.0	2.5222302E-4	0.009	2433	tags=26%, list=12%, signal=29%	
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION		27	0.6907622	2.19756	0.0	2.4621774E-4	0.009	1684	tags=44%, list=8%, signal=48%	
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS		420	0.4301936	2.185069	0.0	3.2005503E-4	0.012	3554	tags=35%, list=17%, signal=41%	
GO_CHROMOSOME_SEPARATION	GO_CHROMOSOME_SEPARATION		86	0.52631474	2.1845102	0.0	3.1278102E-4	0.012	2433	tags=30%, list=12%, signal=34%	
GO_MITOTIC_SPINDLE_ASSEMBLY	GO_MITOTIC_SPINDLE_ASSEMBLY		53	0.56825465	2.1697867	0.0	4.6054786E-4	0.018	2091	tags=28%, list=10%, signal=31%	
GO_KINETOCHORE_ORGANIZATION	GO_KINETOCHORE_ORGANIZATION		21	0.7096529	2.1593475	0.0	5.0000334E-4	0.02	1673	tags=48%, list=8%, signal=52%	
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY		293	0.42856273	2.1360176	0.0	8.557269E-4	0.035	3640	tags=35%, list=18%, signal=43%	
