NAME	TITLE	SCORE	
C1QL1	na	0.71692413	
LINC00997	na	0.6608596	
CFAP47	na	0.65993357	
TRIM36	na	0.62775344	
RPL23AP77	na	0.625943	
KDELR3	na	0.62541115	
SMIM3	na	0.6235693	
DNER	na	0.6188325	
EPS15P1	na	0.6154417	
LINC02577	na	0.6084154	
SBSN	na	0.6061645	
GXYLT2	na	0.5941499	
LINC01234	na	0.5936421	
CIDEC	na	0.59139425	
TSKU	na	0.58751607	
IGF2BP3	na	0.5804125	
EFNA5	na	0.57601786	
SLC2A14	na	0.5724369	
TRABD2A	na	0.5720041	
GFPT2	na	0.56540847	
LINC00475	na	0.5643893	
TPBGL	na	0.55946016	
B3GALT5	na	0.555913	
MFSD2A	na	0.55394477	
CCNB1	na	0.55121684	
IL1R2	na	0.55104136	
STEAP3	na	0.5504744	
SRPX2	na	0.5486883	
RARRES1	na	0.54460233	
TPT1P5	na	0.535601	
TRIP13	na	0.5291711	
CENPH	na	0.52780294	
TMEM44	na	0.5268612	
NMU	na	0.5267908	
SPINK13	na	0.5251535	
C10orf99	na	0.5245245	
LOX	na	0.523404	
PLTP	na	0.5209593	
RYR2	na	0.5206105	
GJA3	na	0.5188475	
SP8	na	0.5153064	
LINC02609	na	0.51460195	
PPEF1	na	0.5117762	
FAM225A	na	0.5107765	
ACTBL2	na	0.5088727	
CLMP	na	0.5077824	
RNU2-52P	na	0.50703233	
TNNT1	na	0.5056809	
CAMK2N2	na	0.505041	
CILP2	na	0.5038492	
LINC01121	na	0.503111	
TRIB3	na	0.50257385	
SMKR1	na	0.5019831	
MT2A	na	0.50136656	
SLN	na	0.50128895	
SEMA3C	na	0.49942675	
VSIG10L	na	0.49892935	
TGFBI	na	0.49889964	
CACNA2D4	na	0.4986101	
PTPRH	na	0.4979951	
MATN3	na	0.49693215	
TMEM92-AS1	na	0.4960481	
MELTF	na	0.49428242	
IGFBP1	na	0.49364296	
GSDME	na	0.49354863	
PTHLH	na	0.4934572	
RASGEF1C	na	0.49333766	
FAM225B	na	0.49216172	
KCNJ14	na	0.49128032	
TLCD2	na	0.49069113	
FGF5	na	0.48918518	
IL20RB	na	0.48845693	
INSL3	na	0.48833665	
TMEM92	na	0.48740453	
C11orf86	na	0.48696235	
PHEX	na	0.48692328	
WT1	na	0.48620546	
PTTG1	na	0.48589405	
CCN5	na	0.48545194	
SLC7A5	na	0.48445806	
RCC1	na	0.48388848	
PRR11	na	0.48154223	
DIPK1A	na	0.4808931	
LEF1	na	0.4800873	
TMPO-AS1	na	0.4795545	
EYA1	na	0.4792799	
CEBPB	na	0.4777242	
ZNF365	na	0.47512445	
CDCP1	na	0.47293392	
GOLGA6L2	na	0.4724396	
AURKA	na	0.47209913	
CDK5R2	na	0.47209767	
EDN3	na	0.47182652	
PDGFRL	na	0.47030896	
RPS2P46	na	0.47028494	
ITPKA	na	0.46968618	
ASIC2	na	0.46873283	
PSAT1	na	0.4685072	
RAB5IF	na	0.4683043	
VSTM2L	na	0.46738866	
RPL22L1	na	0.46672767	
PTGES	na	0.46649468	
FBXO27	na	0.46645582	
LINC02657	na	0.46619987	
KCNK15-AS1	na	0.46587345	
STK39	na	0.46571073	
NFE2L3	na	0.46381697	
C17orf58	na	0.46289247	
MOCOS	na	0.46289116	
PTPRN	na	0.46224603	
IFNWP19	na	0.46142456	
IRS2	na	0.4612779	
CENPA	na	0.4611831	
KIF18A	na	0.45883238	
ADGRF4	na	0.45780456	
C5orf46	na	0.45728654	
CPA4	na	0.45672762	
MOXD1	na	0.4566926	
SCN3B	na	0.45666873	
RRM2	na	0.45644063	
TPX2	na	0.45625153	
SLC52A1	na	0.45616093	
RUNX2	na	0.45427322	
SIX2	na	0.4540019	
ADAM12	na	0.4537141	
GAPDHP73	na	0.45272663	
ROR2	na	0.4525584	
CRYBG2	na	0.4517961	
SSC4D	na	0.45130962	
C16orf74	na	0.44935545	
CCDC91	na	0.44888654	
ANKRD7	na	0.44678771	
BTBD11	na	0.4465531	
MAP6D1	na	0.44605824	
PTGER2	na	0.4455988	
KIF20A	na	0.44557422	
C5orf34	na	0.44510397	
UBE2C	na	0.4435819	
IGSF23	na	0.44345585	
TUBB3	na	0.44322637	
MT2P1	na	0.44296798	
HS3ST3A1	na	0.4428068	
JAK3	na	0.43980944	
MT1X	na	0.43969855	
CDC25C	na	0.43930477	
HPCAL4	na	0.43888363	
LINC02454	na	0.43888	
ANLN	na	0.43787324	
SPOCK1	na	0.43643335	
TENM3	na	0.43627942	
CDH15	na	0.43605325	
MSX2	na	0.4359096	
C12orf45	na	0.4358627	
PLPPR5	na	0.43543932	
LINC01615	na	0.43541026	
SEMA3B	na	0.4352347	
CERCAM	na	0.4347065	
GAPDHP72	na	0.43319988	
LINC01956	na	0.4327989	
NEFL	na	0.43270147	
LINC00460	na	0.4323901	
NKD2	na	0.43227854	
PCDHA8	na	0.431982	
AIM2	na	0.43140325	
RPL39P3	na	0.43118295	
HTR3A	na	0.4311151	
BCAS1	na	0.43109798	
CHEK1	na	0.42963642	
GAPDHP71	na	0.42960533	
YY2	na	0.4293592	
BASP1	na	0.4288489	
FKBP11	na	0.42845973	
FAM71E1	na	0.42798674	
BCAS4	na	0.42745304	
PLP2	na	0.42732888	
NBL1	na	0.42729908	
DEPDC1B	na	0.42615822	
GAPDHP2	na	0.4258181	
MUC12-AS1	na	0.42540115	
CHRDL2	na	0.42537868	
SERPINE1	na	0.42501155	
SNTG2-AS1	na	0.42471376	
KLK13	na	0.42441192	
SLPI	na	0.4243199	
ECE2	na	0.4242222	
GRIN2D	na	0.42294687	
NKAIN1	na	0.42262116	
RPL22P2	na	0.4222245	
FGA	na	0.42181972	
PPP1R1A	na	0.42152616	
MUC12	na	0.42126667	
LINC01411	na	0.42105547	
ASIP	na	0.42097712	
PDCD2L	na	0.42075735	
PIM2	na	0.42072627	
PRIMA1	na	0.42009556	
NTNG2	na	0.4199151	
GAPDHP63	na	0.41974822	
RPL13AP20	na	0.4196249	
PPM1N	na	0.4195245	
C12orf73	na	0.41942015	
NUDT1	na	0.41873142	
PKP3	na	0.41869575	
IL23A	na	0.41840038	
P4HA3	na	0.418124	
HOXA13	na	0.41748184	
PPP1R14B-AS1	na	0.41728148	
MYOSLID	na	0.4172628	
WFDC3	na	0.41697067	
LRFN1	na	0.41696292	
RUNDC3A	na	0.4166728	
CENPL	na	0.4161079	
EYA2	na	0.4160871	
C1orf21	na	0.41593745	
DHCR24-DT	na	0.41590002	
GPRC5A	na	0.41571653	
LINC01914	na	0.41546166	
IGSF5	na	0.4147766	
MISP	na	0.41381413	
ZBTB7C	na	0.41321352	
CLGN	na	0.4129794	
FHL2	na	0.41249672	
TMEM158	na	0.4122968	
MTFR2	na	0.4119103	
ERC2	na	0.41173267	
