NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLMH	na	233	0.28107303380966187	0.0095925955	No	
row_1	IL4I1	na	1916	0.15035486221313477	-0.07308887	No	
row_2	ASRGL1	na	2048	0.14550404250621796	-0.06870844	No	
row_3	DDAH2	na	2247	0.1378290206193924	-0.06872653	No	
row_4	AHCY	na	3189	0.10827755928039551	-0.11302902	No	
row_5	CRYM	na	3233	0.10680186003446579	-0.1068165	No	
row_6	BCAT2	na	5486	0.05715573951601982	-0.22917485	No	
row_7	SDSL	na	5553	0.05602582171559334	-0.22836548	No	
row_8	GAD1	na	6256	0.04279112443327904	-0.26448768	No	
row_9	GLDC	na	6564	0.03727003186941147	-0.27878407	No	
row_10	GLS	na	6766	0.033731844276189804	-0.28738967	No	
row_11	GLUD1	na	7354	0.023514024913311005	-0.31858647	No	
row_12	PPAT	na	7744	0.016812574118375778	-0.33916086	No	
row_13	HAL	na	8097	0.010838348418474197	-0.35813212	No	
row_14	GCAT	na	9267	-0.009792754426598549	-0.42325506	No	
row_15	GOT1	na	9420	-0.01262284442782402	-0.43080485	No	
row_16	AMT	na	9880	-0.021021369844675064	-0.4549859	No	
row_17	AFMID	na	9947	-0.022142240777611732	-0.4569167	No	
row_18	FTCD	na	10115	-0.025360502302646637	-0.46428218	No	
row_19	OAT	na	10298	-0.02874099649488926	-0.4722201	No	
row_20	HAAO	na	10332	-0.029428351670503616	-0.47170094	No	
row_21	THNSL2	na	10354	-0.029837187379598618	-0.4704721	No	
row_22	SHMT2	na	10592	-0.0340130478143692	-0.48108485	No	
row_23	FAH	na	10779	-0.03762965649366379	-0.48852947	No	
row_24	DDO	na	11055	-0.04240158945322037	-0.5006065	No	
row_25	KMO	na	11218	-0.04558015242218971	-0.5060549	No	
row_26	CBS	na	11338	-0.04795950651168823	-0.5088863	No	
row_27	GLUD2	na	11458	-0.05037543177604675	-0.5115223	No	
row_28	PCBD1	na	11597	-0.05295850709080696	-0.5150208	No	
row_29	ARG2	na	11615	-0.053351446986198425	-0.51166475	No	
row_30	KYNU	na	11892	-0.05872347578406334	-0.5224782	No	
row_31	ATP2B4	na	11956	-0.060427166521549225	-0.5211438	No	
row_32	KYAT1	na	12083	-0.06311473995447159	-0.52314425	No	
row_33	GOT2	na	12288	-0.0670444518327713	-0.52922505	No	
row_34	GCSH	na	12391	-0.06912931799888611	-0.52938586	No	
row_35	HYKK	na	12396	-0.06924653053283691	-0.52401143	No	
row_36	UROC1	na	12688	-0.0751044899225235	-0.5343459	No	
