NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDPD3	na	90	0.321778267621994	0.008165967	No	
row_1	PRKCD	na	488	0.24507080018520355	-0.004235659	No	
row_2	TYSND1	na	755	0.21728481352329254	-0.010356294	No	
row_3	GLA	na	799	0.21368956565856934	-0.003982737	No	
row_4	ABHD12	na	1305	0.1787424385547638	-0.025242161	No	
row_5	SMPD2	na	1317	0.1780281811952591	-0.018524915	No	
row_6	PLA2G15	na	1452	0.17086605727672577	-0.019076178	No	
row_7	INPP5F	na	1771	0.15561841428279877	-0.030687597	No	
row_8	NEU1	na	1780	0.15534837543964386	-0.024735458	No	
row_9	SRD5A3	na	2078	0.14394530653953552	-0.035637666	No	
row_10	SPHK1	na	2306	0.13520213961601257	-0.04293191	No	
row_11	FABP5	na	2322	0.1345236897468567	-0.03823531	No	
row_12	AKR1B10	na	2495	0.1293586790561676	-0.042652417	No	
row_13	ACOT8	na	2695	0.12283449620008469	-0.048869245	No	
row_14	CYP26B1	na	2761	0.12113156169652939	-0.04755949	No	
row_15	AKR1C3	na	2864	0.11755550652742386	-0.048494812	No	
row_16	ACOXL	na	2965	0.11479269713163376	-0.049430672	No	
row_17	ABCD1	na	3146	0.10956915467977524	-0.055117324	No	
row_18	MT3	na	3301	0.10515627264976501	-0.059511933	No	
row_19	ETFB	na	3497	0.09985065460205078	-0.06644971	No	
row_20	SMPD4	na	4144	0.08455567806959152	-0.09958651	No	
row_21	DAGLB	na	4577	0.0747036263346672	-0.12099735	No	
row_22	FABP6	na	4719	0.07159887999296188	-0.12603867	No	
row_23	CPT1C	na	4819	0.06974849849939346	-0.1287752	No	
row_24	TWIST1	na	4921	0.06763844192028046	-0.13171212	No	
row_25	PPARD	na	5006	0.06598219275474548	-0.13375357	No	
row_26	SMPDL3B	na	5286	0.060760971158742905	-0.14706536	No	
row_27	APOA4	na	5380	0.05895548686385155	-0.14990678	No	
row_28	DAGLA	na	5436	0.05796383321285248	-0.15063477	No	
row_29	PPT1	na	5459	0.05753794685006142	-0.14950947	No	
row_30	FABP3	na	5482	0.0572570376098156	-0.14839576	No	
row_31	NUDT19	na	5509	0.05680892989039421	-0.14752729	No	
row_32	CPT1B	na	5626	0.05476335808634758	-0.1518455	No	
row_33	APOC2	na	6051	0.04668687283992767	-0.17395803	No	
row_34	GM2A	na	6438	0.03958943113684654	-0.19420892	No	
row_35	HEXB	na	6488	0.03862202912569046	-0.1953943	No	
row_36	MCAT	na	6556	0.037442661821842194	-0.1976488	No	
row_37	CNR1	na	6697	0.03492987900972366	-0.20414543	No	
row_38	SIRT2	na	6790	0.03331736847758293	-0.20798734	No	
row_39	PSAP	na	7078	0.028032023459672928	-0.22310221	No	
row_40	ENPP6	na	7404	0.022588901221752167	-0.24059586	No	
row_41	GDPD1	na	7420	0.022330978885293007	-0.24052544	No	
row_42	ACAT2	na	7461	0.021393585950136185	-0.241911	No	
row_43	PNPLA6	na	7558	0.02006399631500244	-0.24652615	No	
row_44	ECH1	na	7709	0.017493216320872307	-0.25430873	No	
row_45	ACER3	na	7840	0.015238462947309017	-0.2610504	No	
row_46	APOA2	na	7962	0.013382643461227417	-0.2673584	No	
row_47	PRDX6	na	8109	0.01071067713201046	-0.27519384	No	
row_48	CEL	na	8140	0.010171351954340935	-0.27647522	No	
row_49	AIG1	na	8239	0.008723345585167408	-0.28167138	No	
row_50	APOA1	na	8410	0.005547842010855675	-0.29108036	No	
row_51	GBA	na	8541	0.003184047993272543	-0.2983191	No	
row_52	CROT	na	8545	0.0031371156219393015	-0.2983598	No	
row_53	LPL	na	8551	0.0030470306519418955	-0.29851764	No	
row_54	GALC	na	8665	0.0010983041720464826	-0.30487862	No	
row_55	PHYH	na	8685	6.416209507733583E-4	-0.3059293	No	
row_56	AOAH	na	8781	-8.187785861082375E-4	-0.31128135	No	
