NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDT1	na	33	0.36431536078453064	0.041696943	Yes	
row_1	RAD51	na	60	0.3477139174938202	0.08180308	Yes	
row_2	PRIM2	na	104	0.31659331917762756	0.11723214	Yes	
row_3	GINS1	na	194	0.2889251708984375	0.14676498	Yes	
row_4	POLD1	na	234	0.28072676062583923	0.17813128	Yes	
row_5	GMNN	na	351	0.2640141248703003	0.20316668	Yes	
row_6	CDC45	na	365	0.262000173330307	0.23375727	Yes	
row_7	RFC4	na	377	0.2586759030818939	0.26406297	Yes	
row_8	MCM2	na	497	0.24389484524726868	0.2865243	Yes	
row_9	LIG1	na	584	0.23368701338768005	0.30962226	Yes	
row_10	CHEK2	na	638	0.22812533378601074	0.33391225	Yes	
row_11	RFC2	na	707	0.22180911898612976	0.35660306	Yes	
row_12	MCM7	na	788	0.21434424817562103	0.3777262	Yes	
row_13	DBF4	na	810	0.2129855901002884	0.40200692	Yes	
row_14	MCM6	na	921	0.20285576581954956	0.42006847	Yes	
row_15	MCM4	na	1040	0.1942402720451355	0.43664986	Yes	
row_16	FEN1	na	1110	0.18952886760234833	0.45542532	Yes	
row_17	DONSON	na	1677	0.15986794233322144	0.44268787	Yes	
row_18	MCM5	na	1715	0.15830352902412415	0.459531	Yes	
row_19	ATAD5	na	1793	0.15501388907432556	0.47373003	Yes	
row_20	POLA2	na	1909	0.15061408281326294	0.48526472	Yes	
row_21	RPA3	na	1919	0.15025494992733002	0.50272125	Yes	
row_22	MCM3	na	2012	0.14677183330059052	0.5150909	Yes	
row_23	RFC5	na	2092	0.14345887303352356	0.5277959	Yes	
row_24	E2F8	na	2180	0.14004048705101013	0.53964216	Yes	
row_25	POLA1	na	2370	0.13278654217720032	0.54488146	Yes	
row_26	PRIM1	na	2519	0.12857837975025177	0.5519248	Yes	
row_27	FBXO5	na	2646	0.1247122660279274	0.559744	Yes	
row_28	DBF4B	na	2653	0.12445983290672302	0.5742855	Yes	
row_29	PCNA	na	2785	0.12019964307546616	0.58128387	Yes	
row_30	TIPIN	na	2962	0.11482369899749756	0.5851072	Yes	
row_31	POLE2	na	3105	0.11062479764223099	0.59034187	Yes	
row_32	DNA2	na	3217	0.1072484701871872	0.59691733	Yes	
row_33	ZPR1	na	3394	0.10244251787662506	0.5992605	Yes	
row_34	RTF2	na	3896	0.09026674926280975	0.58185995	No	
row_35	ORC3	na	4797	0.07007681578397751	0.5395933	No	
row_36	RPA1	na	4862	0.06883018463850021	0.54422057	No	
row_37	POLE3	na	5285	0.06076878681778908	0.5277389	No	
row_38	POLD3	na	5402	0.05870234593749046	0.5282293	No	
row_39	BRCA2	na	5475	0.05731147527694702	0.53102934	No	
row_40	POLE4	na	5700	0.053628865629434586	0.5248359	No	
row_41	POLD2	na	6227	0.043494224548339844	0.50043684	No	
row_42	FGFR1	na	6510	0.03826284408569336	0.4891426	No	
row_43	CDC7	na	6791	0.033280763775110245	0.47736531	No	
row_44	UPF1	na	7137	0.027010168880224228	0.46118072	No	
row_45	TERF2	na	7560	0.020050032064318657	0.43983117	No	
row_46	RFC3	na	7658	0.018295062705874443	0.43656	No	
row_47	RPA2	na	7705	0.017554515972733498	0.43607014	No	
row_48	WIZ	na	7817	0.015584731474518776	0.43168718	No	
row_49	RFC1	na	7827	0.015420949086546898	0.43302432	No	
row_50	POLE	na	8323	0.007237962447106838	0.40603524	No	
row_51	E2F7	na	9977	-0.022554341703653336	0.3157149	No	
row_52	ZNF830	na	10691	-0.03598795831203461	0.27989572	No	
row_53	ATRX	na	10998	-0.04143936559557915	0.26763073	No	
row_54	INO80	na	11626	-0.05359765887260437	0.23875612	No	
row_55	POLD4	na	12040	-0.06213103607296944	0.22294378	No	
row_56	SENP2	na	12239	-0.06610643863677979	0.21970506	No	
row_57	TERF1	na	12513	-0.07152540236711502	0.21289381	No	
row_58	ZMPSTE24	na	12914	-0.07967495918273926	0.19991037	No	
row_59	BCL6	na	13274	-0.08868637681007385	0.19031137	No	
row_60	DACH1	na	15107	-0.13812175393104553	0.10373453	No	
row_61	RTEL1	na	15285	-0.143964946269989	0.110985495	No	
row_62	NUGGC	na	17468	-0.27049753069877625	0.020539163	No	
