NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.02832056	Yes	
row_1	RPL39	na	262	0.27577099204063416	0.036099482	Yes	
row_2	RPS21	na	346	0.26448315382003784	0.05191271	Yes	
row_3	RPS10	na	511	0.24227571487426758	0.061437976	Yes	
row_4	RPL23A	na	723	0.2206314355134964	0.066636026	Yes	
row_5	RPL18A	na	812	0.21260909736156464	0.07814791	Yes	
row_6	RPS5	na	900	0.20454254746437073	0.08909115	Yes	
row_7	RPL36	na	988	0.19773724675178528	0.099507086	Yes	
row_8	RPL38	na	1006	0.19679155945777893	0.11379675	Yes	
row_9	RPS12	na	1057	0.19280105829238892	0.12591648	Yes	
row_10	RPL28	na	1115	0.1892320066690445	0.13736497	Yes	
row_11	RPLP2	na	1118	0.18903173506259918	0.15189916	Yes	
row_12	RPL17	na	1133	0.18804612755775452	0.16568033	Yes	
row_13	RPL26	na	1170	0.18609853088855743	0.17807013	Yes	
row_14	RPSA	na	1178	0.18559056520462036	0.19205575	Yes	
row_15	RPS24	na	1338	0.1769651621580124	0.19680242	Yes	
row_16	RPL37A	na	1349	0.1763157695531845	0.20990023	Yes	
row_17	RPL27A	na	1386	0.1741485744714737	0.2213641	Yes	
row_18	RPL18	na	1458	0.1707325428724289	0.23058976	Yes	
row_19	RPL32	na	1469	0.17034393548965454	0.24322486	Yes	
row_20	RPS19	na	1489	0.16955415904521942	0.25529128	Yes	
row_21	RPS27	na	1493	0.16928613185882568	0.2682391	Yes	
row_22	RPL41	na	1508	0.16817106306552887	0.2804803	Yes	
row_23	RPL35A	na	1530	0.16729077696800232	0.29225856	Yes	
row_24	RPS27A	na	1562	0.16554118692874908	0.30333742	Yes	
row_25	RPS11	na	1580	0.16445454955101013	0.31512147	Yes	
row_26	RPS29	na	1587	0.16407263278961182	0.32749617	Yes	
row_27	RPS16	na	1604	0.16325944662094116	0.33924404	Yes	
row_28	RPL37	na	1627	0.16215495765209198	0.35056797	Yes	
row_29	RPL27	na	1740	0.1572853922843933	0.3564399	Yes	
row_30	RPS7	na	1778	0.1554761528968811	0.36640054	Yes	
row_31	RPL14	na	1786	0.15517061948776245	0.3780291	Yes	
row_32	RPL13A	na	1854	0.15253408253192902	0.38607022	Yes	
row_33	RPL8	na	1866	0.15213781595230103	0.39723825	Yes	
row_34	RPS15	na	1873	0.1518920511007309	0.40866917	Yes	
row_35	RPS18	na	1892	0.15117549896240234	0.4193679	Yes	
row_36	RPS13	na	1917	0.1503174602985382	0.42966187	Yes	
row_37	RPS2	na	1926	0.14997777342796326	0.4408317	Yes	
row_38	RPL9	na	1964	0.14864054322242737	0.4502627	Yes	
row_39	RPS15A	na	2052	0.1452481746673584	0.45661157	Yes	
row_40	RPL23	na	2066	0.14437730610370636	0.46706548	Yes	
row_41	RPL30	na	2095	0.14339113235473633	0.47659722	Yes	
row_42	RPL31	na	2107	0.14266474545001984	0.48703122	Yes	
row_43	RPL7	na	2108	0.14256533980369568	0.49807778	Yes	
row_44	RPS17	na	2129	0.14193207025527954	0.50794756	Yes	
row_45	RPL29	na	2134	0.14166119694709778	0.5186985	Yes	
row_46	RPS3	na	2163	0.14037960767745972	0.5279969	Yes	
row_47	RPS28	na	2190	0.1394168734550476	0.5373334	Yes	
row_48	RPS4X	na	2210	0.1389683037996292	0.54703	Yes	
row_49	UBA52	na	2220	0.13853497803211212	0.55725676	Yes	
row_50	RPL21	na	2248	0.13778063654899597	0.5664101	Yes	
row_51	RPL24	na	2287	0.13613419234752655	0.5748157	Yes	
row_52	RPS23	na	2298	0.13566699624061584	0.5847639	Yes	
row_53	SSR2	na	2319	0.1346505880355835	0.5940695	Yes	
row_54	RPS9	na	2327	0.13430926203727722	0.6040816	Yes	
row_55	RPL13	na	2391	0.13230441510677338	0.6107808	Yes	
row_56	RPL10A	na	2440	0.13071241974830627	0.6182024	Yes	
row_57	RPL35	na	2450	0.13027805089950562	0.62778944	Yes	
row_58	RPLP1	na	2476	0.1296459287405014	0.63642526	Yes	
row_59	ZFAND2B	na	2511	0.12878616154193878	0.644487	Yes	
row_60	RPS14	na	2673	0.12389949709177017	0.64500916	Yes	
row_61	RPS3A	na	2679	0.12344777584075928	0.65429246	Yes	
row_62	RPS25	na	2690	0.12297889590263367	0.66325754	Yes	
row_63	RPS8	na	2763	0.12091497331857681	0.66856676	Yes	
row_64	RPL22	na	2848	0.11828912794589996	0.67299587	Yes	
row_65	RPS26	na	2873	0.11740526556968689	0.6807397	Yes	
row_66	RPL10	na	3037	0.11264147609472275	0.68027675	Yes	
row_67	RPS20	na	3093	0.11108367890119553	0.68578273	Yes	
row_68	RPLP0	na	3138	0.10969720035791397	0.69180155	Yes	
row_69	RPL6	na	3224	0.10703423619270325	0.69530225	Yes	
row_70	RPL12	na	3261	0.10605912655591965	0.7014902	Yes	
row_71	RPL7A	na	3443	0.10105722397565842	0.69911474	Yes	
row_72	RPS6	na	3466	0.100635826587677	0.70567197	Yes	
row_73	RPL5	na	3483	0.1001475527882576	0.71252966	Yes	
row_74	RPL19	na	3764	0.093316450715065	0.70397216	Yes	
row_75	TRAM1L1	na	3792	0.0926382765173912	0.70962775	Yes	
row_76	RPL11	na	3869	0.09075332432985306	0.7123744	Yes	
row_77	RPL15	na	3927	0.08955656737089157	0.7160996	Yes	
row_78	RPL4	na	3930	0.08945966511964798	0.72291857	Yes	
row_79	RPL34	na	4214	0.08279118686914444	0.7133764	No	
row_80	SRP19	na	4878	0.06859824061393738	0.681308	No	
row_81	SSR1	na	5238	0.06153400242328644	0.6658334	No	
row_82	SRP14	na	5340	0.059607140719890594	0.6647571	No	
row_83	SSR3	na	5448	0.057750992476940155	0.6631986	No	
row_84	RPL3	na	5710	0.05345623195171356	0.65262395	No	
row_85	SRP68	na	6282	0.04222550615668297	0.62369955	No	
row_86	SEC61A1	na	6516	0.03820149227976799	0.61352164	No	
row_87	SEC61B	na	7149	0.026797564700245857	0.5799623	No	
row_88	RPS4Y1	na	8021	0.012152706272900105	0.53179204	No	
row_89	SRP9	na	8406	0.0056677632965147495	0.51057905	No	
row_90	SRP72	na	8413	0.0055236476473510265	0.51066875	No	
row_91	ARL6IP1	na	8609	0.0020682578906416893	0.49983382	No	
row_92	SEC63	na	9364	-0.011717457324266434	0.45822692	No	
row_93	TRAM1	na	9540	-0.014856435358524323	0.44951057	No	
row_94	TRAM2	na	10068	-0.024288590997457504	0.4216773	No	
row_95	SEC62	na	10208	-0.026988064870238304	0.41593084	No	
row_96	SEC61A2	na	10363	-0.029979176819324493	0.40957034	No	
row_97	SRP54	na	12445	-0.07033922523260117	0.29768193	No	
row_98	SRPRA	na	12844	-0.07830873131752014	0.2813081	No	
