NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TYSND1	na	755	0.21728481352329254	-0.018525466	No	
row_1	ACOT8	na	2695	0.12283449620008469	-0.11411989	No	
row_2	ACOXL	na	2965	0.11479269713163376	-0.11659652	No	
row_3	ABCD1	na	3146	0.10956915467977524	-0.11463963	No	
row_4	ETFB	na	3497	0.09985065460205078	-0.12332441	No	
row_5	CPT1C	na	4819	0.06974849849939346	-0.1899885	No	
row_6	TWIST1	na	4921	0.06763844192028046	-0.18821104	No	
row_7	PPARD	na	5006	0.06598219275474548	-0.18565938	No	
row_8	CPT1B	na	5626	0.05476335808634758	-0.21446092	No	
row_9	MCAT	na	6556	0.037442661821842194	-0.26262358	No	
row_10	CNR1	na	6697	0.03492987900972366	-0.2666503	No	
row_11	ACAT2	na	7461	0.021393585950136185	-0.30723947	No	
row_12	ECH1	na	7709	0.017493216320872307	-0.31921312	No	
row_13	CROT	na	8545	0.0031371156219393015	-0.36586955	No	
row_14	ECI1	na	9101	-0.006846091244369745	-0.3963554	No	
row_15	HADHA	na	9222	-0.0090797645971179	-0.40210843	No	
row_16	PEX7	na	10502	-0.03271477669477463	-0.4704944	No	
row_17	ECI2	na	10671	-0.0355432964861393	-0.47602957	No	
row_18	ECHS1	na	10693	-0.036020830273628235	-0.47323737	No	
row_19	FABP1	na	10789	-0.03785724937915802	-0.47440803	No	
row_20	MECR	na	10859	-0.039011988788843155	-0.47398773	No	
row_21	ACADVL	na	10953	-0.040665991604328156	-0.47473592	No	
row_22	PEX2	na	11140	-0.04413449391722679	-0.48033643	No	
row_23	HADHB	na	11539	-0.05177636444568634	-0.49702734	No	
row_24	AKT1	na	11605	-0.05310408025979996	-0.49482706	No	
row_25	AKT2	na	12064	-0.06258842349052429	-0.51370245	No	
row_26	DECR2	na	12614	-0.07369967550039291	-0.5364744	Yes	
row_27	CPT1A	na	12663	-0.0748169794678688	-0.5309215	Yes	
row_28	SLC25A17	na	12800	-0.0773828849196434	-0.5300391	Yes	
row_29	ETFA	na	13039	-0.08294928818941116	-0.5342841	Yes	
row_30	ACOX3	na	13081	-0.0836595669388771	-0.5273615	Yes	
row_31	ACOX1	na	13323	-0.09005890786647797	-0.530991	Yes	
row_32	DECR1	na	13544	-0.09517072141170502	-0.53287435	Yes	
row_33	ECHDC1	na	13662	-0.09790340065956116	-0.52865833	Yes	
row_34	ACAD10	na	13741	-0.09967739135026932	-0.5220512	Yes	
row_35	CRAT	na	13996	-0.10640666633844376	-0.52460873	Yes	
row_36	MTOR	na	14069	-0.10818158835172653	-0.5167256	Yes	
row_37	ACAA1	na	14133	-0.11009323596954346	-0.5081249	Yes	
row_38	ABCD2	na	14165	-0.11091512441635132	-0.49763224	Yes	
row_39	PLIN5	na	14273	-0.11347679048776627	-0.491135	Yes	
row_40	ACOX2	na	14659	-0.12406633049249649	-0.49911812	Yes	
row_41	ACAT1	na	14740	-0.1267167180776596	-0.48964024	Yes	
row_42	ABCD3	na	14787	-0.128091499209404	-0.4780968	Yes	
row_43	IVD	na	14863	-0.13058221340179443	-0.46791098	Yes	
row_44	IRS2	na	15166	-0.1398933380842209	-0.46947575	Yes	
row_45	ACADS	na	15303	-0.14467637240886688	-0.4611686	Yes	
row_46	LONP2	na	15412	-0.14856939017772675	-0.45085573	Yes	
row_47	SESN2	na	15576	-0.15353435277938843	-0.44309106	Yes	
row_48	IRS1	na	15806	-0.16263575851917267	-0.4380374	Yes	
row_49	AUH	na	16049	-0.17134088277816772	-0.43275502	Yes	
row_50	ECHDC2	na	16210	-0.17970070242881775	-0.42193446	Yes	
row_51	PPARA	na	16305	-0.18474961817264557	-0.40684167	Yes	
row_52	SLC27A2	na	16349	-0.18656381964683533	-0.38867787	Yes	
row_53	MLYCD	na	16492	-0.19390325248241425	-0.37527707	Yes	
row_54	HSD17B4	na	16784	-0.21095219254493713	-0.36838245	Yes	
row_55	GCDH	na	16857	-0.21579609811306	-0.3486258	Yes	
row_56	AMACR	na	16922	-0.21991758048534393	-0.32796407	Yes	
row_57	ACAA2	na	16977	-0.2234502136707306	-0.3063497	Yes	
row_58	HADH	na	17176	-0.24061301350593567	-0.2909475	Yes	
row_59	ETFBKMT	na	17218	-0.24432045221328735	-0.26629862	Yes	
row_60	EHHADH	na	17294	-0.2524205148220062	-0.24266993	Yes	
row_61	ACACB	na	17381	-0.26216307282447815	-0.21858549	Yes	
row_62	ACADM	na	17483	-0.2730998694896698	-0.19413872	Yes	
row_63	CPT2	na	17489	-0.2745119631290436	-0.16413227	Yes	
row_64	SCP2	na	17585	-0.28817880153656006	-0.13768405	Yes	
row_65	ACADL	na	17651	-0.3043835163116455	-0.10775918	Yes	
row_66	ACAD11	na	17699	-0.32117974758148193	-0.07496789	Yes	
row_67	BDH2	na	17729	-0.33145925402641296	-0.0400292	Yes	
row_68	ETFDH	na	17819	-0.4153517484664917	7.88224E-4	Yes	
