NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDPD3	na	90	0.321778267621994	0.004498489	No	
row_1	PAFAH1B3	na	115	0.31230995059013367	0.012474809	No	
row_2	PLCB1	na	323	0.2677687704563141	0.008689961	No	
row_3	PRKCD	na	488	0.24507080018520355	0.0066764364	No	
row_4	TYSND1	na	755	0.21728481352329254	-0.0019810458	No	
row_5	GLA	na	799	0.21368956565856934	0.001961907	No	
row_6	ABHD12	na	1305	0.1787424385547638	-0.021468509	No	
row_7	SMPD2	na	1317	0.1780281811952591	-0.01676894	No	
row_8	PLA2G15	na	1452	0.17086605727672577	-0.019292999	No	
row_9	CDK4	na	1670	0.16004997491836548	-0.026870547	No	
row_10	HSD17B14	na	1737	0.15741191804409027	-0.025922056	No	
row_11	INPP5F	na	1771	0.15561841428279877	-0.023146667	No	
row_12	NEU1	na	1780	0.15534837543964386	-0.018954694	No	
row_13	PLA2G7	na	1930	0.14984750747680664	-0.022962404	No	
row_14	SRD5A3	na	2078	0.14394530653953552	-0.027032731	No	
row_15	CYP27B1	na	2265	0.13728173077106476	-0.0335249	No	
row_16	SPHK1	na	2306	0.13520213961601257	-0.03175925	No	
row_17	FABP5	na	2322	0.1345236897468567	-0.028589237	No	
row_18	AKR1B10	na	2495	0.1293586790561676	-0.034520645	No	
row_19	ACOT8	na	2695	0.12283449620008469	-0.042185884	No	
row_20	CYP26B1	na	2761	0.12113156169652939	-0.042265877	No	
row_21	PLCB3	na	2775	0.12036469578742981	-0.039405514	No	
row_22	AKR1C3	na	2864	0.11755550652742386	-0.04090319	No	
row_23	CYP19A1	na	2939	0.11544192582368851	-0.041666288	No	
row_24	ACOXL	na	2965	0.11479269713163376	-0.03965647	No	
row_25	ABCD1	na	3146	0.10956915467977524	-0.04663585	No	
row_26	MT3	na	3301	0.10515627264976501	-0.052265614	No	
row_27	ASPG	na	3354	0.10354463011026382	-0.052130964	No	
row_28	ETFB	na	3497	0.09985065460205078	-0.057235625	No	
row_29	PLCD3	na	3694	0.09493058919906616	-0.06556476	No	
row_30	PLD4	na	3917	0.08967068046331406	-0.07553292	No	
row_31	SMPD4	na	4144	0.08455567806959152	-0.08588206	No	
row_32	PLD2	na	4224	0.08265998959541321	-0.0879109	No	
row_33	YWHAH	na	4373	0.07961477339267731	-0.093962915	No	
row_34	THRA	na	4565	0.07493386417627335	-0.102605395	No	
row_35	DAGLB	na	4577	0.0747036263346672	-0.100997195	No	
row_36	PLBD1	na	4586	0.07448141276836395	-0.09922468	No	
row_37	SPP1	na	4603	0.07408216595649719	-0.09792	No	
row_38	FABP6	na	4719	0.07159887999296188	-0.10233129	No	
row_39	PLA2G1B	na	4777	0.07031384855508804	-0.1034758	No	
row_40	CPT1C	na	4819	0.06974849849939346	-0.10372545	No	
row_41	TWIST1	na	4921	0.06763844192028046	-0.107457414	No	
row_42	PLD6	na	5000	0.06606683135032654	-0.10992571	No	
row_43	PPARD	na	5006	0.06598219275474548	-0.10823653	No	
row_44	SMPDL3B	na	5286	0.060760971158742905	-0.122317865	No	
row_45	APOA4	na	5380	0.05895548686385155	-0.12585373	No	
row_46	DAGLA	na	5436	0.05796383321285248	-0.12725377	No	
row_47	PPT1	na	5459	0.05753794685006142	-0.126786	No	
row_48	FABP3	na	5482	0.0572570376098156	-0.12632662	No	
row_49	NUDT19	na	5509	0.05680892989039421	-0.12610862	No	
row_50	CPT1B	na	5626	0.05476335808634758	-0.13108058	No	
row_51	PLD1	na	5677	0.05395950376987457	-0.1323155	No	
row_52	APOC2	na	6051	0.04668687283992767	-0.15217467	No	
row_53	LDAH	na	6055	0.04663311317563057	-0.1509504	No	
row_54	FMC1	na	6160	0.04475991800427437	-0.15553784	No	
row_55	IAH1	na	6214	0.043753523379564285	-0.15724906	No	
row_56	PLD3	na	6275	0.04231947287917137	-0.1594021	No	
row_57	PLA2G2D	na	6317	0.04159087315201759	-0.1604942	No	
row_58	GM2A	na	6438	0.03958943113684654	-0.1661481	No	
row_59	HEXB	na	6488	0.03862202912569046	-0.16778491	No	
row_60	MCAT	na	6556	0.037442661821842194	-0.17048277	No	
row_61	CNR1	na	6697	0.03492987900972366	-0.17741582	No	
row_62	TBL1XR1	na	6748	0.03398507088422775	-0.17924835	No	
row_63	SIRT2	na	6790	0.03331736847758293	-0.18058798	No	
row_64	PLCH2	na	6868	0.031717345118522644	-0.18402699	No	
row_65	PLBD2	na	6935	0.03045160323381424	-0.18687701	No	
row_66	PLCD4	na	7006	0.029203493148088455	-0.18999234	No	
row_67	PSAP	na	7078	0.028032023459672928	-0.1931997	No	
row_68	PAFAH1B2	na	7293	0.024393048137426376	-0.204665	No	
row_69	ENPP6	na	7404	0.022588901221752167	-0.21025768	No	
row_70	GDPD1	na	7420	0.022330978885293007	-0.21044436	No	
row_71	TRERF1	na	7459	0.02140287309885025	-0.2119695	No	
row_72	ACAT2	na	7461	0.021393585950136185	-0.21138641	No	
row_73	PNPLA6	na	7558	0.02006399631500244	-0.21625683	No	
row_74	ECH1	na	7709	0.017493216320872307	-0.22428143	No	
row_75	ACER3	na	7840	0.015238462947309017	-0.23123376	No	
row_76	SNX17	na	7954	0.013570666313171387	-0.23726723	No	
row_77	APOA2	na	7962	0.013382643461227417	-0.23726574	No	
row_78	PLB1	na	8073	0.011173256672918797	-0.24319996	No	
row_79	PRDX6	na	8109	0.01071067713201046	-0.24487403	No	
row_80	CEL	na	8140	0.010171351954340935	-0.24627931	No	
row_81	ABHD4	na	8191	0.009268338792026043	-0.24885134	No	
row_82	AIG1	na	8239	0.008723345585167408	-0.2512687	No	
row_83	PAFAH1B1	na	8362	0.006553246174007654	-0.25802502	No	
row_84	APOA1	na	8410	0.005547842010855675	-0.2605374	No	
row_85	RAB7A	na	8473	0.0044096396304667	-0.26393864	No	
row_86	GBA	na	8541	0.003184047993272543	-0.26766145	No	
row_87	CROT	na	8545	0.0031371156219393015	-0.26773855	No	
row_88	PLCD1	na	8548	0.003065313445404172	-0.2677608	No	
row_89	LPL	na	8551	0.0030470306519418955	-0.26778364	No	
row_90	CRTC3	na	8563	0.00283449306152761	-0.2683257	No	
row_91	HCAR2	na	8608	0.002074179472401738	-0.27077103	No	
row_92	GALC	na	8665	0.0010983041720464826	-0.27392942	No	
row_93	PHYH	na	8685	6.416209507733583E-4	-0.27499297	No	
row_94	AOAH	na	8781	-8.187785861082375E-4	-0.2803822	No	
row_95	ADRA2A	na	8922	-0.0035657426342368126	-0.28825364	No	
row_96	SCARB1	na	9079	-0.006421130150556564	-0.2969514	No	
row_97	ECI1	na	9101	-0.006846091244369745	-0.2979433	No	
row_98	SMPD1	na	9210	-0.00884768646210432	-0.30383313	No	
row_99	HADHA	na	9222	-0.0090797645971179	-0.30418834	No	
row_100	ENPP2	na	9385	-0.012067156843841076	-0.31305912	No	
