NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL4	na	1125	0.18854749202728271	-0.04699752	No	
row_1	MAPK3	na	2020	0.14665992558002472	-0.084621266	No	
row_2	SLC27A3	na	2436	0.13076992332935333	-0.09662512	No	
row_3	ACOT8	na	2695	0.12283449620008469	-0.100469224	No	
row_4	AKR1C3	na	2864	0.11755550652742386	-0.09969937	No	
row_5	ACOT7	na	3025	0.11291438341140747	-0.098882824	No	
row_6	ABCD1	na	3146	0.10956915467977524	-0.096102655	No	
row_7	HPGDS	na	3755	0.09340860694646835	-0.1222419	No	
row_8	PTGES3	na	3768	0.09326609969139099	-0.114793375	No	
row_9	PTGES2	na	4414	0.07835499197244644	-0.14432997	No	
row_10	CYP2S1	na	4491	0.07645010948181152	-0.14195447	No	
row_11	DAGLB	na	4577	0.0747036263346672	-0.14023851	No	
row_12	PTGDS	na	4798	0.0700724646449089	-0.14653677	No	
row_13	ALOX15	na	5302	0.06044721603393555	-0.16962801	No	
row_14	DAGLA	na	5436	0.05796383321285248	-0.17207642	No	
row_15	PTGES	na	5488	0.057124052196741104	-0.16997515	No	
row_16	ELOVL3	na	5792	0.05181203782558441	-0.18254341	No	
row_17	ACSL3	na	6061	0.04646893963217735	-0.193604	No	
row_18	TBXAS1	na	6106	0.04565392807126045	-0.19210733	No	
row_19	LTA4H	na	6335	0.041148994117975235	-0.20137633	No	
row_20	ELOVL1	na	6458	0.03918471559882164	-0.20484057	No	
row_21	GPX4	na	6746	0.03400968760251999	-0.21805772	No	
row_22	FADS1	na	7315	0.024063408374786377	-0.24798304	No	
row_23	ACAD9	na	7429	0.022241832688450813	-0.2524159	No	
row_24	ACSBG1	na	7480	0.0211920328438282	-0.25338852	No	
row_25	ELOVL2	na	7878	0.014594431035220623	-0.27449843	No	
row_26	SLC27A1	na	7998	0.012668403796851635	-0.28010356	No	
row_27	AIG1	na	8239	0.008723345585167408	-0.2928739	No	
row_28	GSTP1	na	9179	-0.008212449960410595	-0.34509566	No	
row_29	PTGIS	na	9225	-0.009118284098803997	-0.34683824	No	
row_30	FADS2	na	9327	-0.010932166129350662	-0.35157984	No	
row_31	ALOX15B	na	9763	-0.018801676109433174	-0.37446553	No	
row_32	CYP4F12	na	9840	-0.020225148648023605	-0.37698817	No	
row_33	PTGS1	na	10230	-0.02727552317082882	-0.39654234	No	
row_34	PLA2G4C	na	10727	-0.03659098967909813	-0.42131722	No	
row_35	CYP2E1	na	10839	-0.03861165791749954	-0.42421123	No	
row_36	GSTA1	na	10873	-0.03916439041495323	-0.42265978	No	
row_37	ALOX5	na	10908	-0.039903391152620316	-0.42110032	No	
row_38	CYP2A13	na	11583	-0.052575938403606415	-0.4545176	No	
row_39	CBR1	na	11595	-0.052912548184394836	-0.45052817	No	
row_40	SLC27A4	na	11707	-0.05525463819503784	-0.4519723	No	
row_41	PNPLA3	na	12179	-0.0649678036570549	-0.4728657	No	
row_42	CYP2C19	na	12195	-0.0652686357498169	-0.46802536	No	
row_43	CPT1A	na	12663	-0.0748169794678688	-0.4878352	No	
row_44	FAAH2	na	12790	-0.07719340920448303	-0.48821375	No	
row_45	QKI	na	12930	-0.07991261780261993	-0.48908833	No	
row_46	CYP2D6	na	13204	-0.08690056949853897	-0.49690852	No	
row_47	PLA2G4B	na	13296	-0.0892108902335167	-0.494267	No	
row_48	ACOX1	na	13323	-0.09005890786647797	-0.4878871	No	
row_49	PAM	na	13455	-0.09316226840019226	-0.48715642	No	
row_50	ELOVL6	na	13587	-0.09617917984724045	-0.48616287	No	
row_51	GSTM2	na	14009	-0.10676290839910507	-0.5005964	Yes	
row_52	CYP2A7	na	14013	-0.107024185359478	-0.49144194	Yes	
row_53	ACAA1	na	14133	-0.11009323596954346	-0.48855972	Yes	
row_54	MGLL	na	14170	-0.11102937906980515	-0.48091677	Yes	
row_55	CYP4F3	na	14181	-0.11124744266271591	-0.471789	Yes	
row_56	CYP2C9	na	14289	-0.1140543594956398	-0.46788523	Yes	
row_57	MYO5A	na	14883	-0.1313844472169876	-0.4898705	Yes	
row_58	PTGS2	na	14990	-0.13442763686180115	-0.48413545	Yes	
row_59	CYP4A11	na	14998	-0.13459186255931854	-0.4728049	Yes	
row_60	ELOVL5	na	15052	-0.13626258075237274	-0.46392208	Yes	
row_61	CYP2A6	na	15128	-0.1388426274061203	-0.45605478	Yes	
row_62	GSTM4	na	15215	-0.1417100727558136	-0.44855782	Yes	
row_63	CYP4F2	na	15253	-0.14290642738342285	-0.4381942	Yes	
row_64	CYP2D7	na	15355	-0.1462731957435608	-0.43114534	Yes	
row_65	ACOT4	na	15390	-0.1478399634361267	-0.4201828	Yes	
row_66	ASAH2	na	15424	-0.14879578351974487	-0.40908062	Yes	
row_67	ASAH2B	na	15614	-0.15488958358764648	-0.40624222	Yes	
row_68	CYP2J2	na	15644	-0.15597406029701233	-0.3942892	Yes	
row_69	CYP4F11	na	15712	-0.15872767567634583	-0.38423857	Yes	
