NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	na	1313	0.17814601957798004	-0.053600855	No	
row_1	MKKS	na	1541	0.16668307781219482	-0.047370695	No	
row_2	CHGA	na	1781	0.15532927215099335	-0.043110948	No	
row_3	ATP2B1	na	2890	0.11690239608287811	-0.09215555	No	
row_4	HTR1D	na	3637	0.09629546850919724	-0.12317085	No	
row_5	TRPM4	na	3836	0.09157318621873856	-0.12387406	No	
row_6	ADRA1D	na	4148	0.08447133004665375	-0.13174875	No	
row_7	KCNMB4	na	5352	0.05937209352850914	-0.19270265	No	
row_8	PTAFR	na	5705	0.05352375656366348	-0.20641495	No	
row_9	HMGCR	na	5912	0.04926449805498123	-0.21239367	No	
row_10	ADRA2C	na	6352	0.04084142670035362	-0.23245017	No	
row_11	COMP	na	6404	0.04022933170199394	-0.2307333	No	
row_12	RHOA	na	6528	0.0379694364964962	-0.23332755	No	
row_13	HRH1	na	7255	0.024968428537249565	-0.2713515	No	
row_14	ACE	na	7437	0.02204403094947338	-0.27902716	No	
row_15	KCNA5	na	8226	0.008827601559460163	-0.3223823	No	
row_16	ECE1	na	8304	0.007591679226607084	-0.32585135	No	
row_17	AGT	na	8319	0.0073209526017308235	-0.32580456	No	
row_18	ADRA2A	na	8922	-0.0035657426342368126	-0.35928857	No	
row_19	EDNRA	na	9437	-0.012880237773060799	-0.3867562	No	
row_20	CRP	na	9601	-0.015923136845231056	-0.3941166	No	
row_21	ADORA1	na	9876	-0.02096310630440712	-0.40715116	No	
row_22	SLC6A4	na	10073	-0.02433359995484352	-0.4154102	No	
row_23	GJA1	na	10081	-0.024569706991314888	-0.4130022	No	
row_24	CD38	na	10376	-0.03024984523653984	-0.4261036	No	
row_25	AGTR1	na	10494	-0.03252307325601578	-0.42898118	No	
row_26	ADM	na	10690	-0.035965144634246826	-0.4358574	No	
row_27	GRIP2	na	11168	-0.04480976611375809	-0.45760056	No	
row_28	AKT1	na	11605	-0.05310408025979996	-0.4760897	No	
row_29	P2RX1	na	11729	-0.05561433359980583	-0.47667158	No	
row_30	HTR7	na	11797	-0.056784696877002716	-0.4739674	No	
row_31	GJA5	na	12641	-0.07438728213310242	-0.512942	No	
row_32	PER2	na	12884	-0.07913738489151001	-0.5175406	No	
row_33	BDKRB2	na	12968	-0.0808819904923439	-0.5129889	No	
row_34	KEL	na	13219	-0.08723293989896774	-0.5171146	No	
row_35	APLN	na	13499	-0.09398764371871948	-0.5221025	No	
row_36	TBXA2R	na	13928	-0.10464068502187729	-0.5342636	Yes	
row_37	F2R	na	14096	-0.1089688315987587	-0.5312377	Yes	
row_38	CAV1	na	14116	-0.10951992869377136	-0.51981705	Yes	
row_39	ICAM1	na	14160	-0.1106695830821991	-0.50961643	Yes	
row_40	ACTA2	na	14256	-0.11306275427341461	-0.50207025	Yes	
row_41	AVPR2	na	14350	-0.11568998545408249	-0.49411187	Yes	
row_42	BMPR2	na	14629	-0.12307178974151611	-0.49572653	Yes	
row_43	PTGS2	na	14990	-0.13442763686180115	-0.50066245	Yes	
row_44	SMTNL1	na	14993	-0.13454246520996094	-0.48543102	Yes	
row_45	ADRA2B	na	15012	-0.13494959473609924	-0.4710539	Yes	
row_46	ATP1A2	na	15017	-0.1351153552532196	-0.45586973	Yes	
row_47	WDR35	na	15035	-0.13560517132282257	-0.44136155	Yes	
row_48	EGFR	na	15242	-0.14253084361553192	-0.43670362	Yes	
row_49	CHRM3	na	15306	-0.14472082257270813	-0.42374548	Yes	
row_50	PIK3C2A	na	15336	-0.1455117166042328	-0.40878305	Yes	
row_51	RAP1GDS1	na	15602	-0.1543940305709839	-0.4060937	Yes	
row_52	FGB	na	15647	-0.15604442358016968	-0.39077452	Yes	
row_53	SLC8A1	na	15863	-0.1647651046514511	-0.38408753	Yes	
row_54	FGG	na	15990	-0.1691385805606842	-0.37189135	Yes	
row_55	DOCK5	na	16084	-0.17326027154922485	-0.3573673	Yes	
row_56	FGA	na	16090	-0.17346228659152985	-0.3378661	Yes	
row_57	DOCK4	na	16232	-0.18120624125003815	-0.32513812	Yes	
row_58	BBS2	na	16612	-0.20005951821804047	-0.32365862	Yes	
row_59	EDN2	na	16726	-0.207675039768219	-0.30633566	Yes	
row_60	HTR2B	na	16833	-0.21444466710090637	-0.28784657	Yes	
row_61	HRH2	na	17171	-0.2390502691268921	-0.27955586	Yes	
row_62	CASR	na	17379	-0.2619427442550659	-0.26133576	Yes	
row_63	EDN1	na	17508	-0.2769501507282257	-0.2369567	Yes	
row_64	AVPR1A	na	17543	-0.28251487016677856	-0.2066511	Yes	
row_65	DBH	na	17550	-0.28317323327064514	-0.17469412	Yes	
row_66	ADRA1A	na	17668	-0.30970415472984314	-0.14596032	Yes	
row_67	ARHGAP42	na	17673	-0.3119593560695648	-0.110607795	Yes	
row_68	EDNRB	na	17678	-0.31333276629447937	-0.07509864	Yes	
row_69	ACE2	na	17688	-0.31530386209487915	-0.03964617	Yes	
row_70	ADRA1B	na	17822	-0.4187159836292267	6.192351E-4	Yes	
