NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.014480381	Yes	
row_1	LSM2	na	80	0.3297854959964752	0.024683513	Yes	
row_2	NANOS1	na	184	0.29118114709854126	0.030805111	Yes	
row_3	RPL39	na	262	0.27577099204063416	0.03776817	Yes	
row_4	DHX34	na	312	0.2691340446472168	0.046046574	Yes	
row_5	RPS21	na	346	0.26448315382003784	0.05504133	Yes	
row_6	MAGOHB	na	349	0.2642745077610016	0.06578568	Yes	
row_7	RPS10	na	511	0.24227571487426758	0.06660852	Yes	
row_8	EXOSC5	na	540	0.23831938207149506	0.074811906	Yes	
row_9	LSM7	na	618	0.22999215126037598	0.07989413	Yes	
row_10	RPL23A	na	723	0.2206314355134964	0.083060466	Yes	
row_11	RPL18A	na	812	0.21260909736156464	0.086804636	Yes	
row_12	SMG9	na	870	0.20796778798103333	0.09211629	Yes	
row_13	RPS5	na	900	0.20454254746437073	0.09887523	Yes	
row_14	RPL36	na	988	0.19773724675178528	0.1020651	Yes	
row_15	EXOSC1	na	1001	0.1971006840467453	0.10948245	Yes	
row_16	RPL38	na	1006	0.19679155945777893	0.117340825	Yes	
row_17	RPS12	na	1057	0.19280105829238892	0.12242635	Yes	
row_18	LSM3	na	1063	0.19266489148139954	0.13005845	Yes	
row_19	RPL28	na	1115	0.1892320066690445	0.13494064	Yes	
row_20	RPLP2	na	1118	0.18903173506259918	0.14259362	Yes	
row_21	RPL17	na	1133	0.18804612755775452	0.14952554	Yes	
row_22	RPL26	na	1170	0.18609853088855743	0.1551297	Yes	
row_23	RPSA	na	1178	0.18559056520462036	0.16235772	Yes	
row_24	EXOSC4	na	1251	0.1814088672399521	0.16572747	Yes	
row_25	RPS24	na	1338	0.1769651621580124	0.16812062	Yes	
row_26	RPL37A	na	1349	0.1763157695531845	0.17479746	Yes	
row_27	RPL27A	na	1386	0.1741485744714737	0.17991064	Yes	
row_28	RPL18	na	1458	0.1707325428724289	0.18289848	Yes	
row_29	RPL32	na	1469	0.17034393548965454	0.18932994	Yes	
row_30	RPS19	na	1489	0.16955415904521942	0.19521853	Yes	
row_31	RPS27	na	1493	0.16928613185882568	0.20200355	Yes	
row_32	RPL41	na	1508	0.16817106306552887	0.20811889	Yes	
row_33	RPL35A	na	1530	0.16729077696800232	0.21380106	Yes	
row_34	RPS27A	na	1562	0.16554118692874908	0.21884419	Yes	
row_35	RPS11	na	1580	0.16445454955101013	0.22463669	Yes	
row_36	RPS29	na	1587	0.16407263278961182	0.23103736	Yes	
row_37	RPS16	na	1604	0.16325944662094116	0.23683748	Yes	
row_38	RPL37	na	1627	0.16215495765209198	0.24225192	Yes	
row_39	PPP2R1A	na	1721	0.15801919996738434	0.24346969	Yes	
row_40	RPL27	na	1740	0.1572853922843933	0.24891092	Yes	
row_41	EXOSC7	na	1763	0.1559118926525116	0.25406888	Yes	
row_42	CNOT11	na	1764	0.15585660934448242	0.26047227	Yes	
row_43	AGO2	na	1766	0.1557980328798294	0.26681656	Yes	
row_44	RPS7	na	1778	0.1554761528968811	0.27258047	Yes	
row_45	RPL14	na	1786	0.15517061948776245	0.2785587	Yes	
row_46	RPL13A	na	1854	0.15253408253192902	0.28102568	Yes	
row_47	RPL8	na	1866	0.15213781595230103	0.28665245	Yes	
row_48	RPS15	na	1873	0.1518920511007309	0.29255268	Yes	
row_49	LSM5	na	1890	0.15120720863342285	0.2978576	Yes	
row_50	RPS18	na	1892	0.15117549896240234	0.30401197	Yes	
row_51	RPS13	na	1917	0.1503174602985382	0.30882666	Yes	
row_52	RPS2	na	1926	0.14997777342796326	0.3145348	Yes	
row_53	RPL9	na	1964	0.14864054322242737	0.3185433	Yes	
row_54	RBM8A	na	2000	0.14741843938827515	0.32261497	Yes	
row_55	RPS15A	na	2052	0.1452481746673584	0.32569006	Yes	
row_56	RPL23	na	2066	0.14437730610370636	0.33088455	Yes	
row_57	LSM4	na	2082	0.1438109278678894	0.33594233	Yes	
row_58	RPL30	na	2095	0.14339113235473633	0.341153	Yes	
row_59	RPL31	na	2107	0.14266474545001984	0.34639055	Yes	
row_60	RPL7	na	2108	0.14256533980369568	0.3522479	Yes	
row_61	RPS17	na	2129	0.14193207025527954	0.35694492	Yes	
row_62	RPL29	na	2134	0.14166119694709778	0.36253822	Yes	
row_63	RPS3	na	2163	0.14037960767745972	0.36671773	Yes	
row_64	EDC3	na	2185	0.13971950113773346	0.37126714	Yes	
row_65	RPS28	na	2190	0.1394168734550476	0.37676826	Yes	
row_66	RPS4X	na	2210	0.1389683037996292	0.3814002	Yes	
row_67	UBA52	na	2220	0.13853497803211212	0.3865815	Yes	
row_68	RPL21	na	2248	0.13778063654899597	0.39071095	Yes	
row_69	RPL24	na	2287	0.13613419234752655	0.3941489	Yes	
row_70	RPS23	na	2298	0.13566699624061584	0.39915565	Yes	
row_71	RPS9	na	2327	0.13430926203727722	0.40308577	Yes	
row_72	RPL13	na	2391	0.13230441510677338	0.40494847	Yes	
row_73	CNOT10	na	2394	0.13214434683322906	0.41026422	Yes	
row_74	RPL10A	na	2440	0.13071241974830627	0.41308242	Yes	
row_75	RPL35	na	2450	0.13027805089950562	0.41792446	Yes	
row_76	EIF4A3	na	2464	0.1299806535243988	0.42252746	Yes	
row_77	RPLP1	na	2476	0.1296459287405014	0.42723015	Yes	
row_78	PELO	na	2561	0.1271866410970688	0.42769158	Yes	
row_79	EXOSC8	na	2582	0.12641586363315582	0.4317511	Yes	
row_80	DCP2	na	2655	0.12435299903154373	0.4327767	Yes	
row_81	RPS14	na	2673	0.12389949709177017	0.43690297	Yes	
row_82	RPS3A	na	2679	0.12344777584075928	0.44169128	Yes	
row_83	RPS25	na	2690	0.12297889590263367	0.44617674	Yes	
row_84	RPS8	na	2763	0.12091497331857681	0.4470611	Yes	
row_85	PRPF18	na	2768	0.12053513526916504	0.45178643	Yes	
row_86	RPL22	na	2848	0.11828912794589996	0.45216587	Yes	
row_87	BTG2	na	2853	0.1180264800786972	0.45678818	Yes	
row_88	RPS26	na	2873	0.11740526556968689	0.46053421	Yes	
row_89	RPL10	na	3037	0.11264147609472275	0.45591757	Yes	
row_90	RPS20	na	3093	0.11108367890119553	0.45736215	Yes	
row_91	NT5C3B	na	3096	0.11092803627252579	0.4618062	Yes	
row_92	UPF3B	na	3133	0.10975158959627151	0.46427363	Yes	
row_93	RPLP0	na	3138	0.10969720035791397	0.46855372	Yes	
row_94	RNPS1	na	3167	0.10894793272018433	0.47144184	Yes	
row_95	MRTO4	na	3203	0.10768389701843262	0.47388104	Yes	
row_96	RPL6	na	3224	0.10703423619270325	0.47714427	Yes	
row_97	SMG5	na	3240	0.10654890537261963	0.48067114	Yes	
row_98	RPL12	na	3261	0.10605912655591965	0.4838943	Yes	
row_99	PABPC1	na	3376	0.10307461023330688	0.4816636	Yes	
row_100	NCBP2	na	3384	0.10280859470367432	0.48549053	Yes	
row_101	RPL7A	na	3443	0.10105722397565842	0.486353	Yes	
row_102	RPS6	na	3466	0.100635826587677	0.48923993	Yes	
row_103	RPL5	na	3483	0.1001475527882576	0.49244708	Yes	
row_104	PYM1	na	3559	0.09831655025482178	0.4922328	Yes	
row_105	NBDY	na	3598	0.09727229177951813	0.4940741	Yes	
row_106	POLR2G	na	3606	0.09711162000894547	0.49766695	Yes	
row_107	RPL19	na	3764	0.093316450715065	0.4925966	Yes	
row_108	RPL11	na	3869	0.09075332432985306	0.49042687	Yes	
row_109	SSB	na	3923	0.08960755914449692	0.49110252	Yes	
row_110	RPL15	na	3927	0.08955656737089157	0.49461183	Yes	
row_111	RPL4	na	3930	0.08945966511964798	0.49817386	Yes	
row_112	POLR2D	na	3973	0.0885336697101593	0.49942926	Yes	
row_113	CNOT3	na	4093	0.08595262467861176	0.49621156	No	
row_114	GTPBP2	na	4124	0.0852249339222908	0.4980116	No	
row_115	RPL34	na	4214	0.08279118686914444	0.49636546	No	
row_116	DCP1A	na	4486	0.07652252912521362	0.48413962	No	
row_117	EIF3E	na	4501	0.07634230703115463	0.48648214	No	
row_118	EXOSC3	na	4601	0.07414072006940842	0.48391345	No	
row_119	SKIV2L	na	4865	0.06879684329032898	0.4718239	No	
row_120	DXO	na	4868	0.06875979155302048	0.4745355	No	
row_121	EXOSC6	na	5113	0.06395957618951797	0.46332482	No	
row_122	MAGOH	na	5198	0.06226897984743118	0.4611191	No	
row_123	SAMD4B	na	5236	0.06156975403428078	0.46155024	No	
row_124	PCID2	na	5335	0.05972052738070488	0.4584458	No	
row_125	EXOSC2	na	5396	0.058790173381567	0.45745832	No	
row_126	WDR61	na	5614	0.05497400090098381	0.44740975	No	
row_127	RPL3	na	5710	0.05345623195171356	0.4442181	No	
row_128	UPF2	na	6080	0.04604368284344673	0.42518196	No	
row_129	MTPAP	na	6175	0.04446941241621971	0.42167777	No	
row_130	GSPT2	na	6286	0.04220132902264595	0.41717297	No	
row_131	UPF3A	na	6432	0.03972814977169037	0.41058153	No	
row_132	CNOT2	na	6880	0.03149864822626114	0.38652402	No	
row_133	TNRC6C	na	6894	0.031246112659573555	0.38707048	No	
row_134	CNOT6	na	6998	0.029425527900457382	0.38243777	No	
row_135	UPF1	na	7137	0.027010168880224228	0.37572083	No	
row_136	CASC3	na	7152	0.026796450838446617	0.37602773	No	
row_137	SMG7	na	7308	0.02415766566991806	0.36822942	No	
row_138	EXOSC10	na	7368	0.023292111232876778	0.3658402	No	
row_139	PARN	na	7816	0.015586672350764275	0.34112895	No	
row_140	RPS4Y1	na	8021	0.012152706272900105	0.33005837	No	
row_141	HELZ2	na	8067	0.011272216215729713	0.3279693	No	
row_142	TENT4B	na	8187	0.009285376407206059	0.32160172	No	
row_143	GSPT1	na	8222	0.008912152610719204	0.32003957	No	
row_144	CNOT9	na	8237	0.008726348169147968	0.31960407	No	
row_145	MLH1	na	8495	0.0038661451544612646	0.30518714	No	
row_146	PPP2R2A	na	8531	0.003378466237336397	0.30334094	No	
row_147	DCPS	na	8862	-0.002486742800101638	0.28472713	No	
row_148	ETF1	na	8887	-0.0029906847048550844	0.28348884	No	
row_149	DIS3L2	na	8996	-0.005107514094561338	0.27757347	No	
row_150	DCP1B	na	9067	-0.0063147894106805325	0.27386284	No	
row_151	NBAS	na	9160	-0.007893074303865433	0.26896936	No	
row_152	PPP2CA	na	9433	-0.012827802449464798	0.2540699	No	
row_153	LSM6	na	9457	-0.013281748630106449	0.25331113	No	
row_154	AGO1	na	9504	-0.014180618338286877	0.25128484	No	
row_155	ZFP36L2	na	10218	-0.027075061574578285	0.21195939	No	
row_156	EIF4G1	na	10578	-0.0338667593896389	0.19299011	No	
row_157	CNOT7	na	10584	-0.033971816301345825	0.19410227	No	
row_158	TNKS1BP1	na	10711	-0.036436233669519424	0.18845317	No	
row_159	HBS1L	na	10821	-0.038318175822496414	0.18384553	No	
row_160	CSDE1	na	10829	-0.03843355551362038	0.18502758	No	
row_161	THRAP3	na	11054	-0.042382191866636276	0.17406468	No	
row_162	CNOT1	na	11437	-0.05003911256790161	0.15445541	No	
row_163	EXOSC9	na	11495	-0.05097950994968414	0.15331715	No	
row_164	DDX6	na	11541	-0.051798008382320404	0.15289311	No	
row_165	CNOT4	na	11770	-0.05620326101779938	0.14227119	No	
row_166	SECISBP2	na	11876	-0.05844717472791672	0.13871743	No	
row_167	NCBP1	na	11963	-0.060576483607292175	0.13632874	No	
row_168	DIS3	na	12106	-0.06348106265068054	0.13088334	No	
row_169	PDE12	na	12302	-0.06726253777742386	0.12258739	No	
row_170	CNOT8	na	12410	-0.06966286152601242	0.119380996	No	
row_171	RC3H1	na	12452	-0.0704677477478981	0.11995087	No	
row_172	TENT4A	na	12789	-0.07718139886856079	0.10406562	No	
row_173	DDX5	na	12899	-0.07941849529743195	0.10114661	No	
row_174	SMG1	na	13026	-0.08261944353580475	0.09739495	No	
row_175	SMG8	na	13038	-0.0829341784119606	0.10017846	No	
row_176	PNRC2	na	13317	-0.08969639241695404	0.088096865	No	
row_177	ZFP36L1	na	13607	-0.09674316644668579	0.075680934	No	
row_178	TENT2	na	13666	-0.09798426181077957	0.07641716	No	
row_179	TNRC6B	na	13716	-0.0991172194480896	0.07771038	No	
row_180	PAN3	na	13776	-0.10056032985448837	0.07849574	No	
row_181	LSM1	na	13781	-0.10062674432992935	0.08240315	No	
row_182	DHX36	na	14352	-0.11573286354541779	0.05483048	No	
row_183	XRN1	na	14696	-0.1251622438430786	0.040519536	No	
row_184	CTIF	na	14699	-0.12536773085594177	0.04555687	No	
row_185	ZFP36	na	14894	-0.13171368837356567	0.039965637	No	
row_186	PATL1	na	15059	-0.13646140694618225	0.036270916	No	
row_187	ATM	na	15221	-0.14183257520198822	0.03296702	No	
row_188	PAN2	na	15249	-0.14275631308555603	0.037300892	No	
row_189	EDC4	na	15286	-0.14397232234477997	0.04117429	No	
row_190	PATL2	na	15465	-0.1500597596168518	0.03724425	No	
row_191	NOCT	na	15535	-0.15226656198501587	0.03958682	No	
row_192	SMG6	na	15906	-0.16606776416301727	0.02542518	No	
row_193	CNOT6L	na	15947	-0.16737766563892365	0.030033331	No	
row_194	ZC3H12A	na	15956	-0.16761568188667297	0.036466144	No	
row_195	TNRC6A	na	16101	-0.1738448441028595	0.035441633	No	
row_196	TUT4	na	16255	-0.1826392263174057	0.034268007	No	
row_197	TTC37	na	16493	-0.19394272565841675	0.028794723	No	
row_198	TOB1	na	16990	-0.22439901530742645	0.00988354	No	
row_199	TUT7	na	17383	-0.26218923926353455	-0.0015766554	No	
row_200	SAMD4A	na	17571	-0.28661808371543884	-4.0659748E-4	No	
row_201	CPEB3	na	17797	-0.37019309401512146	0.0020419888	No	
