NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLMH	na	233	0.28107303380966187	-0.0047867424	No	
row_1	RENBP	na	650	0.22687919437885284	-0.02161925	No	
row_2	TYSND1	na	755	0.21728481352329254	-0.020988412	No	
row_3	TGFB1	na	984	0.19788724184036255	-0.027997637	No	
row_4	PLA2G15	na	1452	0.17086605727672577	-0.049420066	No	
row_5	BCAT1	na	1829	0.15370215475559235	-0.06618196	No	
row_6	IL4I1	na	1916	0.15035486221313477	-0.06654401	No	
row_7	ASRGL1	na	2048	0.14550404250621796	-0.06961271	No	
row_8	DDAH2	na	2247	0.1378290206193924	-0.07672495	No	
row_9	XYLB	na	2639	0.12498703598976135	-0.09520571	No	
row_10	ACOT8	na	2695	0.12283449620008469	-0.09463328	No	
row_11	CYP26B1	na	2761	0.12113156169652939	-0.094681166	No	
row_12	AMDHD2	na	2902	0.11655516177415848	-0.09913439	No	
row_13	GNPDA1	na	2932	0.11556630581617355	-0.097301625	No	
row_14	ACOXL	na	2965	0.11479269713163376	-0.09566288	No	
row_15	HMMR	na	3046	0.11234283447265625	-0.09682911	No	
row_16	ABCD1	na	3146	0.10956915467977524	-0.099160016	No	
row_17	AHCY	na	3189	0.10827755928039551	-0.09828661	No	
row_18	CRYM	na	3233	0.10680186003446579	-0.09751456	No	
row_19	HYAL3	na	3349	0.10375785827636719	-0.10093099	No	
row_20	ETFB	na	3497	0.09985065460205078	-0.10628593	No	
row_21	ADO	na	4095	0.08593479543924332	-0.13766481	No	
row_22	PCYOX1L	na	4137	0.08468114584684372	-0.13744563	No	
row_23	NAGK	na	4553	0.07534018903970718	-0.15878817	No	
row_24	PGD	na	4654	0.07295896112918854	-0.16227931	No	
row_25	CPT1C	na	4819	0.06974849849939346	-0.16950873	No	
row_26	TWIST1	na	4921	0.06763844192028046	-0.1732171	No	
row_27	PPARD	na	5006	0.06598219275474548	-0.1760081	No	
row_28	BCAT2	na	5486	0.05715573951601982	-0.20154022	No	
row_29	NUDT19	na	5509	0.05680892989039421	-0.20107995	No	
row_30	SDSL	na	5553	0.05602582171559334	-0.20183815	No	
row_31	TXN2	na	5595	0.055371083319187164	-0.20250228	No	
row_32	CPT1B	na	5626	0.05476335808634758	-0.20255885	No	
row_33	MPST	na	5848	0.05076669156551361	-0.21360356	No	
row_34	GAD1	na	6256	0.04279112443327904	-0.23547186	No	
row_35	HEXB	na	6488	0.03862202912569046	-0.24745157	No	
row_36	MCAT	na	6556	0.037442661821842194	-0.2501354	No	
row_37	GLDC	na	6564	0.03727003186941147	-0.24941047	No	
row_38	CNR1	na	6697	0.03492987900972366	-0.25586846	No	
row_39	GLS	na	6766	0.033731844276189804	-0.258721	No	
row_40	CEMIP	na	7023	0.028969448059797287	-0.2724141	No	
row_41	GLUD1	na	7354	0.023514024913311005	-0.29048213	No	
row_42	ACAT2	na	7461	0.021393585950136185	-0.29586866	No	
row_43	ECH1	na	7709	0.017493216320872307	-0.30939552	No	
row_44	PPAT	na	7744	0.016812574118375778	-0.3108234	No	
row_45	HAL	na	8097	0.010838348418474197	-0.33052522	No	
row_46	CEL	na	8140	0.010171351954340935	-0.33260846	No	
row_47	AIG1	na	8239	0.008723345585167408	-0.33792165	No	
row_48	IDUA	na	8485	0.004104792606085539	-0.3517382	No	
row_49	CROT	na	8545	0.0031371156219393015	-0.3550007	No	
row_50	SLC9A1	na	8560	0.0029121721163392067	-0.35570952	No	
row_51	PHYH	na	8685	6.416209507733583E-4	-0.36274567	No	
row_52	HYAL2	na	9027	-0.005835901480168104	-0.38197234	No	
row_53	ECI1	na	9101	-0.006846091244369745	-0.38591966	No	
row_54	GUSB	na	9158	-0.007876172661781311	-0.38886863	No	
row_55	HADHA	na	9222	-0.0090797645971179	-0.39217964	No	
row_56	GCAT	na	9267	-0.009792754426598549	-0.39438808	No	
row_57	ACSF3	na	9315	-0.0106802461668849	-0.39674044	No	
row_58	GOT1	na	9420	-0.01262284442782402	-0.40227753	No	
row_59	CYP4F12	na	9840	-0.020225148648023605	-0.42550868	No	
row_60	AMT	na	9880	-0.021021369844675064	-0.42709422	No	
row_61	AFMID	na	9947	-0.022142240777611732	-0.43018225	No	
