NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.018173343	Yes	
row_1	RPL39	na	262	0.27577099204063416	0.018527143	Yes	
row_2	RPS21	na	346	0.26448315382003784	0.027259879	Yes	
row_3	RPS10	na	511	0.24227571487426758	0.030274997	Yes	
row_4	RPL23A	na	723	0.2206314355134964	0.029527562	Yes	
row_5	RPL18A	na	812	0.21260909736156464	0.03534183	Yes	
row_6	RPS5	na	900	0.20454254746437073	0.040802985	Yes	
row_7	HRAS	na	912	0.20389768481254578	0.05053757	Yes	
row_8	RPL36	na	988	0.19773724675178528	0.05633295	Yes	
row_9	RPL38	na	1006	0.19679155945777893	0.06536659	Yes	
row_10	RABGEF1	na	1054	0.1933264583349228	0.07252439	Yes	
row_11	RPS12	na	1057	0.19280105829238892	0.08220522	Yes	
row_12	RPL28	na	1115	0.1892320066690445	0.088588424	Yes	
row_13	RPLP2	na	1118	0.18903173506259918	0.09807778	Yes	
row_14	RPL17	na	1133	0.18804612755775452	0.10683714	Yes	
row_15	RPL26	na	1170	0.18609853088855743	0.11425103	Yes	
row_16	RPSA	na	1178	0.18559056520462036	0.123282276	Yes	
row_17	RPS24	na	1338	0.1769651621580124	0.12326297	Yes	
row_18	RPL37A	na	1349	0.1763157695531845	0.13165307	Yes	
row_19	RPL27A	na	1386	0.1741485744714737	0.13845992	Yes	
row_20	RPL18	na	1458	0.1707325428724289	0.14311013	Yes	
row_21	RPL32	na	1469	0.17034393548965454	0.15119687	Yes	
row_22	RPS19	na	1489	0.16955415904521942	0.15873355	Yes	
row_23	RPS27	na	1493	0.16928613185882568	0.16716318	Yes	
row_24	RPL41	na	1508	0.16817106306552887	0.1749129	Yes	
row_25	RPL35A	na	1530	0.16729077696800232	0.18222128	Yes	
row_26	RPS27A	na	1562	0.16554118692874908	0.18887417	Yes	
row_27	RPS11	na	1580	0.16445454955101013	0.19626512	Yes	
row_28	RPS29	na	1587	0.16407263278961182	0.20425992	Yes	
row_29	RPS16	na	1604	0.16325944662094116	0.21164683	Yes	
row_30	RPL37	na	1627	0.16215495765209198	0.21863765	Yes	
row_31	RPL27	na	1740	0.1572853922843933	0.22028166	Yes	
row_32	RPS7	na	1778	0.1554761528968811	0.2260833	Yes	
row_33	RPL14	na	1786	0.15517061948776245	0.23356922	Yes	
row_34	PAK1	na	1834	0.1534641832113266	0.23870206	Yes	
row_35	RPL13A	na	1854	0.15253408253192902	0.24537413	Yes	
row_36	RPL8	na	1866	0.15213781595230103	0.25247934	Yes	
row_37	RPS15	na	1873	0.1518920511007309	0.2598554	Yes	
row_38	RPS18	na	1892	0.15117549896240234	0.2665151	Yes	
row_39	RPS13	na	1917	0.1503174602985382	0.27279127	Yes	
row_40	RPS2	na	1926	0.14997777342796326	0.27995676	Yes	
row_41	RPL9	na	1964	0.14864054322242737	0.28541115	Yes	
row_42	RPS15A	na	2052	0.1452481746673584	0.28786018	Yes	
row_43	RPL23	na	2066	0.14437730610370636	0.29445788	Yes	
row_44	RPL30	na	2095	0.14339113235473633	0.30015555	Yes	
row_45	RPL31	na	2107	0.14266474545001984	0.30677953	Yes	
row_46	RPL7	na	2108	0.14256533980369568	0.31402177	Yes	
row_47	RPS17	na	2129	0.14193207025527954	0.3200986	Yes	
row_48	RPL29	na	2134	0.14166119694709778	0.32706824	Yes	
row_49	RPS3	na	2163	0.14037960767745972	0.33261293	Yes	
row_50	RPS28	na	2190	0.1394168734550476	0.33822203	Yes	
row_51	RPS4X	na	2210	0.1389683037996292	0.34420496	Yes	
row_52	UBA52	na	2220	0.13853497803211212	0.3507325	Yes	
row_53	RPL21	na	2248	0.13778063654899597	0.35620183	Yes	
row_54	RPL24	na	2287	0.13613419234752655	0.36096424	Yes	
row_55	ZDHHC14	na	2295	0.13569922745227814	0.36746106	Yes	
row_56	RPS23	na	2298	0.13566699624061584	0.3742395	Yes	
row_57	SSR2	na	2319	0.1346505880355835	0.37994647	Yes	
row_58	RPS9	na	2327	0.13430926203727722	0.38637266	Yes	
row_59	CHMP4B	na	2338	0.13394011557102203	0.3926101	Yes	
row_60	RPL13	na	2391	0.13230441510677338	0.39638472	Yes	
row_61	ZDHHC11	na	2393	0.13225463032722473	0.40304652	Yes	
row_62	RPL10A	na	2440	0.13071241974830627	0.40708023	Yes	
row_63	RPL35	na	2450	0.13027805089950562	0.4131883	Yes	
row_64	RPLP1	na	2476	0.1296459287405014	0.41835773	Yes	
row_65	ZFAND2B	na	2511	0.12878616154193878	0.4229735	Yes	
row_66	ZDHHC19	na	2626	0.12531238794326782	0.42288	Yes	
row_67	RPS14	na	2673	0.12389949709177017	0.4265676	Yes	
row_68	RPS3A	na	2679	0.12344777584075928	0.43255538	Yes	
row_69	PARD3	na	2681	0.12333618849515915	0.4387641	Yes	
row_70	RPS25	na	2690	0.12297889590263367	0.44455805	Yes	
row_71	RPS8	na	2763	0.12091497331857681	0.4466209	Yes	
row_72	RPL22	na	2848	0.11828912794589996	0.44787043	Yes	
row_73	RPS26	na	2873	0.11740526556968689	0.45247468	Yes	
row_74	VPS37D	na	2960	0.11490293592214584	0.45343885	Yes	
row_75	RPL10	na	3037	0.11264147609472275	0.4548548	Yes	
row_76	RPS20	na	3093	0.11108367890119553	0.45738143	Yes	
row_77	CACNB3	na	3122	0.11008153855800629	0.46138698	Yes	
row_78	RPLP0	na	3138	0.10969720035791397	0.46610963	Yes	
row_79	GOLGA7B	na	3178	0.1086781844496727	0.46942064	Yes	
row_80	RPL6	na	3224	0.10703423619270325	0.4723082	Yes	
row_81	RPL12	na	3261	0.10605912655591965	0.47565612	Yes	
row_82	ZDHHC4	na	3293	0.10538654774427414	0.4792532	Yes	
row_83	RPL7A	na	3443	0.10105722397565842	0.47594443	Yes	
row_84	RPS6	na	3466	0.100635826587677	0.47981015	Yes	
row_85	ITGB1BP1	na	3481	0.10019631683826447	0.48410678	Yes	
row_86	RPL5	na	3483	0.1001475527882576	0.48913756	Yes	
row_87	ZDHHC7	na	3624	0.09663140028715134	0.4861139	Yes	
row_88	RPL19	na	3764	0.093316450715065	0.4829785	Yes	
row_89	TRAM1L1	na	3792	0.0926382765173912	0.48615465	Yes	
row_90	RPL11	na	3869	0.09075332432985306	0.48645863	Yes	
row_91	INPP5K	na	3892	0.0902974009513855	0.48979914	Yes	
row_92	RPL15	na	3927	0.08955656737089157	0.4924221	Yes	
row_93	RPL4	na	3930	0.08945966511964798	0.49685326	Yes	
row_94	VPS37C	na	3967	0.08869392424821854	0.49931908	Yes	
row_95	RPL34	na	4214	0.08279118686914444	0.48958635	No	
row_96	GDI1	na	4237	0.08247139304876328	0.4925293	No	
row_97	ZDHHC6	na	4368	0.0797315388917923	0.48921376	No	
row_98	ZDHHC18	na	4876	0.0686359629034996	0.46397358	No	
row_99	SRP19	na	4878	0.06859824061393738	0.46740165	No	
row_100	CHMP4A	na	4879	0.0685800090432167	0.47088546	No	
row_101	CIB1	na	5084	0.0645611584186554	0.4626064	No	
row_102	PEX16	na	5137	0.06353265792131424	0.46288747	No	
row_103	MFF	na	5161	0.06315001100301743	0.46479225	No	
row_104	ZDHHC12	na	5180	0.06266126781702042	0.4669555	No	
row_105	ZDHHC24	na	5186	0.06256712228059769	0.46985057	No	
row_106	PDZK1	na	5235	0.06157970800995827	0.47025907	No	
