NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	15	0.3943713903427124	0.03768151	Yes	
row_1	CDT1	na	33	0.36431536078453064	0.07231422	Yes	
row_2	CDCA5	na	35	0.36397770047187805	0.10781494	Yes	
row_3	PTTG1	na	59	0.3487653434276581	0.14059068	Yes	
row_4	CCNB1	na	78	0.3306625485420227	0.17187953	Yes	
row_5	PLK1	na	119	0.3114051818847656	0.20004825	Yes	
row_6	TRIP13	na	129	0.3039973974227905	0.22923899	Yes	
row_7	CDC20	na	183	0.2914217710494995	0.25472346	Yes	
row_8	TTK	na	261	0.27607688307762146	0.27735737	Yes	
row_9	TACC3	na	304	0.26986634731292725	0.30135554	Yes	
row_10	LCMT1	na	319	0.26851317286491394	0.32679823	Yes	
row_11	BUB1	na	394	0.25687113404273987	0.34772488	Yes	
row_12	RMI2	na	471	0.24690860509872437	0.36756566	Yes	
row_13	CDC6	na	474	0.2467428296804428	0.3915574	Yes	
row_14	MAD2L1	na	558	0.23652295768260956	0.4099894	Yes	
row_15	NDC80	na	636	0.2283315658569336	0.42795908	Yes	
row_16	SPDL1	na	760	0.2170286476612091	0.4422342	Yes	
row_17	CENPF	na	769	0.2159704864025116	0.46288186	Yes	
row_18	DLGAP5	na	795	0.21401818096637726	0.48238152	Yes	
row_19	ESPL1	na	1066	0.19258365035057068	0.4859906	Yes	
row_20	FEN1	na	1110	0.18952886760234833	0.5020843	Yes	
row_21	BUB1B	na	1138	0.18775728344917297	0.5189059	Yes	
row_22	MAPK15	na	1259	0.18115776777267456	0.5298457	Yes	
row_23	NSMCE2	na	1286	0.17975807189941406	0.5459422	Yes	
row_24	XRCC3	na	1412	0.17291095852851868	0.5557948	Yes	
row_25	ANAPC11	na	1575	0.16454631090164185	0.5627467	Yes	
row_26	DDX11	na	1671	0.16002081334590912	0.57302946	Yes	
row_27	NAA10	na	1682	0.15982386469841003	0.5880795	Yes	
row_28	MAD1L1	na	2552	0.1274661123752594	0.55159605	No	
row_29	FBXO5	na	2646	0.1247122660279274	0.55854213	No	
row_30	ANAPC1	na	2660	0.12418170273303986	0.5699414	No	
row_31	MAD2L2	na	3158	0.10916375368833542	0.5526182	No	
row_32	CENPE	na	3291	0.10542203485965729	0.55548364	No	
row_33	BUB3	na	3698	0.09481555223464966	0.54188323	No	
row_34	DYNC1LI1	na	4030	0.08747491985559464	0.5317892	No	
row_35	PSMG2	na	4901	0.06816444545984268	0.48945618	No	
row_36	SLF2	na	4919	0.06767588108778	0.49511015	No	
row_37	PCID2	na	5335	0.05972052738070488	0.4775745	No	
row_38	MACROH2A1	na	5347	0.059458255767822266	0.48276356	No	
row_39	HNRNPU	na	5496	0.05700473114848137	0.47999808	No	
row_40	RAD21	na	5839	0.05084073171019554	0.46570578	No	
row_41	SFPQ	na	6323	0.04139209911227226	0.4425504	No	
row_42	IK	na	6344	0.04096495360136032	0.445426	No	
row_43	NEK6	na	6591	0.03685522824525833	0.43517348	No	
row_44	ZNF207	na	6685	0.035127121955156326	0.43336797	No	
row_45	ANAPC5	na	6686	0.03511760011315346	0.43679863	No	
row_46	WAPL	na	6801	0.033103641122579575	0.43361288	No	
row_47	KLHL22	na	7422	0.022319525480270386	0.40087944	No	
row_48	CDC26	na	7719	0.017295699566602707	0.3859005	No	
row_49	ANAPC4	na	7896	0.014411565847694874	0.37739736	No	
row_50	ZW10	na	8414	0.0054900022223591805	0.34882003	No	
row_51	CTCF	na	8431	0.0050466665998101234	0.34841204	No	
row_52	ANAPC15	na	8995	-0.005103341303765774	0.31720656	No	
row_53	HDAC8	na	9059	-0.006260192487388849	0.31427044	No	
row_54	SLF1	na	9242	-0.009339701384305954	0.3049339	No	
row_55	CDC23	na	9380	-0.012031846679747105	0.29839447	No	
row_56	CTNNB1	na	9615	-0.01610472798347473	0.28679058	No	
row_57	CDC27	na	9951	-0.02219955064356327	0.27009454	No	
row_58	NIPBL	na	10074	-0.02436055615544319	0.26560417	No	
row_59	CDK5RAP2	na	10406	-0.03107484243810177	0.2500004	No	
row_60	ATRX	na	10998	-0.04143936559557915	0.22076784	No	
row_61	TPR	na	11071	-0.042660877108573914	0.22088088	No	
row_62	RIOK2	na	11266	-0.046501219272613525	0.21449894	No	
row_63	TEX14	na	12625	-0.07392658293247223	0.14524825	No	
row_64	TNKS	na	13126	-0.08488421142101288	0.12538429	No	
row_65	CUL3	na	13154	-0.08583042770624161	0.13224863	No	
row_66	SMC5	na	13371	-0.09108088165521622	0.1289828	No	
row_67	BECN1	na	13374	-0.09120949357748032	0.13778044	No	
row_68	GEN1	na	13826	-0.10187972337007523	0.12233609	No	
row_69	RB1	na	14506	-0.11903180181980133	0.09572803	No	
row_70	NUMA1	na	15121	-0.1386139839887619	0.074693285	No	
row_71	ATM	na	15221	-0.14183257520198822	0.08297398	No	
row_72	AXIN2	na	15313	-0.1448461413383484	0.09199957	No	
row_73	DUSP1	na	15358	-0.1463920921087265	0.10382288	No	
row_74	APC	na	15686	-0.15737609565258026	0.10078274	No	
row_75	HECW2	na	16691	-0.20538568496704102	0.064309	No	
