NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPLP0P6	na	314	0.2688983678817749	0.019234316	Yes	
row_1	NLE1	na	479	0.2462213635444641	0.04379873	Yes	
row_2	RPL23A	na	723	0.2206314355134964	0.060404364	Yes	
row_3	BRIX1	na	862	0.2087959200143814	0.08129535	Yes	
row_4	RPL38	na	1006	0.19679155945777893	0.10025726	Yes	
row_5	RPL26	na	1170	0.18609853088855743	0.11662583	Yes	
row_6	BOP1	na	1280	0.17993125319480896	0.13518725	Yes	
row_7	ZNF622	na	1331	0.17719565331935883	0.15669395	Yes	
row_8	RPL35A	na	1530	0.16729077696800232	0.16851112	Yes	
row_9	PPAN	na	1535	0.16691498458385468	0.19119583	Yes	
row_10	NOP53	na	1628	0.1621401309967041	0.20827217	Yes	
row_11	RPF2	na	1676	0.15989762544631958	0.2275735	Yes	
row_12	GTPBP4	na	1782	0.15522125363349915	0.2429685	Yes	
row_13	RPL14	na	1786	0.15517061948776245	0.2640975	Yes	
row_14	RPL7	na	2108	0.14256533980369568	0.26559806	Yes	
row_15	EIF6	na	2173	0.14017489552497864	0.28123552	Yes	
row_16	LTO1	na	2213	0.13867205381393433	0.29807383	Yes	
row_17	MRPL11	na	2284	0.1361532062292099	0.3128216	Yes	
row_18	RPL24	na	2287	0.13613419234752655	0.33139405	Yes	
row_19	PES1	na	2318	0.1346724033355713	0.34818995	Yes	
row_20	SNU13	na	2324	0.13441506028175354	0.3663576	Yes	
row_21	LAS1L	na	2408	0.13173052668571472	0.37976664	Yes	
row_22	RPL10A	na	2440	0.13071241974830627	0.39596272	Yes	
row_23	RPL35	na	2450	0.13027805089950562	0.4133374	Yes	
row_24	MALSU1	na	2523	0.1285267174243927	0.42692584	Yes	
row_25	ZNHIT3	na	2611	0.12569354474544525	0.43928114	Yes	
row_26	NVL	na	2630	0.12521280348300934	0.45545405	Yes	
row_27	PAK1IP1	na	2858	0.11767997592687607	0.45882967	Yes	
row_28	RPL10	na	3037	0.11264147609472275	0.46427163	Yes	
row_29	NHP2	na	3114	0.11032851040363312	0.47513714	Yes	
row_30	RPLP0	na	3138	0.10969720035791397	0.48889905	Yes	
row_31	MRTO4	na	3203	0.10768389701843262	0.500077	Yes	
row_32	RPL6	na	3224	0.10703423619270325	0.51364225	Yes	
row_33	RPL12	na	3261	0.10605912655591965	0.5261731	Yes	
row_34	NPM1	na	3272	0.10587731748819351	0.5401424	Yes	
row_35	NOP2	na	3359	0.1035168245434761	0.5495101	Yes	
row_36	RPL7A	na	3443	0.10105722397565842	0.55870914	Yes	
row_37	RPL5	na	3483	0.1001475527882576	0.57025975	Yes	
row_38	RRS1	na	3520	0.0993351936340332	0.58186775	Yes	
row_39	RSL1D1	na	3530	0.09914764761924744	0.59496963	Yes	
row_40	RPL11	na	3869	0.09075332432985306	0.5884019	Yes	
row_41	WDR74	na	4035	0.0873316079378128	0.5911017	Yes	
row_42	FTSJ3	na	4407	0.07859182357788086	0.58100736	Yes	
row_43	WDR12	na	4418	0.07824946939945221	0.5911846	Yes	
row_44	GTF3A	na	4578	0.07468432933092117	0.59248626	Yes	
row_45	RPL26L1	na	4768	0.07054823637008667	0.5915316	Yes	
row_46	MRPL20	na	4836	0.06933664530515671	0.59727734	Yes	
row_47	NOP16	na	4959	0.06692088395357132	0.59959584	Yes	
row_48	SURF6	na	5034	0.06556598842144012	0.6044301	Yes	
row_49	RSL24D1	na	5215	0.06193690001964569	0.6028001	No	
row_50	NOL9	na	5374	0.05907115712761879	0.60201496	No	
row_51	HEATR3	na	5497	0.0569983646273613	0.60297155	No	
row_52	RPL3	na	5710	0.05345623195171356	0.59837645	No	
row_53	RPL7L1	na	6280	0.04225567355751991	0.5721506	No	
row_54	DDX28	na	6628	0.0363551527261734	0.5576099	No	
row_55	DDX18	na	6759	0.033795204013586044	0.5549315	No	
row_56	NIP7	na	6838	0.032430604100227356	0.5549926	No	
row_57	DHX30	na	7412	0.022425057366490364	0.5258197	No	
row_58	RPL3L	na	7572	0.01987273246049881	0.5195982	No	
row_59	FASTKD2	na	7739	0.016977062448859215	0.5125852	No	
row_60	MRPL1	na	8044	0.011575437150895596	0.4970636	No	
row_61	NOC2L	na	8620	0.0019516980974003673	0.46496812	No	
row_62	ZNHIT6	na	9175	-0.008191351778805256	0.434911	No	
row_63	EBNA1BP2	na	10234	-0.027347618713974953	0.379116	No	
row_64	URB1	na	11621	-0.05346599966287613	0.30844465	No	
row_65	MDN1	na	12811	-0.07766001671552658	0.25218204	No	
row_66	SDAD1	na	16946	-0.22163613140583038	0.049924035	No	
