NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMG1	na	146	0.2994905412197113	0.004874203	Yes	
row_1	FBLL1	na	277	0.2738286554813385	0.009528861	Yes	
row_2	RPP30	na	310	0.26920998096466064	0.019543353	Yes	
row_3	NPM3	na	313	0.2689564526081085	0.031249603	Yes	
row_4	NOP56	na	337	0.26514896750450134	0.0415965	Yes	
row_5	RPS21	na	346	0.26448315382003784	0.05276558	Yes	
row_6	FBL	na	388	0.257356196641922	0.061748266	Yes	
row_7	RRP9	na	538	0.23846399784088135	0.06377026	Yes	
row_8	EXOSC5	na	540	0.23831938207149506	0.07418687	Yes	
row_9	FAM207A	na	685	0.22342798113822937	0.07583189	Yes	
row_10	SUV39H1	na	777	0.21557247638702393	0.08014015	Yes	
row_11	RRP1	na	784	0.2146991789340973	0.08923491	Yes	
row_12	SENP3	na	821	0.21142880618572235	0.09648305	Yes	
row_13	LYAR	na	843	0.209993377327919	0.10451956	Yes	
row_14	EXOSC1	na	1001	0.1971006840467453	0.10426966	Yes	
row_15	BYSL	na	1013	0.19639427959918976	0.11227617	Yes	
row_16	NSUN5	na	1060	0.19272184371948242	0.11813456	Yes	
row_17	RRP7BP	na	1074	0.191841259598732	0.12582745	Yes	
row_18	POP7	na	1106	0.1899728775024414	0.13241649	Yes	
row_19	DEDD2	na	1108	0.18982164561748505	0.14070177	Yes	
row_20	RPL26	na	1170	0.18609853088855743	0.14541765	Yes	
row_21	METTL16	na	1200	0.18425367772579193	0.15186888	Yes	
row_22	EXOSC4	na	1251	0.1814088672399521	0.15700305	Yes	
row_23	PIH1D1	na	1256	0.18126234412193298	0.16474189	Yes	
row_24	BOP1	na	1280	0.17993125319480896	0.17134374	Yes	
row_25	RPS24	na	1338	0.1769651621580124	0.17588528	Yes	
row_26	RPUSD1	na	1426	0.17232654988765717	0.17852007	Yes	
row_27	PELP1	na	1474	0.1701870560646057	0.18333137	Yes	
row_28	RPS19	na	1489	0.16955415904521942	0.18998805	Yes	
row_29	RPS27	na	1493	0.16928613185882568	0.19725734	Yes	
row_30	RPL35A	na	1530	0.16729077696800232	0.20256576	Yes	
row_31	DDX27	na	1540	0.16677629947662354	0.20938417	Yes	
row_32	RPS16	na	1604	0.16325944662094116	0.21298282	Yes	
row_33	NOP53	na	1628	0.1621401309967041	0.2188028	Yes	
row_34	RPF2	na	1676	0.15989762544631958	0.2231619	Yes	
row_35	RPL27	na	1740	0.1572853922843933	0.22649801	Yes	
row_36	EXOSC7	na	1763	0.1559118926525116	0.23210105	Yes	
row_37	RPS7	na	1778	0.1554761528968811	0.23813903	Yes	
row_38	GTPBP4	na	1782	0.15522125363349915	0.24479023	Yes	
row_39	RPL14	na	1786	0.15517061948776245	0.25143918	Yes	
row_40	WDR46	na	1796	0.15490643680095673	0.25773597	Yes	
row_41	ISG20	na	1848	0.1528325229883194	0.26155755	Yes	
row_42	NOB1	na	1852	0.1525842398405075	0.26809284	Yes	
row_43	RPS15	na	1873	0.1518920511007309	0.27363274	Yes	
row_44	DDX49	na	1893	0.1511511355638504	0.27919686	Yes	
row_45	RPS2	na	1926	0.14997777342796326	0.28397146	Yes	
row_46	NOP58	na	1973	0.14835312962532043	0.28788	Yes	
row_47	DHX37	na	1974	0.14831680059432983	0.29439804	Yes	
row_48	NIFK	na	1993	0.14759884774684906	0.2998628	Yes	
row_49	GEMIN4	na	2069	0.14427843689918518	0.30194613	Yes	
row_50	RPL7	na	2108	0.14256533980369568	0.3060544	Yes	
row_51	RPS17	na	2129	0.14193207025527954	0.3111566	Yes	
row_52	RPS28	na	2190	0.1394168734550476	0.31387773	Yes	
row_53	DDX10	na	2218	0.13858798146247864	0.3184356	Yes	
row_54	RPP38	na	2301	0.13540464639663696	0.31973162	Yes	
row_55	PES1	na	2318	0.1346724033355713	0.32474184	Yes	
row_56	SNU13	na	2324	0.13441506028175354	0.33036512	Yes	
row_57	RPS9	na	2327	0.13430926203727722	0.33615407	Yes	
row_58	TSR3	na	2334	0.13411039113998413	0.3417072	Yes	
row_59	RRP7A	na	2396	0.13209311664104462	0.34404972	Yes	
row_60	POP4	na	2403	0.13185904920101166	0.34950393	Yes	
row_61	LAS1L	na	2408	0.13173052668571472	0.355066	Yes	
row_62	REXO4	na	2411	0.13162054121494293	0.3607368	Yes	
row_63	RPL10A	na	2440	0.13071241974830627	0.3648918	Yes	
row_64	RPL35	na	2450	0.13027805089950562	0.37010622	Yes	
row_65	EIF4A3	na	2464	0.1299806535243988	0.37508056	Yes	
row_66	RPP40	na	2518	0.12858915328979492	0.37772316	Yes	
row_67	PDCD11	na	2538	0.12801508605480194	0.38227051	Yes	
row_68	UTP18	na	2540	0.12792234122753143	0.38783553	Yes	
row_69	RIOK1	na	2557	0.1273968368768692	0.392526	Yes	
row_70	PELO	na	2561	0.1271866410970688	0.39794517	Yes	
row_71	EXOSC8	na	2582	0.12641586363315582	0.40236548	Yes	
row_72	RPP25	na	2588	0.1262860894203186	0.40763152	Yes	
row_73	POP5	na	2606	0.12579144537448883	0.41219467	Yes	
row_74	ZNHIT3	na	2611	0.12569354474544525	0.41749147	Yes	
row_75	NVL	na	2630	0.12521280348300934	0.42197242	Yes	
row_76	RPS14	na	2673	0.12389949709177017	0.42503333	Yes	
row_77	UTP14A	na	2696	0.12281044572591782	0.42918167	Yes	
row_78	NOP10	na	2710	0.12238875031471252	0.43382233	Yes	
row_79	RRP36	na	2714	0.12229704856872559	0.43902662	Yes	
row_80	RPS8	na	2763	0.12091497331857681	0.44161582	Yes	
row_81	GAR1	na	2801	0.11958498507738113	0.44477093	Yes	
row_82	UTP4	na	2817	0.11909616738557816	0.4491534	Yes	
row_83	GTF2H5	na	2883	0.11706250160932541	0.45060828	Yes	
row_84	DKC1	na	2966	0.11473371088504791	0.4509959	Yes	
row_85	DROSHA	na	3013	0.11329124867916107	0.45336354	Yes	
row_86	NOC4L	na	3022	0.11300035566091537	0.45787546	Yes	
row_87	ERCC2	na	3054	0.1121705174446106	0.46104532	Yes	
row_88	NHP2	na	3114	0.11032851040363312	0.46254486	Yes	
row_89	MRTO4	na	3203	0.10768389701843262	0.46228206	Yes	
row_90	YBEY	na	3204	0.10768383741378784	0.46701443	Yes	
row_91	ISG20L2	na	3211	0.10742251574993134	0.47139472	Yes	
row_92	NGDN	na	3280	0.10564549267292023	0.4721776	Yes	
row_93	PA2G4	na	3326	0.10447811335325241	0.4742147	Yes	
row_94	NOP2	na	3359	0.1035168245434761	0.47694752	Yes	
row_95	PWP2	na	3370	0.10321474075317383	0.48091584	Yes	
row_96	TRMT112	na	3395	0.1023944616317749	0.48405343	Yes	
row_97	DCAF13	na	3417	0.10171351581811905	0.4873314	Yes	
row_98	RPL7A	na	3443	0.10105722397565842	0.49035344	Yes	
row_99	NOL11	na	3449	0.1009729728102684	0.49450707	Yes	
row_100	RPS6	na	3466	0.100635826587677	0.49802148	Yes	
row_101	RPL5	na	3483	0.1001475527882576	0.50151443	Yes	
row_102	TRIR	na	3498	0.0998254120349884	0.50510675	Yes	
row_103	RRS1	na	3520	0.0993351936340332	0.5082802	Yes	
row_104	RSL1D1	na	3530	0.09914764761924744	0.51212656	Yes	
row_105	ABT1	na	3725	0.09416605532169342	0.5052527	Yes	
row_106	BMS1	na	3778	0.09300914406776428	0.5063885	Yes	
row_107	UTP6	na	3843	0.09143536537885666	0.50677395	Yes	
row_108	RPL11	na	3869	0.09075332432985306	0.5093432	Yes	
row_109	BUD23	na	3911	0.0898265689611435	0.5109635	Yes	
row_110	NOLC1	na	3931	0.08945562690496445	0.51381624	Yes	
row_111	BTRC	na	3976	0.08845087140798569	0.5152058	Yes	
row_112	TEX10	na	4006	0.08789369463920593	0.5174223	Yes	
row_113	MRM1	na	4023	0.08765008300542831	0.5203661	Yes	
row_114	WDR74	na	4035	0.0873316079378128	0.5235796	Yes	
row_115	IMP4	na	4086	0.08607016503810883	0.5245239	Yes	
row_116	SART1	na	4348	0.0801248624920845	0.5132299	Yes	
row_117	DDX56	na	4377	0.07948432117700577	0.5151336	Yes	
row_118	RRP8	na	4381	0.07929292321205139	0.518448	Yes	
row_119	FTSJ3	na	4407	0.07859182357788086	0.5204828	Yes	
row_120	WDR12	na	4418	0.07824946939945221	0.523354	Yes	
row_121	MRM3	na	4478	0.0767369493842125	0.5233773	Yes	
row_122	NOL10	na	4551	0.07535959035158157	0.52260214	Yes	
row_123	MRM2	na	4552	0.07535375654697418	0.5259137	Yes	
row_124	WDR75	na	4566	0.07493282854557037	0.52846885	Yes	
row_125	EXOSC3	na	4601	0.07414072006940842	0.52979714	Yes	
row_126	NAT10	na	4848	0.0691654309630394	0.5188729	No	
row_127	DDX52	na	4885	0.06856096535921097	0.5198425	No	
row_128	TBL3	na	5036	0.06552370637655258	0.51420754	No	
row_129	EXOSC6	na	5113	0.06395957618951797	0.5127044	No	
row_130	TSR2	na	5205	0.06220443174242973	0.51027256	No	
row_131	DDX54	na	5226	0.061710722744464874	0.5118493	No	
row_132	RRP15	na	5332	0.05978037044405937	0.5085163	No	
row_133	NOL9	na	5374	0.05907115712761879	0.508785	No	
row_134	EXOSC2	na	5396	0.058790173381567	0.5101766	No	
row_135	NSA2	na	5473	0.057332124561071396	0.50838214	No	
row_136	IMP3	na	5563	0.05585430562496185	0.5057848	No	
row_137	RPUSD2	na	5574	0.055664919316768646	0.5076635	No	
row_138	RRP1B	na	5599	0.05533253028988838	0.50873286	No	
row_139	BMT2	na	5675	0.05399859696626663	0.5068487	No	
row_140	MTERF4	na	5731	0.05300468951463699	0.5060561	No	
row_141	FRG1	na	5794	0.051774270832538605	0.50481206	No	
row_142	MAPT	na	5923	0.048914067447185516	0.49969596	No	
row_143	UTP23	na	6188	0.04418214038014412	0.4866521	No	
row_144	RPL7L1	na	6280	0.04225567355751991	0.48334363	No	
row_145	WDR55	na	6288	0.04214287921786308	0.48479834	No	
row_146	WBP11	na	6537	0.037695642560720444	0.47237763	No	
row_147	KRI1	na	6576	0.03705700486898422	0.47184917	No	
