NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.017834544	Yes	
row_1	RPL39	na	262	0.27577099204063416	0.01794251	Yes	
row_2	RPS21	na	346	0.26448315382003784	0.026439473	Yes	
row_3	RPS10	na	511	0.24227571487426758	0.029238615	Yes	
row_4	RPL23A	na	723	0.2206314355134964	0.0282945	Yes	
row_5	RPL18A	na	812	0.21260909736156464	0.033919238	Yes	
row_6	HSPB1	na	819	0.21167007088661194	0.04414327	Yes	
row_7	RPS5	na	900	0.20454254746437073	0.04981871	Yes	
row_8	RPL36	na	988	0.19773724675178528	0.054757886	Yes	
row_9	RPL38	na	1006	0.19679155945777893	0.0636161	Yes	
row_10	RPS12	na	1057	0.19280105829238892	0.07040536	Yes	
row_11	RPL28	na	1115	0.1892320066690445	0.07661987	Yes	
row_12	RPLP2	na	1118	0.18903173506259918	0.08594071	Yes	
row_13	RPL17	na	1133	0.18804612755775452	0.09453244	Yes	
row_14	RPL26	na	1170	0.18609853088855743	0.10178044	Yes	
row_15	RPSA	na	1178	0.18559056520462036	0.11064623	Yes	
row_16	RPS24	na	1338	0.1769651621580124	0.11046917	Yes	
row_17	RPL37A	na	1349	0.1763157695531845	0.118702106	Yes	
row_18	RPL27A	na	1386	0.1741485744714737	0.12535371	Yes	
row_19	RPL18	na	1458	0.1707325428724289	0.1298517	Yes	
row_20	RPL32	na	1469	0.17034393548965454	0.1377866	Yes	
row_21	RPS19	na	1489	0.16955415904521942	0.14517213	Yes	
row_22	RPS27	na	1493	0.16928613185882568	0.15345085	Yes	
row_23	RPL41	na	1508	0.16817106306552887	0.16105065	Yes	
row_24	RPL35A	na	1530	0.16729077696800232	0.16820991	Yes	
row_25	RPS27A	na	1562	0.16554118692874908	0.17471524	Yes	
row_26	RPS11	na	1580	0.16445454955101013	0.18195957	Yes	
row_27	RPS29	na	1587	0.16407263278961182	0.18980812	Yes	
row_28	RPS16	na	1604	0.16325944662094116	0.19704947	Yes	
row_29	RPL37	na	1627	0.16215495765209198	0.20389575	Yes	
row_30	RPL27	na	1740	0.1572853922843933	0.20539954	Yes	
row_31	AGO2	na	1766	0.1557980328798294	0.21175858	Yes	
row_32	RPS7	na	1778	0.1554761528968811	0.2188948	Yes	
row_33	RPL14	na	1786	0.15517061948776245	0.2262424	Yes	
row_34	RPL13A	na	1854	0.15253408253192902	0.23005879	Yes	
row_35	RPL8	na	1866	0.15213781595230103	0.23702839	Yes	
row_36	RPS15	na	1873	0.1518920511007309	0.24426903	Yes	
row_37	PPP1R15A	na	1887	0.15133416652679443	0.25108522	Yes	
row_38	RPS18	na	1892	0.15117549896240234	0.25840342	Yes	
row_39	RPS13	na	1917	0.1503174602985382	0.26454556	Yes	
row_40	RPS2	na	1926	0.14997777342796326	0.27157736	Yes	
row_41	EIF2S2	na	1958	0.1487952619791031	0.27724692	Yes	
row_42	RPL9	na	1964	0.14864054322242737	0.28438196	Yes	
row_43	RPS15A	na	2052	0.1452481746673584	0.28670153	Yes	
row_44	RPL23	na	2066	0.14437730610370636	0.29317048	Yes	
row_45	RPL30	na	2095	0.14339113235473633	0.29874033	Yes	
row_46	RPL31	na	2107	0.14266474545001984	0.30523714	Yes	
row_47	RPL7	na	2108	0.14256533980369568	0.3123523	Yes	
row_48	RPS17	na	2129	0.14193207025527954	0.3183026	Yes	
row_49	RPL29	na	2134	0.14166119694709778	0.32514596	Yes	
row_50	RPS3	na	2163	0.14037960767745972	0.3305655	Yes	
row_51	EIF6	na	2173	0.14017489552497864	0.3370514	Yes	
row_52	MCTS1	na	2176	0.1401222199201584	0.34393126	Yes	
row_53	RPS28	na	2190	0.1394168734550476	0.35015267	Yes	
row_54	RPS4X	na	2210	0.1389683037996292	0.35601172	Yes	
row_55	LTO1	na	2213	0.13867205381393433	0.36281922	Yes	
row_56	EIF3K	na	2215	0.1386648565530777	0.36968303	Yes	
row_57	UBA52	na	2220	0.13853497803211212	0.37637037	Yes	
row_58	RPL21	na	2248	0.13778063654899597	0.38171688	Yes	
row_59	RPL24	na	2287	0.13613419234752655	0.38635793	Yes	
row_60	RPS23	na	2298	0.13566699624061584	0.39256218	Yes	
row_61	RPS9	na	2327	0.13430926203727722	0.39767876	Yes	
row_62	EIF3B	na	2336	0.13402408361434937	0.40391433	Yes	
row_63	RPL13	na	2391	0.13230441510677338	0.40745768	Yes	
row_64	RPL10A	na	2440	0.13071241974830627	0.41126156	Yes	
row_65	RPL35	na	2450	0.13027805089950562	0.41725352	Yes	
row_66	RPLP1	na	2476	0.1296459287405014	0.42230734	Yes	
row_67	RPS14	na	2673	0.12389949709177017	0.41738546	Yes	
row_68	RPS3A	na	2679	0.12344777584075928	0.42326316	Yes	
row_69	RPS25	na	2690	0.12297889590263367	0.42883417	Yes	
row_70	EIF3D	na	2708	0.12241367250680923	0.43398035	Yes	
row_71	RPS8	na	2763	0.12091497331857681	0.43695527	Yes	
row_72	RPL22	na	2848	0.11828912794589996	0.43809935	Yes	
row_73	RPS26	na	2873	0.11740526556968689	0.44259894	Yes	
row_74	EIF3F	na	2949	0.11518679559230804	0.44409814	Yes	
row_75	EIF3H	na	2995	0.11376222223043442	0.44722605	Yes	
row_76	RPL10	na	3037	0.11264147609472275	0.45052466	Yes	
row_77	RPS20	na	3093	0.11108367890119553	0.4529523	Yes	
row_78	RPLP0	na	3138	0.10969720035791397	0.45593396	Yes	
row_79	RPL6	na	3224	0.10703423619270325	0.45645967	Yes	
row_80	RPL12	na	3261	0.10605912655591965	0.45971307	Yes	
row_81	NPM1	na	3272	0.10587731748819351	0.4644306	Yes	
row_82	EIF3CL	na	3277	0.10577186942100525	0.46948278	Yes	
row_83	YTHDF1	na	3353	0.10361333936452866	0.4704044	Yes	
row_84	PABPC1	na	3376	0.10307461023330688	0.47430208	Yes	
row_85	EIF4E2	na	3380	0.10290641337633133	0.47926793	Yes	
row_86	NCBP2	na	3384	0.10280859470367432	0.4842289	Yes	
row_87	RPL7A	na	3443	0.10105722397565842	0.48598614	Yes	
row_88	RPS6	na	3466	0.100635826587677	0.48976213	Yes	
row_89	EIF3G	na	3476	0.10023634880781174	0.49425477	Yes	
row_90	RPL5	na	3483	0.1001475527882576	0.49891293	Yes	
row_91	EIF5B	na	3490	0.10002577304840088	0.5035651	Yes	
row_92	POLR2G	na	3606	0.09711162000894547	0.5018957	Yes	
row_93	NCK2	na	3629	0.09650327265262604	0.50546545	Yes	
row_94	EIF2B4	na	3652	0.09594230353832245	0.5090072	Yes	
row_95	RPL19	na	3764	0.093316450715065	0.5073751	Yes	
row_96	RPL11	na	3869	0.09075332432985306	0.5060117	Yes	
row_97	EIF3M	na	3910	0.08988065272569656	0.50823104	Yes	
row_98	RPL15	na	3927	0.08955656737089157	0.5117941	Yes	
row_99	RPL4	na	3930	0.08945966511964798	0.51614547	Yes	
row_100	CDC123	na	3944	0.08904457837343216	0.51985294	Yes	
row_101	POLR2D	na	3973	0.0885336697101593	0.52268493	Yes	
row_102	KHDRBS1	na	4134	0.08472689241170883	0.51784784	Yes	
row_103	DENR	na	4171	0.08392030000686646	0.51999635	Yes	
row_104	EIF2S3	na	4210	0.08284186571836472	0.52197766	Yes	
row_105	RPL34	na	4214	0.08279118686914444	0.52593964	Yes	
row_106	C8orf88	na	4301	0.08105780184268951	0.5251123	No	
row_107	EIF3E	na	4501	0.07634230703115463	0.5176469	No	
row_108	EIF2S3B	na	4532	0.07581637799739838	0.5197309	No	
row_109	EIF1AD	na	4716	0.0716184750199318	0.5129364	No	
row_110	ATF4	na	5116	0.06393139064311981	0.49351954	No	
row_111	EIF1B	na	5262	0.0610545314848423	0.4883509	No	
row_112	EIF2B5	na	5271	0.06089155003428459	0.49093658	No	
row_113	EIF4EBP1	na	5678	0.05395543575286865	0.47062522	No	
row_114	RPL3	na	5710	0.05345623195171356	0.47153664	No	
row_115	EIF4EBP2	na	6157	0.0447998009622097	0.44850194	No	
row_116	EIF2AK1	na	6260	0.042756035923957825	0.44485644	No	
row_117	PPP1CA	na	6328	0.04126819968223572	0.4431198	No	
row_118	EIF1	na	6629	0.03634563460946083	0.4279356	No	
row_119	EIF2B1	na	6635	0.03620404005050659	0.42945915	No	
row_120	EIF2A	na	6680	0.035189252346754074	0.42872232	No	
row_121	PAIP1	na	6727	0.03444673866033554	0.4278351	No	
row_122	EIF3I	na	6816	0.03273491561412811	0.4244827	No	
row_123	EIF4B	na	7082	0.027976088225841522	0.41086394	No	
row_124	COPS5	na	7244	0.025127174332737923	0.40299565	No	
row_125	EIF2D	na	7379	0.023118700832128525	0.39655694	No	
row_126	DHX33	na	7625	0.018965603783726692	0.38362166	No	
row_127	CCL5	na	7651	0.01846114918589592	0.38312653	No	
row_128	DDX1	na	7653	0.01842273212969303	0.3839893	No	
row_129	EIF3J	na	7793	0.015963299199938774	0.37691018	No	
row_130	RPS4Y1	na	8021	0.012152706272900105	0.36465478	No	
row_131	MTIF2	na	8484	0.004139709752053022	0.33868426	No	
row_132	LARP1	na	8528	0.0034503142815083265	0.33642006	No	
row_133	MIF4GD	na	8589	0.002325249370187521	0.3331365	No	
row_134	EIF4A2	na	9028	-0.005851222202181816	0.30861124	No	
row_135	EIF2B2	na	9031	-0.005966401193290949	0.3087957	No	
row_136	EIF1AX	na	9323	-0.010848123580217361	0.2928489	No	
row_137	TNF	na	9456	-0.013232477009296417	0.28603014	No	
row_138	EIF4G2	na	9564	-0.015321418642997742	0.28073213	No	
row_139	EIF1AY	na	9607	-0.016024339944124222	0.27915213	No	
row_140	RPS6KB2	na	9671	-0.01720994897186756	0.27644143	No	
row_141	RPS6KB1	na	9756	-0.018585028126835823	0.2726095	No	
row_142	EIF2B3	na	10125	-0.025537267327308655	0.25303295	No	
row_143	PAIP2	na	10151	-0.0261488389223814	0.2529215	No	
row_144	EIF2AK3	na	10276	-0.02824050560593605	0.247305	No	
row_145	MTIF3	na	10307	-0.028960568830370903	0.24705055	No	
row_146	EIF4G1	na	10578	-0.0338667593896389	0.23344246	No	
row_147	EIF4H	na	10669	-0.03553592041134834	0.23011653	No	
row_148	EIF2S1	na	10684	-0.03583497181534767	0.23111174	No	
row_149	TPR	na	11071	-0.042660877108573914	0.21136992	No	
row_150	METTL3	na	11096	-0.04317205026745796	0.21216469	No	
row_151	MTFMT	na	11121	-0.043777577579021454	0.21298969	No	
row_152	EIF4A1	na	11425	-0.0499122329056263	0.19831258	No	
row_153	EIF2AK2	na	11577	-0.05252169072628021	0.1923781	No	
row_154	YTHDF2	na	11645	-0.05396177992224693	0.19127497	No	
row_155	EIF4EBP3	na	11806	-0.05704367905855179	0.18505622	No	
row_156	NCBP1	na	11963	-0.060576483607292175	0.17924044	No	
row_157	HABP4	na	12015	-0.06168653070926666	0.1794294	No	
row_158	PAIP2B	na	12039	-0.06210516765713692	0.18122573	No	
row_159	FMR1	na	12050	-0.062393222004175186	0.18377304	No	
row_160	RXRA	na	12133	-0.06393266469240189	0.18231763	No	
row_161	GLE1	na	12189	-0.06519907712936401	0.18245524	No	
row_162	RBM4	na	12311	-0.06748980283737183	0.17896761	No	
row_163	EIF3A	na	12378	-0.06888438761234283	0.17866589	No	
row_164	EIF3L	na	12531	-0.07191649824380875	0.1736427	No	
row_165	UHMK1	na	12770	-0.07663296908140182	0.1639821	No	
row_166	ALKBH1	na	13104	-0.08423101902008057	0.14931796	No	
row_167	EIF5	na	13170	-0.08621674031019211	0.14993793	No	
row_168	KLHL25	na	13176	-0.08632317930459976	0.15396282	No	
row_169	DDX3X	na	13218	-0.08722732216119766	0.15599307	No	
row_170	YTHDF3	na	13653	-0.09774696826934814	0.13628078	No	
row_171	PPP1R15B	na	13792	-0.10084757953882217	0.13349472	No	
row_172	EIF2AK4	na	13817	-0.10153644531965256	0.13720234	No	
row_173	DNAJC3	na	13963	-0.10560326278209686	0.134257	No	
row_174	MTOR	na	14069	-0.10818158835172653	0.13370676	No	
row_175	DHX29	na	14534	-0.11985211819410324	0.11339788	No	
row_176	BANK1	na	14613	-0.12253803014755249	0.11509397	No	
row_177	CTIF	na	14699	-0.12536773085594177	0.116534665	No	
row_178	EIF3C	na	14790	-0.128154456615448	0.11783114	No	
row_179	EIF4E	na	15145	-0.13924920558929443	0.10472297	No	
row_180	ABCE1	na	15604	-0.15441054105758667	0.086478785	No	
row_181	EIF4G3	na	15679	-0.15721341967582703	0.09013209	No	
row_182	EIF4E3	na	15708	-0.15863029658794403	0.09646249	No	
