NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNB3	na	698	0.22233183681964874	-0.016512822	No	
row_1	ACSL4	na	1125	0.18854749202728271	-0.021166377	No	
row_2	PANK2	na	1227	0.1825205534696579	-0.008125517	No	
row_3	FABP5	na	2322	0.1345236897468567	-0.05596366	No	
row_4	CTDNEP1	na	3209	0.10749536752700806	-0.09485541	No	
row_5	SREBF1	na	4173	0.08382178097963333	-0.14051554	No	
row_6	FABP6	na	4719	0.07159887999296188	-0.1638768	No	
row_7	NR1H2	na	4745	0.07096006721258163	-0.15800291	No	
row_8	PCSK9	na	5185	0.06257631629705429	-0.17631732	No	
row_9	NR1H3	na	5253	0.06118761748075485	-0.17381296	No	
row_10	APOA4	na	5380	0.05895548686385155	-0.17486219	No	
row_11	FABP3	na	5482	0.0572570376098156	-0.17467704	No	
row_12	MOGAT3	na	5995	0.04766557365655899	-0.1986351	No	
row_13	APOC2	na	6051	0.04668687283992767	-0.19694278	No	
row_14	TBL1XR1	na	6748	0.03398507088422775	-0.2326728	No	
row_15	GPX1	na	6847	0.032272953540086746	-0.23488271	No	
row_16	DGAT1	na	7201	0.02590077556669712	-0.25211522	No	
row_17	APOA2	na	7962	0.013382643461227417	-0.2935659	No	
row_18	SLC27A1	na	7998	0.012668403796851635	-0.2942379	No	
row_19	GPAT2	na	8364	0.006541825830936432	-0.3141334	No	
row_20	APOA1	na	8410	0.005547842010855675	-0.31609967	No	
row_21	LPL	na	8551	0.0030470306519418955	-0.3236756	No	
row_22	APOBR	na	9024	-0.005737024825066328	-0.34968287	No	
row_23	SCARB1	na	9079	-0.006421130150556564	-0.35206664	No	
row_24	SERPINA12	na	9342	-0.011252474039793015	-0.36567485	No	
row_25	FGF21	na	9699	-0.017532778903841972	-0.3839352	No	
row_26	PNPLA2	na	9799	-0.019396239891648293	-0.387523	No	
row_27	APOE	na	9901	-0.021370308473706245	-0.39102086	No	
row_28	CNEP1R1	na	10384	-0.03045489639043808	-0.41505483	No	
row_29	LMF1	na	10768	-0.037420086562633514	-0.43279555	No	
row_30	FABP1	na	10789	-0.03785724937915802	-0.43003723	No	
row_31	CYP2E1	na	10839	-0.03861165791749954	-0.42883557	No	
row_32	DGAT2	na	10951	-0.04062621667981148	-0.43092072	No	
row_33	APOH	na	11236	-0.04589071124792099	-0.44221368	No	
row_34	GK	na	11398	-0.04927891492843628	-0.44622818	No	
row_35	APOC1	na	12102	-0.06338030099868774	-0.4793358	No	
row_36	PNPLA3	na	12179	-0.0649678036570549	-0.47695065	No	
row_37	GK5	na	12245	-0.06635423749685287	-0.47380334	No	
row_38	CPT1A	na	12663	-0.0748169794678688	-0.48962185	No	
row_39	PCK1	na	12834	-0.07815499603748322	-0.49117994	No	
row_40	SIK1	na	12867	-0.07873024791479111	-0.48490304	No	
row_41	APOC3	na	12868	-0.078741155564785	-0.47682187	No	
row_42	LIPC	na	13606	-0.09671363979578018	-0.50842434	Yes	
