NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTP4A3	na	495	0.24424079060554504	-0.013213732	No	
row_1	TACR2	na	849	0.20967791974544525	-0.020489737	No	
row_2	TGFB1	na	984	0.19788724184036255	-0.016097551	No	
row_3	SRC	na	1037	0.19448325037956238	-0.007275321	No	
row_4	FGFBP3	na	1193	0.1846000701189041	-0.004873969	No	
row_5	OXTR	na	1313	0.17814601957798004	-8.27671E-4	No	
row_6	MKKS	na	1541	0.16668307781219482	-0.00358047	No	
row_7	CHGA	na	1781	0.15532927215099335	-0.0076983576	No	
row_8	ATP2B1	na	2890	0.11690239608287811	-0.0632696	No	
row_9	PLOD3	na	3296	0.10525453090667725	-0.07980084	No	
row_10	ITGB1BP1	na	3481	0.10019631683826447	-0.08414363	No	
row_11	HTR1D	na	3637	0.09629546850919724	-0.08708282	No	
row_12	TRPM4	na	3836	0.09157318621873856	-0.09273863	No	
row_13	ADRA1D	na	4148	0.08447133004665375	-0.105212465	No	
row_14	ADORA2B	na	4609	0.07402036339044571	-0.12674215	No	
row_15	BCR	na	4810	0.06998229771852493	-0.13381682	No	
row_16	PPARD	na	5006	0.06598219275474548	-0.14085072	No	
row_17	MYLK3	na	5054	0.06530284136533737	-0.13955848	No	
row_18	KCNMB4	na	5352	0.05937209352850914	-0.15275878	No	
row_19	PTAFR	na	5705	0.05352375656366348	-0.16942224	No	
row_20	CTNNBIP1	na	5773	0.052122119814157486	-0.17005783	No	
row_21	HMGCR	na	5912	0.04926449805498123	-0.1748803	No	
row_22	TRPV4	na	6264	0.042622458189725876	-0.19214651	No	
row_23	ADRA2C	na	6352	0.04084142670035362	-0.19459507	No	
row_24	ATG5	na	6359	0.04077059403061867	-0.19246852	No	
row_25	COMP	na	6404	0.04022933170199394	-0.19252308	No	
row_26	RHOA	na	6528	0.0379694364964962	-0.1971806	No	
row_27	RAMP2	na	6756	0.033907804638147354	-0.20796347	No	
row_28	GPX1	na	6847	0.032272953540086746	-0.21109983	No	
row_29	RGS2	na	7064	0.02831975370645523	-0.22159877	No	
row_30	ARHGAP35	na	7111	0.02745603583753109	-0.2225389	No	
row_31	HRH1	na	7255	0.024968428537249565	-0.22911341	No	
row_32	ACE	na	7437	0.02204403094947338	-0.23801315	No	
row_33	ADCY6	na	7516	0.02071758732199669	-0.24116994	No	
row_34	ABR	na	7727	0.01718912273645401	-0.25200284	No	
row_35	FOXC2	na	8056	0.011422994546592236	-0.26985562	No	
row_36	UCN	na	8206	0.0090918755158782	-0.27772957	No	
row_37	KCNA5	na	8226	0.008827601559460163	-0.27826986	No	
row_38	KCNMB1	na	8273	0.00824729260057211	-0.2803717	No	
row_39	ECE1	na	8304	0.007591679226607084	-0.28160864	No	
row_40	AGT	na	8319	0.0073209526017308235	-0.28195736	No	
row_41	ADRA2A	na	8922	-0.0035657426342368126	-0.31577608	No	
row_42	EDNRA	na	9437	-0.012880237773060799	-0.34405637	No	
row_43	ADORA2A	na	9460	-0.013314461335539818	-0.3444949	No	
row_44	CEACAM1	na	9530	-0.014674772508442402	-0.34750834	No	
row_45	CRP	na	9601	-0.015923136845231056	-0.35050282	No	
row_46	GPER1	na	9668	-0.017142020165920258	-0.35319743	No	
row_47	ADORA1	na	9876	-0.02096310630440712	-0.36363247	No	
row_48	APOE	na	9901	-0.021370308473706245	-0.36369687	No	
row_49	SOD1	na	9957	-0.022290049120783806	-0.36545825	No	
row_50	PTPRJ	na	10020	-0.023251933977007866	-0.3675572	No	
row_51	SLC6A4	na	10073	-0.02433359995484352	-0.36902538	No	
row_52	GJA1	na	10081	-0.024569706991314888	-0.3679352	No	
row_53	CALCA	na	10083	-0.02460002340376377	-0.36650395	No	
row_54	SERPINF2	na	10178	-0.026564162224531174	-0.37021172	No	
row_55	CD38	na	10376	-0.03024984523653984	-0.37951976	No	
row_56	VEGFA	na	10407	-0.031125886365771294	-0.37933338	No	
row_57	AGTR1	na	10494	-0.03252307325601578	-0.38222846	No	
row_58	NPR1	na	10495	-0.03254247084259987	-0.38026035	No	
row_59	HMOX1	na	10516	-0.03293876722455025	-0.37939897	No	
row_60	SLIT2	na	10518	-0.032983068376779556	-0.37746075	No	
row_61	ADM	na	10690	-0.035965144634246826	-0.3849532	No	
row_62	PLA2G6	na	10905	-0.03980637341737747	-0.39464435	No	
row_63	ADRB1	na	10972	-0.041082266718149185	-0.3958911	No	
row_64	GRIP2	na	11168	-0.04480976611375809	-0.4042055	No	
row_65	YES1	na	11213	-0.0454813577234745	-0.4039424	No	
row_66	FOXC1	na	11233	-0.045874807983636856	-0.40224212	No	
row_67	ROCK2	na	11255	-0.0462837778031826	-0.4006302	No	
row_68	GUCY1A1	na	11357	-0.048377927392721176	-0.40341446	No	
row_69	C2CD4B	na	11369	-0.048784319311380386	-0.40108594	No	
row_70	F2RL1	na	11516	-0.05137783661484718	-0.40623286	No	
row_71	AKT1	na	11605	-0.05310408025979996	-0.40799633	No	
row_72	P2RX1	na	11729	-0.05561433359980583	-0.4115867	No	
row_73	HTR7	na	11797	-0.056784696877002716	-0.41194034	No	
row_74	PRKG1	na	12035	-0.06205379217863083	-0.42158633	No	
row_75	GJA5	na	12641	-0.07438728213310242	-0.45129147	No	
row_76	PER2	na	12884	-0.07913738489151001	-0.46018693	No	
row_77	BDKRB2	na	12968	-0.0808819904923439	-0.45998776	No	
row_78	KEL	na	13219	-0.08723293989896774	-0.4688459	No	
row_79	ADCYAP1	na	13443	-0.0929049625992775	-0.47583455	No	
row_80	APLN	na	13499	-0.09398764371871948	-0.47325978	No	
row_81	TBXA2R	na	13928	-0.10464068502187729	-0.49112844	Yes	
row_82	P2RY2	na	14010	-0.10678108781576157	-0.48924986	Yes	
row_83	F2R	na	14096	-0.1089688315987587	-0.48746508	Yes	
row_84	PDE3A	na	14097	-0.1089811846613884	-0.48087406	Yes	
row_85	CAV1	na	14116	-0.10951992869377136	-0.47526807	Yes	
row_86	ITGA1	na	14129	-0.10997876524925232	-0.46929514	Yes	
row_87	ICAM1	na	14160	-0.1106695830821991	-0.46429807	Yes	
row_88	ACTA2	na	14256	-0.11306275427341461	-0.46283105	Yes	
row_89	AVPR2	na	14350	-0.11568998545408249	-0.46109208	Yes	
row_90	GCLM	na	14511	-0.11920525878667831	-0.4629284	Yes	
row_91	GCLC	na	14627	-0.12301746755838394	-0.46199006	Yes	
row_92	BMPR2	na	14629	-0.12307178974151611	-0.4546034	Yes	
row_93	ANGPT1	na	14645	-0.12366056442260742	-0.4479726	Yes	
row_94	C2CD4A	na	14675	-0.12451376020908356	-0.44208172	Yes	
row_95	SOD2	na	14715	-0.12587504088878632	-0.43667385	Yes	
row_96	VIP	na	14866	-0.13074901700019836	-0.43724665	Yes	
row_97	CPS1	na	14906	-0.13195033371448517	-0.43147138	Yes	
row_98	PTGS2	na	14990	-0.13442763686180115	-0.42803383	Yes	
row_99	SMTNL1	na	14993	-0.13454246520996094	-0.42000994	Yes	
row_100	ADRA2B	na	15012	-0.13494959473609924	-0.41286603	Yes	
row_101	ATP1A2	na	15017	-0.1351153552532196	-0.40492058	Yes	
row_102	KCNMA1	na	15029	-0.1354212611913681	-0.3973524	Yes	
row_103	WDR35	na	15035	-0.13560517132282257	-0.38943386	Yes	
row_104	EGFR	na	15242	-0.14253084361553192	-0.3924601	Yes	
row_105	CHRM3	na	15306	-0.14472082257270813	-0.38726932	Yes	
row_106	DDAH1	na	15312	-0.1448303461074829	-0.37879285	Yes	
row_107	PIK3C2A	na	15336	-0.1455117166042328	-0.37129283	Yes	
row_108	GCH1	na	15455	-0.14973688125610352	-0.36890814	Yes	
row_109	ROCK1	na	15469	-0.1502370685338974	-0.360557	Yes	
row_110	AKAP12	na	15507	-0.15148693323135376	-0.35348707	Yes	
row_111	PTPRM	na	15569	-0.15329602360725403	-0.3476646	Yes	
row_112	RAP1GDS1	na	15602	-0.1543940305709839	-0.3401362	Yes	
row_113	FGB	na	15647	-0.15604442358016968	-0.33318642	Yes	
row_114	KNG1	na	15658	-0.15653657913208008	-0.32428467	Yes	
row_115	P2RY1	na	15788	-0.16218090057373047	-0.32176927	Yes	
row_116	SLC8A1	na	15863	-0.1647651046514511	-0.31598812	Yes	
row_117	FGG	na	15990	-0.1691385805606842	-0.31288233	Yes	
row_118	ALOX12	na	16042	-0.17102010548114777	-0.3054226	Yes	
row_119	DOCK5	na	16084	-0.17326027154922485	-0.297262	Yes	
row_120	FGA	na	16090	-0.17346228659152985	-0.28705394	Yes	
row_121	BMP6	na	16130	-0.17518550157546997	-0.27866384	Yes	
row_122	DOCK4	na	16232	-0.18120624125003815	-0.27341482	Yes	
row_123	NOS3	na	16264	-0.18303431570529938	-0.26409775	Yes	
row_124	SCPEP1	na	16298	-0.18438184261322021	-0.25481227	Yes	
row_125	BBS2	na	16612	-0.20005951821804047	-0.26040858	Yes	
row_126	EDN2	na	16726	-0.207675039768219	-0.25423717	Yes	
row_127	EPHX2	na	16824	-0.2139517068862915	-0.24678163	Yes	
row_128	HTR2B	na	16833	-0.21444466710090637	-0.2342646	Yes	
row_129	TEK	na	16839	-0.21480606496334076	-0.22155611	Yes	
row_130	ADRB2	na	17032	-0.22831422090530396	-0.21860279	Yes	
row_131	DRD1	na	17069	-0.23084740340709686	-0.20667675	Yes	
row_132	CDH5	na	17155	-0.23807814717292786	-0.19708364	Yes	
row_133	HRH2	na	17171	-0.2390502691268921	-0.18347424	Yes	
row_134	UTS2B	na	17263	-0.24810682237148285	-0.17361382	Yes	
row_135	CASR	na	17379	-0.2619427442550659	-0.16427347	Yes	
row_136	EDN1	na	17508	-0.2769501507282257	-0.15476045	Yes	
row_137	AVPR1A	na	17543	-0.28251487016677856	-0.13959655	Yes	
row_138	DBH	na	17550	-0.28317323327064514	-0.12280984	Yes	
row_139	CXCR2	na	17655	-0.30667322874069214	-0.110142365	Yes	
row_140	ADRA1A	na	17668	-0.30970415472984314	-0.092090316	Yes	
row_141	ARHGAP42	na	17673	-0.3119593560695648	-0.07344959	Yes	
row_142	PDE2A	na	17677	-0.31294816732406616	-0.05469253	Yes	
row_143	EDNRB	na	17678	-0.31333276629447937	-0.035742603	Yes	
row_144	ACE2	na	17688	-0.31530386209487915	-0.017182285	Yes	
row_145	ADRA1B	na	17822	-0.4187159836292267	6.218526E-4	Yes	
