NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	99	0.72291857	3.308044	0.0	0.0	0.0	3930	tags=80%, list=22%, signal=102%	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	119	0.68863577	3.246545	0.0	0.0	0.0	3930	tags=75%, list=22%, signal=95%	
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	112	0.69000745	3.2012403	0.0	0.0	0.0	3930	tags=72%, list=22%, signal=92%	
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	137	0.60539824	2.9005399	0.0	0.0	0.0	3930	tags=64%, list=22%, signal=82%	
GO_RIBOSOME_BIOGENESIS	GO_RIBOSOME_BIOGENESIS	Details ...	287	0.5089247	2.710395	0.0	0.0	0.0	4601	tags=54%, list=26%, signal=72%	
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	Details ...	147	0.55847824	2.7021224	0.0	0.0	0.0	1721	tags=35%, list=10%, signal=39%	
GO_RRNA_METABOLIC_PROCESS	GO_RRNA_METABOLIC_PROCESS	Details ...	217	0.52979714	2.6976287	0.0	0.0	0.0	4601	tags=58%, list=26%, signal=77%	
GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	Details ...	413	0.49023834	2.6918805	0.0	0.0	0.0	4601	tags=51%, list=26%, signal=67%	
GO_SISTER_CHROMATID_SEGREGATION	GO_SISTER_CHROMATID_SEGREGATION	Details ...	180	0.5321232	2.6699612	0.0	0.0	0.0	1721	tags=33%, list=10%, signal=37%	
GO_TRANSLATIONAL_INITIATION	GO_TRANSLATIONAL_INITIATION	Details ...	185	0.52593964	2.6466198	0.0	0.0	0.0	4214	tags=57%, list=24%, signal=74%	
GO_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_REGULATION_OF_CHROMOSOME_SEGREGATION	Details ...	94	0.5825198	2.6293352	0.0	0.0	0.0	1682	tags=36%, list=9%, signal=40%	
GO_VIRAL_GENE_EXPRESSION	GO_VIRAL_GENE_EXPRESSION	Details ...	193	0.528961	2.6167455	0.0	0.0	0.0	4214	tags=58%, list=24%, signal=75%	
GO_RIBOSOME_ASSEMBLY	GO_RIBOSOME_ASSEMBLY	Details ...	60	0.64213234	2.6139421	0.0	0.0	0.0	3869	tags=63%, list=22%, signal=81%	
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	Details ...	202	0.49942926	2.5321057	0.0	0.0	0.0	3973	tags=56%, list=22%, signal=71%	
GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	Details ...	76	0.5880795	2.5305636	0.0	0.0	0.0	1682	tags=37%, list=9%, signal=41%	
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	Details ...	67	0.6044301	2.529565	0.0	0.0	0.0	5034	tags=73%, list=28%, signal=102%	
GO_PROTEIN_TARGETING_TO_MEMBRANE	GO_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	185	0.49931908	2.4954598	0.0	0.0	0.0	3967	tags=51%, list=22%, signal=65%	
GO_REGULATION_OF_CHROMOSOME_SEPARATION	GO_REGULATION_OF_CHROMOSOME_SEPARATION	Details ...	58	0.59757423	2.4945178	0.0	0.0	0.0	1575	tags=40%, list=9%, signal=43%	
GO_NUCLEAR_CHROMOSOME_SEGREGATION	GO_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	237	0.48089966	2.4872577	0.0	0.0	0.0	1721	tags=29%, list=10%, signal=31%	
GO_CELL_CYCLE_DNA_REPLICATION	GO_CELL_CYCLE_DNA_REPLICATION	Details ...	63	0.5992605	2.4829383	0.0	0.0	0.0	3394	tags=54%, list=19%, signal=66%	
GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION		188	0.4948038	2.4818153	0.0	0.0	0.0	4223	tags=49%, list=24%, signal=63%	
GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE		54	0.6133507	2.4800513	0.0	0.0	0.0	1575	tags=41%, list=9%, signal=45%	
GO_MITOTIC_NUCLEAR_DIVISION	GO_MITOTIC_NUCLEAR_DIVISION		250	0.47588682	2.4754815	0.0	0.0	0.0	3426	tags=40%, list=19%, signal=48%	
GO_CHROMOSOME_SEGREGATION	GO_CHROMOSOME_SEGREGATION		296	0.47061798	2.474552	0.0	0.0	0.0	1721	tags=28%, list=10%, signal=31%	
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_NEGATIVE_REGULATION_OF_CHROMOSOME_SEGREGATION		41	0.64476556	2.4643474	0.0	0.0	0.0	1682	tags=44%, list=9%, signal=48%	
GO_CHROMOSOME_SEPARATION	GO_CHROMOSOME_SEPARATION		81	0.55428195	2.461295	0.0	0.0	0.0	1721	tags=36%, list=10%, signal=39%	
GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GO_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS		67	0.57808745	2.4509237	0.0	0.0	0.0	3976	tags=63%, list=22%, signal=80%	
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS		131	0.51116467	2.429468	0.0	0.0	0.0	1826	tags=31%, list=10%, signal=35%	
GO_DNA_CONFORMATION_CHANGE	GO_DNA_CONFORMATION_CHANGE		260	0.46381673	2.42006	0.0	0.0	0.0	3616	tags=38%, list=20%, signal=48%	
GO_DNA_PACKAGING	GO_DNA_PACKAGING		151	0.49711835	2.409856	0.0	2.2998729E-5	0.001	3616	tags=41%, list=20%, signal=51%	
GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION		48	0.6085641	2.4033992	0.0	2.2256834E-5	0.001	1608	tags=33%, list=9%, signal=37%	
GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY		28	0.6777763	2.370915	0.0	2.1561307E-5	0.001	3869	tags=71%, list=22%, signal=91%	
GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE		35	0.6480193	2.3685534	0.0	2.0907935E-5	0.001	1412	tags=43%, list=8%, signal=46%	
GO_MITOTIC_SPINDLE_ORGANIZATION	GO_MITOTIC_SPINDLE_ORGANIZATION		105	0.5147416	2.3640344	0.0	2.0292995E-5	0.001	1826	tags=31%, list=10%, signal=35%	
GO_MEIOTIC_CELL_CYCLE_PROCESS	GO_MEIOTIC_CELL_CYCLE_PROCESS		146	0.48753628	2.3521771	0.0	1.9713196E-5	0.001	1957	tags=31%, list=11%, signal=34%	
GO_NCRNA_PROCESSING	GO_NCRNA_PROCESSING		362	0.43149593	2.3318977	0.0	3.7294616E-5	0.002	4601	tags=48%, list=26%, signal=63%	
GO_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION	GO_NEGATIVE_REGULATION_OF_NUCLEAR_DIVISION		52	0.57484996	2.3311036	0.0	3.6286652E-5	0.002	1682	tags=38%, list=9%, signal=42%	
GO_DNA_REPLICATION_INITIATION	GO_DNA_REPLICATION_INITIATION		36	0.6213602	2.3301284	0.0	3.533174E-5	0.002	3452	tags=58%, list=19%, signal=72%	
GO_SPINDLE_ORGANIZATION	GO_SPINDLE_ORGANIZATION		164	0.46993968	2.3282728	0.0	5.1917104E-5	0.003	1849	tags=30%, list=10%, signal=33%	
GO_CHROMATIN_ASSEMBLY	GO_CHROMATIN_ASSEMBLY		115	0.4965193	2.3178592	0.0	5.0619175E-5	0.003	3616	tags=41%, list=20%, signal=51%	
GO_SPLICEOSOMAL_SNRNP_ASSEMBLY	GO_SPLICEOSOMAL_SNRNP_ASSEMBLY		38	0.6096182	2.30753	0.0	4.938456E-5	0.003	2082	tags=45%, list=12%, signal=51%	
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION		21	0.7054428	2.3059762	0.0	4.8208734E-5	0.003	798	tags=43%, list=4%, signal=45%	
GO_CHROMATIN_REMODELING_AT_CENTROMERE	GO_CHROMATIN_REMODELING_AT_CENTROMERE		41	0.6054826	2.2985866	0.0	4.7087604E-5	0.003	994	tags=34%, list=6%, signal=36%	
GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	GO_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY		18	0.7342917	2.2918751	0.0	4.601743E-5	0.003	3725	tags=83%, list=21%, signal=105%	
GO_ORGANELLE_FISSION	GO_ORGANELLE_FISSION		399	0.41609362	2.2873561	0.0	4.499482E-5	0.003	3452	tags=35%, list=19%, signal=42%	
GO_DNA_DEPENDENT_DNA_REPLICATION	GO_DNA_DEPENDENT_DNA_REPLICATION		143	0.4736977	2.2853832	0.0	4.4016673E-5	0.003	3452	tags=43%, list=19%, signal=52%	
GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	GO_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION		89	0.5143241	2.2816255	0.0	4.308015E-5	0.003	4836	tags=55%, list=27%, signal=75%	
GO_MITOTIC_CELL_CYCLE_CHECKPOINT	GO_MITOTIC_CELL_CYCLE_CHECKPOINT		159	0.46310377	2.2783191	0.0	5.661185E-5	0.004	3208	tags=38%, list=18%, signal=46%	
GO_HISTONE_EXCHANGE	GO_HISTONE_EXCHANGE		48	0.5786125	2.2768764	0.0	5.545651E-5	0.004	1114	tags=31%, list=6%, signal=33%	
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY		140	0.47098282	2.2608178	0.0	6.797348E-5	0.005	3616	tags=39%, list=20%, signal=48%	
GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE	GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE		17	0.73451704	2.251171	0.0	7.994948E-5	0.006	798	tags=47%, list=4%, signal=49%	
GO_CENTROMERE_COMPLEX_ASSEMBLY	GO_CENTROMERE_COMPLEX_ASSEMBLY		49	0.57399493	2.2473671	0.0	7.841199E-5	0.006	994	tags=31%, list=6%, signal=32%	
GO_NUCLEOSOME_ORGANIZATION	GO_NUCLEOSOME_ORGANIZATION		129	0.4664492	2.2424114	0.0	1.0307152E-4	0.008	3630	tags=38%, list=20%, signal=47%	
GO_CYTOPLASMIC_TRANSLATION	GO_CYTOPLASMIC_TRANSLATION		96	0.4943818	2.234188	0.0	1.2700484E-4	0.01	4210	tags=58%, list=24%, signal=76%	
GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION	GO_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION		17	0.72654784	2.2273986	0.0	1.2469567E-4	0.01	3217	tags=65%, list=18%, signal=79%	
GO_REGULATION_OF_NUCLEAR_DIVISION	GO_REGULATION_OF_NUCLEAR_DIVISION		166	0.44774583	2.2148333	0.0	2.2028726E-4	0.018	3426	tags=39%, list=19%, signal=47%	
