NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.055409353	Yes	
row_1	CENPI	na	255	0.33249348402023315	0.10200152	Yes	
row_2	CENPA	na	355	0.31445735692977905	0.14770454	Yes	
row_3	CENPQ	na	358	0.31400585174560547	0.19809198	Yes	
row_4	CENPL	na	627	0.27442800998687744	0.22907116	Yes	
row_5	H4C2	na	648	0.27175650000572205	0.27178305	Yes	
row_6	HJURP	na	664	0.2702963650226593	0.3145054	Yes	
row_7	H4C8	na	944	0.24290598928928375	0.33987704	Yes	
row_8	H4-16	na	1127	0.2294192612171173	0.3678373	Yes	
row_9	CENPF	na	1224	0.22226688265800476	0.3988652	Yes	
row_10	CENPS	na	1323	0.2169283777475357	0.42893666	Yes	
row_11	OIP5	na	1666	0.1983013153076172	0.4440472	Yes	
row_12	CENPO	na	1699	0.19599123299121857	0.47398916	Yes	
row_13	H4C12	na	1727	0.19393114745616913	0.5038451	Yes	
row_14	CENPN	na	2051	0.17827822268009186	0.51666814	Yes	
row_15	MIS18A	na	2883	0.14577941596508026	0.4993531	Yes	
row_16	H4C3	na	2956	0.14253292977809906	0.51873845	Yes	
row_17	CENPE	na	2967	0.14223426580429077	0.5411163	Yes	
row_18	KNL1	na	3376	0.12879028916358948	0.5418142	Yes	
row_19	HELLS	na	3533	0.12408546358346939	0.5541141	Yes	
row_20	CENPW	na	3746	0.11785263568162918	0.5626656	Yes	
row_21	H4C5	na	4296	0.10207638144493103	0.55215365	Yes	
row_22	RUVBL1	na	4302	0.1019342914223671	0.5682973	Yes	
row_23	POGZ	na	4616	0.09343365579843521	0.5679696	Yes	
row_24	CENPV	na	4625	0.09328117221593857	0.5825749	Yes	
row_25	H4C9	na	5593	0.0709116980433464	0.54655313	No	
row_26	MIS18BP1	na	5758	0.06763240694999695	0.54938424	No	
row_27	CENPT	na	6170	0.05934163182973862	0.5387692	No	
row_28	NASP	na	6576	0.05230042710900307	0.5273163	No	
row_29	H3-3A	na	7495	0.03635173663496971	0.488141	No	
row_30	H4C11	na	7613	0.034198909997940063	0.48790166	No	
row_31	CENPK	na	7690	0.032809074968099594	0.48944953	No	
row_32	RSF1	na	7891	0.029383383691310883	0.4843655	No	
row_33	TRAPPC12	na	7940	0.02846905216574669	0.48658875	No	
row_34	ITGB3BP	na	7982	0.0277056023478508	0.48903254	No	
row_35	SENP6	na	9301	0.007071677129715681	0.42553315	No	
row_36	CENPM	na	9339	0.0064712692983448505	0.42475906	No	
row_37	POLE3	na	9844	-8.871716563589871E-4	0.40018493	No	
row_38	RBBP7	na	10290	-0.0068499320186674595	0.3794629	No	
row_39	CENPP	na	10612	-0.011240902356803417	0.36552796	No	
row_40	CENPX	na	11289	-0.020657943561673164	0.33569744	No	
row_41	RBBP4	na	11683	-0.026444852352142334	0.320676	No	
row_42	CENPH	na	11847	-0.028904831036925316	0.31732956	No	
row_43	SMARCA5	na	12525	-0.038420580327510834	0.29030585	No	
row_44	MIS12	na	12936	-0.04408535361289978	0.27728695	No	
row_45	H3-3B	na	13773	-0.056204792112112045	0.24532501	No	
row_46	CENPU	na	14437	-0.06622005254030228	0.22345746	No	
row_47	RNF4	na	16224	-0.09790525585412979	0.1516109	No	
row_48	NPM1	na	16477	-0.10269635915756226	0.15576392	No	
row_49	RB1	na	16950	-0.11273401230573654	0.1507417	No	
row_50	CENPC	na	17537	-0.12695813179016113	0.14241572	No	
