NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.020529665	Yes	
row_1	TSPY26P	na	176	0.3532750606536865	0.04186841	Yes	
row_2	HMGA2	na	193	0.3487032949924469	0.065107696	Yes	
row_3	CDKN2A	na	236	0.3364667296409607	0.08622373	Yes	
row_4	CENPI	na	255	0.33249348402023315	0.10824762	Yes	
row_5	H2BC19P	na	257	0.3321647346019745	0.13108586	Yes	
row_6	CENPA	na	355	0.31445735692977905	0.14797747	Yes	
row_7	CENPQ	na	358	0.31400585174560547	0.16951524	Yes	
row_8	H2BC15	na	568	0.2820338010787964	0.17865849	Yes	
row_9	SMYD3	na	608	0.2770810127258301	0.19583032	Yes	
row_10	CENPL	na	627	0.27442800998687744	0.21385327	Yes	
row_11	H4C2	na	648	0.27175650000572205	0.23159368	Yes	
row_12	HJURP	na	664	0.2702963650226593	0.24947965	Yes	
row_13	H2BC11	na	844	0.2506682276725769	0.2579387	Yes	
row_14	H4C8	na	944	0.24290598928928375	0.2698017	Yes	
row_15	H2BC18	na	1080	0.23262768983840942	0.279184	Yes	
row_16	H2BC8	na	1086	0.23222802579402924	0.29493928	Yes	
row_17	H4-16	na	1127	0.2294192612171173	0.30877778	Yes	
row_18	H2BU1	na	1159	0.2274876981973648	0.3229263	Yes	
row_19	H3C12	na	1163	0.2272760421037674	0.33843884	Yes	
row_20	H3C10	na	1320	0.21737040579319	0.34573594	Yes	
row_21	CENPS	na	1323	0.2169283777475357	0.3605847	Yes	
row_22	H2BC17	na	1431	0.21019110083580017	0.3697996	Yes	
row_23	H2BC5	na	1447	0.20958545804023743	0.38350236	Yes	
row_24	GATAD1	na	1640	0.19957493245601654	0.38780084	Yes	
row_25	OIP5	na	1666	0.1983013153076172	0.40023372	Yes	
row_26	H2BC13	na	1693	0.19621509313583374	0.41247362	Yes	
row_27	CENPO	na	1699	0.19599123299121857	0.42573202	Yes	
row_28	H2BC7	na	1721	0.1944105327129364	0.43809375	Yes	
row_29	H4C12	na	1727	0.19393114745616913	0.4512102	Yes	
row_30	H3C7	na	1843	0.1876291036605835	0.45847663	Yes	
row_31	CENPN	na	2051	0.17827822268009186	0.46056917	Yes	
row_32	H3C8	na	2129	0.17493030428886414	0.4688315	Yes	
row_33	H1-0	na	2188	0.17288117110729218	0.4778881	Yes	
row_34	H2BC21	na	2289	0.1691684126853943	0.48462105	Yes	
row_35	H3C4	na	2487	0.16040559113025665	0.48597446	Yes	
row_36	CDAN1	na	2871	0.14613142609596252	0.4771867	Yes	
row_37	MIS18A	na	2883	0.14577941596508026	0.4866899	Yes	
row_38	H4C3	na	2956	0.14253292977809906	0.49296612	Yes	
