NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.018574324	Yes	
row_1	TSPY26P	na	176	0.3532750606536865	0.038095124	Yes	
row_2	HMGA2	na	193	0.3487032949924469	0.05954267	Yes	
row_3	CDKN2A	na	236	0.3364667296409607	0.07892824	Yes	
row_4	CENPI	na	255	0.33249348402023315	0.099243514	Yes	
row_5	H2BC19P	na	257	0.3321647346019745	0.12037585	Yes	
row_6	CENPA	na	355	0.31445735692977905	0.13564669	Yes	
row_7	CENPQ	na	358	0.31400585174560547	0.15557176	Yes	
row_8	H2BC15	na	568	0.2820338010787964	0.16325395	Yes	
row_9	SMYD3	na	608	0.2770810127258301	0.17900047	Yes	
row_10	CENPL	na	627	0.27442800998687744	0.195613	Yes	
row_11	H4C2	na	648	0.27175650000572205	0.21195659	Yes	
row_12	HJURP	na	664	0.2702963650226593	0.22845355	Yes	
row_13	H2BC11	na	844	0.2506682276725769	0.23561445	Yes	
row_14	H4C8	na	944	0.24290598928928375	0.24622397	Yes	
row_15	H2BC18	na	1080	0.23262768983840942	0.25440344	Yes	
row_16	H2BC8	na	1086	0.23222802579402924	0.26896578	Yes	
row_17	H4-16	na	1127	0.2294192612171173	0.2816237	Yes	
row_18	H2BU1	na	1159	0.2274876981973648	0.29460207	Yes	
row_19	H3C12	na	1163	0.2272760421037674	0.30894724	Yes	
row_20	H3C10	na	1320	0.21737040579319	0.31511858	Yes	
row_21	CENPS	na	1323	0.2169283777475357	0.32885316	Yes	
row_22	H2BC17	na	1431	0.21019110083580017	0.33698216	Yes	
row_23	H2BC5	na	1447	0.20958545804023743	0.34960768	Yes	
row_24	SUV39H2	na	1572	0.20280209183692932	0.35642746	Yes	
row_25	GATAD1	na	1640	0.19957493245601654	0.36585125	Yes	
row_26	OIP5	na	1666	0.1983013153076172	0.37726426	Yes	
row_27	H2BC13	na	1693	0.19621509313583374	0.3884949	Yes	
row_28	CENPO	na	1699	0.19599123299121857	0.4007465	Yes	
row_29	H2BC7	na	1721	0.1944105327129364	0.41210857	Yes	
row_30	H4C12	na	1727	0.19393114745616913	0.42422876	Yes	
row_31	H3C7	na	1843	0.1876291036605835	0.43052465	Yes	
row_32	CENPN	na	2051	0.17827822268009186	0.43168908	Yes	
row_33	H3C8	na	2129	0.17493030428886414	0.4390484	Yes	
row_34	H1-0	na	2188	0.17288117110729218	0.44721365	Yes	
row_35	H2BC21	na	2289	0.1691684126853943	0.45307174	Yes	
row_36	H3C4	na	2487	0.16040559113025665	0.45358944	Yes	
row_37	CDAN1	na	2871	0.14613142609596252	0.444028	Yes	
row_38	MIS18A	na	2883	0.14577941596508026	0.4527819	Yes	
row_39	H4C3	na	2956	0.14253292977809906	0.45832175	Yes	
row_40	KNL1	na	3376	0.12879028916358948	0.44587985	Yes	
row_41	NFE2	na	3438	0.12715063989162445	0.45098105	Yes	
row_42	H2BC9	na	3477	0.1259719431400299	0.45714086	Yes	
row_43	HELLS	na	3533	0.12408546358346939	0.46234238	Yes	
row_44	H1-3	na	3641	0.12092707306146622	0.46477914	Yes	
row_45	H3C13	na	3678	0.11961273849010468	0.47063205	Yes	
row_46	CENPW	na	3746	0.11785263568162918	0.47484455	Yes	
