NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	na	80	0.39811572432518005	0.009620906	Yes	
row_1	H4C14	na	114	0.37940335273742676	0.020934014	Yes	
row_2	DDX12P	na	137	0.3693723678588867	0.032450274	Yes	
row_3	TSPY26P	na	176	0.3532750606536865	0.04262361	Yes	
row_4	HMGA2	na	193	0.3487032949924469	0.05373196	Yes	
row_5	CDKN2A	na	236	0.3364667296409607	0.063133225	Yes	
row_6	MCM8	na	238	0.3359479308128357	0.07455011	Yes	
row_7	RAD54B	na	247	0.3336119055747986	0.08554011	Yes	
row_8	CENPI	na	255	0.33249348402023315	0.09654153	Yes	
row_9	H2BC19P	na	257	0.3321647346019745	0.10782929	Yes	
row_10	MTERF1	na	281	0.3276921510696411	0.11787334	Yes	
row_11	CHTF18	na	306	0.32281744480133057	0.12770142	Yes	
row_12	PIF1	na	348	0.3154682219028473	0.13643555	Yes	
row_13	CENPA	na	355	0.31445735692977905	0.14687097	Yes	
row_14	CENPQ	na	358	0.31400585174560547	0.15748934	Yes	
row_15	TOP2A	na	371	0.31120726466178894	0.16751626	Yes	
row_16	H2BC15	na	568	0.2820338010787964	0.16742226	Yes	
row_17	RTEL1	na	585	0.2796116769313812	0.17617239	Yes	
row_18	DSCC1	na	596	0.27870264649391174	0.18518905	Yes	
row_19	SMYD3	na	608	0.2770810127258301	0.19410078	Yes	
row_20	CENPL	na	627	0.27442800998687744	0.2025748	Yes	
row_21	BLM	na	633	0.2736518085002899	0.21166705	Yes	
row_22	H4C2	na	648	0.27175650000572205	0.22024825	Yes	
row_23	HJURP	na	664	0.2702963650226593	0.22873002	Yes	
row_24	MRE11	na	709	0.2650390565395355	0.23559415	Yes	
row_25	RECQL4	na	839	0.2508524954319	0.23775864	Yes	
row_26	H2BC11	na	844	0.2506682276725769	0.24611601	Yes	
row_27	ERCC6L	na	857	0.24961049854755402	0.2540405	Yes	
row_28	H4C8	na	944	0.24290598928928375	0.2580663	Yes	
row_29	NCAPH	na	1003	0.23804998397827148	0.26331493	Yes	
row_30	H2BC18	na	1080	0.23262768983840942	0.26748583	Yes	
row_31	H2BC8	na	1086	0.23222802579402924	0.2751642	Yes	
row_32	H4-16	na	1127	0.2294192612171173	0.28101093	Yes	
row_33	H2BU1	na	1159	0.2274876981973648	0.2872381	Yes	
row_34	H3C12	na	1163	0.2272760421037674	0.29484662	Yes	
row_35	POLQ	na	1254	0.2206420749425888	0.29791412	Yes	
row_36	RFC3	na	1270	0.2198067605495453	0.3046726	Yes	
row_37	H3C10	na	1320	0.21737040579319	0.30966175	Yes	
row_38	CENPS	na	1323	0.2169283777475357	0.3169667	Yes	
row_39	GTF2H4	na	1415	0.21099823713302612	0.31965545	Yes	
row_40	H2BC17	na	1431	0.21019110083580017	0.32608572	Yes	
row_41	H2BC5	na	1447	0.20958545804023743	0.33249533	Yes	
row_42	ZRANB3	na	1623	0.20061010122299194	0.33066368	Yes	
row_43	GATAD1	na	1640	0.19957493245601654	0.33668202	Yes	
row_44	CHD6	na	1653	0.198795348405838	0.3428721	Yes	
row_45	DNA2	na	1658	0.19862501323223114	0.34945315	Yes	
row_46	OIP5	na	1666	0.1983013153076172	0.35587436	Yes	
row_47	H2BC13	na	1693	0.19621509313583374	0.3612821	Yes	
row_48	CENPO	na	1699	0.19599123299121857	0.36772364	Yes	
row_49	H2BC7	na	1721	0.1944105327129364	0.37331775	Yes	
row_50	H4C12	na	1727	0.19393114745616913	0.37968898	Yes	
row_51	H3C7	na	1843	0.1876291036605835	0.38038987	Yes	
row_52	CENPN	na	2051	0.17827822268009186	0.376209	Yes	
row_53	TOP3B	na	2058	0.17810748517513275	0.38199055	Yes	
row_54	RFC4	na	2064	0.1778048723936081	0.38781136	Yes	
row_55	H3C8	na	2129	0.17493030428886414	0.39060804	Yes	
row_56	H1-0	na	2188	0.17288117110729218	0.39363238	Yes	
row_57	H2BC21	na	2289	0.1691684126853943	0.39444706	Yes	
row_58	CHD7	na	2306	0.1681681126356125	0.3993934	Yes	
row_59	HMGB3	na	2331	0.16697891056537628	0.40390247	Yes	
row_60	H3C4	na	2487	0.16040559113025665	0.4016904	Yes	
row_61	CHD5	na	2507	0.15967214107513428	0.40619802	Yes	
row_62	TSSK6	na	2573	0.15688955783843994	0.40832937	Yes	
row_63	CDK1	na	2576	0.15676923096179962	0.41358098	Yes	
row_64	CDCA5	na	2594	0.156263530254364	0.41807142	Yes	
row_65	CDAN1	na	2871	0.14613142609596252	0.40937138	Yes	
row_66	MIS18A	na	2883	0.14577941596508026	0.41380155	Yes	
row_67	RAD54L	na	2908	0.1445581465959549	0.41754535	Yes	
row_68	HHEX	na	2937	0.14318840205669403	0.421044	Yes	
row_69	H4C3	na	2956	0.14253292977809906	0.4250162	Yes	
row_70	DDX11	na	3051	0.13894197344779968	0.42509675	Yes	
row_71	PIWIL1	na	3161	0.1355099231004715	0.4243163	Yes	
row_72	NAV2	na	3202	0.13416844606399536	0.42691195	Yes	
row_73	CHD1L	na	3305	0.1305280476808548	0.42630857	Yes	
row_74	NCAPD2	na	3345	0.12965142726898193	0.42879966	Yes	
row_75	KNL1	na	3376	0.12879028916358948	0.43170768	Yes	
row_76	H2BC9	na	3477	0.1259719431400299	0.431048	Yes	
row_77	HELLS	na	3533	0.12408546358346939	0.43255562	Yes	
row_78	IGHMBP2	na	3538	0.12391184270381927	0.43658656	Yes	
row_79	H1-3	na	3641	0.12092707306146622	0.43565547	Yes	
row_80	SMC4	na	3673	0.11978605389595032	0.43820658	Yes	
row_81	H3C13	na	3678	0.11961273849010468	0.4420908	Yes	
row_82	CENPW	na	3746	0.11785263568162918	0.44279057	Yes	
row_83	MCM7	na	3855	0.11460232734680176	0.44134605	Yes	
row_84	CDC45	na	3960	0.11124219000339508	0.43998525	Yes	
row_85	NCAPG2	na	3963	0.11115945130586624	0.4436801	Yes	
row_86	HFM1	na	4052	0.10869987308979034	0.443026	Yes	
row_87	H4C5	na	4296	0.10207638144493103	0.43445888	Yes	
row_88	RUVBL1	na	4302	0.1019342914223671	0.4376901	Yes	
row_89	H1-4	na	4412	0.0988067016005516	0.43565688	Yes	
row_90	RECQL5	na	4424	0.0985182374715805	0.43847394	Yes	
row_91	MACROH2A2	na	4520	0.09630578011274338	0.43704966	Yes	
row_92	H2AX	na	4555	0.09511061012744904	0.43860978	Yes	
row_93	SMC2	na	4618	0.09337688982486725	0.4387221	Yes	
row_94	CENPV	na	4625	0.09328117221593857	0.4416084	Yes	
row_95	MCM3	na	4658	0.09242475777864456	0.44317603	Yes	
row_96	MCM2	na	4676	0.09186442941427231	0.44546843	Yes	
row_97	M1AP	na	4719	0.09077270328998566	0.44648373	Yes	
row_98	NOC2L	na	4725	0.09064467996358871	0.4493296	Yes	
row_99	H2BC14	na	4834	0.08834338933229446	0.44698885	Yes	
row_100	NCAPG	na	4843	0.0882033258676529	0.44960263	Yes	
row_101	SHPRH	na	4902	0.08702167868614197	0.44969642	Yes	
row_102	TOP1	na	4922	0.08640922605991364	0.45170346	Yes	
row_103	H1-5	na	4951	0.08558809757232666	0.4532361	Yes	
row_104	RAD51	na	5015	0.08415299654006958	0.452984	Yes	
row_105	H2BC4	na	5044	0.08345392346382141	0.4544438	Yes	
row_106	GTF2F2	na	5157	0.08089037239551544	0.4516503	No	
row_107	TENT4A	na	5346	0.07639333605766296	0.4449342	No	
row_108	NUSAP1	na	5524	0.07274923473596573	0.43863922	No	
row_109	PHF13	na	5584	0.07102878391742706	0.43813753	No	
row_110	H4C9	na	5593	0.0709116980433464	0.44016114	No	
row_111	CETN2	na	5631	0.0702357366681099	0.44072345	No	
row_112	TTN	na	5724	0.06822558492422104	0.43848953	No	
row_113	ASF1B	na	5735	0.06790222972631454	0.4403112	No	
row_114	NCAPD3	na	5739	0.06782246381044388	0.44247732	No	
row_115	TOP1MT	na	5756	0.06767604500055313	0.44399372	No	
row_116	MIS18BP1	na	5758	0.06763240694999695	0.44625255	No	
row_117	ERCC2	na	5820	0.06606230139732361	0.44548216	No	
row_118	H1-2	na	5883	0.06497260928153992	0.44462502	No	
row_119	GINS4	na	6005	0.06241828203201294	0.44075465	No	
row_120	IPO4	na	6021	0.06196768209338188	0.44212583	No	
row_121	H2BC12	na	6040	0.06154201179742813	0.4433337	No	
row_122	CENPT	na	6170	0.05934163182973862	0.43896157	No	
row_123	ASH1L	na	6171	0.05930112302303314	0.44098562	No	
row_124	CUL4B	na	6191	0.05882120504975319	0.44205102	No	
row_125	H3C11	na	6300	0.05684103071689606	0.43863502	No	
row_126	HELB	na	6367	0.05564257502555847	0.43726104	No	
row_127	RFC2	na	6492	0.05378211289644241	0.43294713	No	
row_128	TSPYL5	na	6516	0.053408484905958176	0.43362942	No	
row_129	NIPBL	na	6527	0.053200699388980865	0.4349493	No	
row_130	HMGA1	na	6534	0.05308276414871216	0.43646356	No	
row_131	RUVBL2	na	6547	0.052814941853284836	0.4376711	No	
row_132	NASP	na	6576	0.05230042710900307	0.4380676	No	
row_133	NCAPH2	na	6583	0.052145037800073624	0.43954983	No	
row_134	UBN1	na	6605	0.05167344957590103	0.44027206	No	
row_135	H2BC6	na	6720	0.04971735551953316	0.43631536	No	
row_136	HMGB2	na	6915	0.046249084174633026	0.4282728	No	
row_137	RFC5	na	6939	0.04597342386841774	0.42870134	No	
row_138	NAA60	na	6971	0.045360174030065536	0.42871216	No	
row_139	CHD4	na	6983	0.04499245434999466	0.4297023	No	
row_140	MCM4	na	7346	0.039100807160139084	0.4130841	No	
row_141	HMGB1	na	7470	0.03686407953500748	0.40824234	No	
row_142	CHAF1A	na	7480	0.03658691793680191	0.40904477	No	
