NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A7	na	1857	0.1868857592344284	-0.07963447	No	
row_1	XCL1	na	2939	0.1431698054075241	-0.12382597	No	
row_2	CCL26	na	3537	0.12398801743984222	-0.14540207	No	
row_3	DAPK2	na	3563	0.12321805953979492	-0.13887154	No	
row_4	SAA1	na	3674	0.11972758919000626	-0.13674475	No	
row_5	XG	na	4400	0.09906678646802902	-0.16619101	No	
row_6	MOSPD2	na	5393	0.07563431560993195	-0.21025556	No	
row_7	LBP	na	6046	0.06142834946513176	-0.23847933	No	
row_8	S100A14	na	6458	0.05425386503338814	-0.25529242	No	
row_9	MAPK14	na	6726	0.04964667558670044	-0.2653077	No	
row_10	CXCL6	na	7308	0.0397685207426548	-0.29140094	No	
row_11	CXCL5	na	7328	0.03936983644962311	-0.2898564	No	
row_12	CCL24	na	7599	0.03435077890753746	-0.30098277	No	
row_13	CXADR	na	8239	0.02319061942398548	-0.33097512	No	
row_14	PF4	na	8365	0.021451031789183617	-0.33577678	No	
row_15	S100A9	na	8546	0.0179500263184309	-0.34350616	No	
row_16	RAC1	na	9308	0.006922142114490271	-0.38052833	No	
row_17	PLA2G1B	na	9338	0.006471344269812107	-0.38154817	No	
row_18	IL17A	na	9886	-0.0014657865976914763	-0.40838042	No	
row_19	ADAM8	na	10201	-0.005780626554042101	-0.42347214	No	
row_20	MAPK3	na	10462	-0.009389004670083523	-0.43567854	No	
row_21	SLIT2	na	10640	-0.011662391014397144	-0.4436563	No	
row_22	C5AR2	na	10678	-0.012177662923932076	-0.4447105	No	
row_23	CD99L2	na	10749	-0.013301847502589226	-0.44731823	No	
row_24	MDK	na	10853	-0.014725062064826488	-0.45146063	No	
row_25	IL1A	na	10878	-0.015067078173160553	-0.45169294	No	
row_26	TGFB2	na	10949	-0.015875786542892456	-0.45413855	No	
row_27	VAV3	na	11088	-0.017738115042448044	-0.45981395	No	
row_28	AKIRIN1	na	11406	-0.022128025069832802	-0.47402364	No	
row_29	SCG2	na	11451	-0.022959714755415916	-0.47474328	No	
row_30	ITGA9	na	11505	-0.02385716885328293	-0.47584936	No	
row_31	S100A8	na	11867	-0.02921968325972557	-0.49177817	No	
row_32	CCL20	na	12471	-0.03785993903875351	-0.5190745	No	
row_33	PPBP	na	12484	-0.038040678948163986	-0.51726913	No	
row_34	CCL15	na	12546	-0.03870820254087448	-0.5178336	No	
row_35	IL23A	na	12855	-0.042968809604644775	-0.5302876	No	
row_36	GBF1	na	13024	-0.04518067091703415	-0.53571117	No	
row_37	CX3CL1	na	13042	-0.04541430622339249	-0.5336874	No	
row_38	LGALS3	na	13287	-0.04906294867396355	-0.54260737	No	
row_39	KARS1	na	13301	-0.049286141991615295	-0.5401429	No	
row_40	IL17RC	na	13559	-0.053058624267578125	-0.54945105	No	
row_41	TRPV4	na	13598	-0.053688861429691315	-0.5479398	No	
row_42	TIRAP	na	13765	-0.05611534044146538	-0.5525762	No	
row_43	CCL14	na	14012	-0.06013252213597298	-0.5608973	No	
row_44	S100A12	na	14028	-0.060331571847200394	-0.5578356	No	
row_45	THBS4	na	14048	-0.06064912676811218	-0.5549507	No	
row_46	CXCL17	na	14491	-0.06690856069326401	-0.5724926	No	
row_47	CCL3L1	na	14813	-0.0725230947136879	-0.583725	No	
row_48	EDN3	na	15020	-0.07599572092294693	-0.589078	No	
row_49	EDN1	na	15188	-0.07871752232313156	-0.59234	No	
row_50	WDR1	na	15274	-0.08010093122720718	-0.5914786	No	
row_51	PIP5K1C	na	15646	-0.08698226511478424	-0.60426134	Yes	
row_52	MPP1	na	15657	-0.08714224398136139	-0.59926474	Yes	
row_53	CAMK1D	na	15860	-0.09080226719379425	-0.6034883	Yes	
row_54	CCL25	na	15889	-0.09131135791540146	-0.59911513	Yes	
row_55	JAGN1	na	15898	-0.09170527756214142	-0.5937327	Yes	
row_56	JAM3	na	15906	-0.0918177142739296	-0.58829397	Yes	
row_57	IL17RA	na	15970	-0.09307970106601715	-0.5855322	Yes	
row_58	CD99	na	15987	-0.09334982931613922	-0.58044	Yes	
row_59	CD177	na	16120	-0.09589231014251709	-0.5808974	Yes	
row_60	THBS1	na	16143	-0.09641282260417938	-0.5759075	Yes	
row_61	BST1	na	16238	-0.0980844646692276	-0.57435644	Yes	
row_62	ITGA1	na	16375	-0.10058195143938065	-0.5747153	Yes	
row_63	CXCL11	na	16478	-0.10270784795284271	-0.57326674	Yes	
row_64	CKLF	na	16644	-0.10627657175064087	-0.57469445	Yes	
row_65	RHOG	na	16727	-0.10797182470560074	-0.5719299	Yes	
row_66	MCOLN2	na	17042	-0.11511973291635513	-0.58013463	Yes	
row_67	CXCR1	na	17077	-0.11602020263671875	-0.5745005	Yes	
row_68	CSF3R	na	17084	-0.11615435034036636	-0.56747967	Yes	
row_69	CCL7	na	17204	-0.11851390451192856	-0.5658723	Yes	
row_70	CXCR2	na	17346	-0.12205500900745392	-0.5651248	Yes	
row_71	CXCL8	na	17497	-0.12588953971862793	-0.5645788	Yes	
row_72	IL1R1	na	17807	-0.1336200088262558	-0.57137215	Yes	
row_73	PIK3CD	na	17825	-0.1340973973274231	-0.5637626	Yes	
row_74	RIPOR2	na	17843	-0.1344238966703415	-0.5561325	Yes	
row_75	CCL2	na	17937	-0.13700351119041443	-0.55208075	Yes	
row_76	C1QBP	na	17944	-0.1370941400527954	-0.543741	Yes	
row_77	ADGRE2	na	18067	-0.14091509580612183	-0.5408703	Yes	
row_78	VAV1	na	18081	-0.14153026044368744	-0.5325957	Yes	
row_79	CCL19	na	18105	-0.1424190253019333	-0.52475727	Yes	
row_80	CSF1	na	18189	-0.14530442655086517	-0.5196905	Yes	
row_81	EDN2	na	18343	-0.15064863860607147	-0.5177326	Yes	
row_82	CXCL2	na	18354	-0.15102067589759827	-0.5087126	Yes	
row_83	RARRES2	na	18356	-0.15105988085269928	-0.49924704	Yes	
row_84	CCL17	na	18428	-0.15366485714912415	-0.49306297	Yes	
row_85	PREX1	na	18435	-0.1539386510848999	-0.48366222	Yes	
row_86	IL1B	na	18436	-0.15394043922424316	-0.47396603	Yes	
row_87	PECAM1	na	18439	-0.15410929918289185	-0.46435764	Yes	
row_88	CCL23	na	18506	-0.15693266689777374	-0.45772165	Yes	
row_89	CCL21	na	18549	-0.15830427408218384	-0.44981793	Yes	
row_90	SYK	na	18753	-0.16581445932388306	-0.44936594	Yes	
row_91	HRH1	na	18915	-0.1716693937778473	-0.44647783	Yes	
row_92	IL1RN	na	18937	-0.17226357758045197	-0.43666118	Yes	
row_93	CD74	na	18972	-0.17448127269744873	-0.42734474	Yes	
row_94	CCL22	na	19032	-0.17686958611011505	-0.41910845	Yes	
row_95	DYSF	na	19069	-0.1791812926530838	-0.40959442	Yes	
row_96	CCL11	na	19151	-0.18341891467571259	-0.40202847	Yes	
row_97	CCR7	na	19185	-0.1848457008600235	-0.39200997	Yes	
row_98	CXCL9	na	19267	-0.19023308157920837	-0.38401484	Yes	
row_99	ANXA1	na	19276	-0.19127774238586426	-0.37236065	Yes	
row_100	CXCL10	na	19430	-0.20149143040180206	-0.36720037	Yes	
row_101	CCL8	na	19507	-0.2064635455608368	-0.35793683	Yes	
row_102	PTGER4	na	19531	-0.20932570099830627	-0.3458842	Yes	
row_103	CXCL3	na	19649	-0.21898411214351654	-0.33785012	Yes	
row_104	XCL2	na	19756	-0.22835874557495117	-0.32868412	Yes	
row_105	JAML	na	19770	-0.2295352816581726	-0.31486636	Yes	
row_106	MSTN	na	19806	-0.23280568420886993	-0.30192548	Yes	
row_107	PIK3CG	na	19829	-0.23568150401115417	-0.28816357	Yes	
row_108	CXCL13	na	19902	-0.24322772026062012	-0.27638745	Yes	
row_109	CCL3	na	19959	-0.2501201629638672	-0.26338968	Yes	
row_110	NCKAP1L	na	20021	-0.25600549578666687	-0.2502673	Yes	
row_111	CXCL1	na	20059	-0.2598994970321655	-0.23571831	Yes	
row_112	C5AR1	na	20071	-0.26084965467453003	-0.2198297	Yes	
row_113	CCL18	na	20073	-0.260949045419693	-0.2034426	Yes	
row_114	CCL5	na	20091	-0.2628697454929352	-0.18772209	Yes	
row_115	ITGB2	na	20098	-0.26365187764167786	-0.17141086	Yes	
row_116	SLAMF8	na	20141	-0.2689056098461151	-0.15654072	Yes	
row_117	FCER1G	na	20181	-0.2745096981525421	-0.14116994	Yes	
row_118	CMKLR1	na	20201	-0.27849432826042175	-0.12456373	Yes	
row_119	RAC2	na	20210	-0.28019267320632935	-0.107309096	Yes	
row_120	CCL13	na	20219	-0.2816959321498871	-0.089959785	Yes	
row_121	CD300A	na	20279	-0.29258155822753906	-0.07443515	Yes	
row_122	PDE4B	na	20295	-0.2965385317802429	-0.05649551	Yes	
row_123	C3AR1	na	20344	-0.30786803364753723	-0.03946659	Yes	
row_124	CCL4	na	20402	-0.3451630175113678	-0.020531585	Yes	
row_125	PDE4D	na	20411	-0.35566484928131104	0.0014767868	Yes	
