NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC39A10	na	1143	0.22847628593444824	-0.05287339	No	
row_1	LIME1	na	1812	0.18955320119857788	-0.08270359	No	
row_2	PLCG1	na	1914	0.18376296758651733	-0.084250405	No	
row_3	MUC20	na	2601	0.15613092482089996	-0.115620576	No	
row_4	CARD9	na	2700	0.15204954147338867	-0.11762308	No	
row_5	FYB2	na	2719	0.15146395564079285	-0.115630575	No	
row_6	PLA2G6	na	2768	0.14962227642536163	-0.115175575	No	
row_7	CARD11	na	2884	0.14574213325977325	-0.118149914	No	
row_8	SRC	na	2962	0.14241477847099304	-0.119284876	No	
row_9	IGHG4	na	3085	0.13803718984127045	-0.12275697	No	
row_10	GPLD1	na	3171	0.1351127177476883	-0.12443207	No	
row_11	SH2B2	na	3186	0.1346423476934433	-0.12256065	No	
row_12	FFAR2	na	3375	0.12879954278469086	-0.12951437	No	
row_13	PVRIG	na	3607	0.12165567278862	-0.13875791	No	
row_14	PSMA7	na	3613	0.12152399122714996	-0.13668643	No	
row_15	WIPF2	na	3614	0.12147682905197144	-0.13436545	No	
row_16	MUC12	na	3694	0.11928960680961609	-0.13604242	No	
row_17	MUC13	na	3825	0.11547186970710754	-0.14034627	No	
row_18	PSMD4	na	3914	0.11252052336931229	-0.14260325	No	
row_19	ELMO2	na	4054	0.1086406484246254	-0.14748833	No	
row_20	CACNA1F	na	4163	0.10542367398738861	-0.15088245	No	
row_21	BTNL3	na	4192	0.10461767017841339	-0.15028578	No	
row_22	PSMD3	na	4267	0.10274414718151093	-0.15202847	No	
row_23	WIPF3	na	4315	0.10159198194742203	-0.15244107	No	
row_24	IGHV7-81	na	4317	0.10153183341026306	-0.15055126	No	
row_25	VAV2	na	4414	0.09878738224506378	-0.15347125	No	
row_26	GPS2	na	4650	0.09261637926101685	-0.16346994	No	
row_27	HLA-G	na	4950	0.08560505509376526	-0.17680755	No	
row_28	MUC4	na	4967	0.08528828620910645	-0.17597926	No	
row_29	HRAS	na	5168	0.08065284043550491	-0.1844538	No	
row_30	NFATC2	na	5322	0.07682717591524124	-0.1906478	No	
row_31	VTCN1	na	5493	0.07344026863574982	-0.19775783	No	
row_32	IGHE	na	5518	0.07287733256816864	-0.19756728	No	
row_33	BAG6	na	5545	0.07217130810022354	-0.19749038	No	
row_34	PSMD11	na	5731	0.06805074959993362	-0.20545454	No	
row_35	PSMB3	na	5821	0.06606072932481766	-0.20864928	No	
row_36	EIF2B4	na	5948	0.06352553516626358	-0.21374531	No	
row_37	RBCK1	na	6003	0.0624866783618927	-0.21525562	No	
row_38	BAIAP2	na	6066	0.06112557649612427	-0.21719255	No	
