NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD5	na	265	0.3305155634880066	-0.0038727964	No	
row_1	CHRNB2	na	817	0.25351449847221375	-0.024079408	No	
row_2	FOXJ1	na	925	0.24450720846652985	-0.022531003	No	
row_3	SLC39A10	na	1143	0.22847628593444824	-0.026884137	No	
row_4	ARG2	na	1266	0.22005942463874817	-0.026764344	No	
row_5	IL20RB	na	1579	0.20261549949645996	-0.03655099	No	
row_6	ERBB2	na	2137	0.17466287314891815	-0.059264716	No	
row_7	WNT4	na	2405	0.16365401446819305	-0.06791272	No	
row_8	ZNF335	na	2453	0.16168448328971863	-0.06571134	No	
row_9	CARD11	na	2884	0.14574213325977325	-0.082940616	No	
row_10	HHEX	na	2937	0.14318840205669403	-0.08150539	No	
row_11	XCL1	na	2939	0.1431698054075241	-0.07754281	No	
row_12	PLA2G2F	na	2998	0.14143209159374237	-0.0764542	No	
row_13	IHH	na	3139	0.13619065284729004	-0.07957692	No	
row_14	IMPDH1	na	3170	0.13513009250164032	-0.07727706	No	
row_15	ZP3	na	3210	0.13394023478031158	-0.07545664	No	
row_16	SFTPD	na	3434	0.12729190289974213	-0.08294274	No	
row_17	HELLS	na	3533	0.12408546358346939	-0.0843229	No	
row_18	GAL	na	3720	0.11851906031370163	-0.09022088	No	
row_19	MAPK8IP1	na	3773	0.11706867814064026	-0.08951764	No	
row_20	CEBPB	na	4568	0.09490714222192764	-0.12621363	No	
row_21	GPAM	na	4701	0.09108952432870865	-0.13020371	No	
row_22	AGER	na	4873	0.08761214464902878	-0.13622433	No	
row_23	HLA-G	na	4950	0.08560505509376526	-0.13759239	No	
row_24	IRS2	na	5055	0.08298316597938538	-0.1404218	No	
row_25	HES1	na	5152	0.08105035126209259	-0.14290883	No	
row_26	MPL	na	5223	0.07935298979282379	-0.1441547	No	
row_27	MAD1L1	na	5303	0.07737450301647186	-0.14590211	No	
row_28	NFATC2	na	5322	0.07682717591524124	-0.14464132	No	
row_29	VTCN1	na	5493	0.07344026863574982	-0.15100953	No	
row_30	DLG5	na	5832	0.06588392704725266	-0.16591662	No	
row_31	TNFSF11	na	5983	0.06288392841815948	-0.17158933	No	
row_32	GLMN	na	6355	0.055842284113168716	-0.18841352	No	
row_33	FADD	na	6357	0.05580505356192589	-0.18689921	No	
row_34	IGF2	na	6533	0.05309594050049782	-0.19408537	No	
row_35	NCK2	na	6677	0.050413038581609726	-0.1997606	No	
row_36	TNFSF18	na	6698	0.05004069209098816	-0.1993496	No	
row_37	BMP4	na	6713	0.049862805753946304	-0.19864619	No	
row_38	ATM	na	6767	0.04883114993572235	-0.19990477	No	
row_39	HPRT1	na	7031	0.04427332431077957	-0.21169999	No	
row_40	DNAJA3	na	7123	0.04227065667510033	-0.21502595	No	
row_41	SOX11	na	7419	0.03780703246593475	-0.2285885	No	
row_42	HMGB1	na	7470	0.03686407953500748	-0.23003376	No	
row_43	ACE	na	7634	0.033823247998952866	-0.23716521	No	
row_44	HSPD1	na	8175	0.024330466985702515	-0.2632492	No	
row_45	HHLA2	na	8337	0.021804694086313248	-0.27061832	No	
row_46	GSTP1	na	8402	0.020688068121671677	-0.2732108	No	
row_47	DLG1	na	8413	0.020459312945604324	-0.2731331	No	
row_48	LEF1	na	8459	0.019861700013279915	-0.274807	No	
row_49	CD24	na	8653	0.016523078083992004	-0.28391024	No	
row_50	IL12A	na	8696	0.015995129942893982	-0.2855438	No	
row_51	ZBTB7B	na	8735	0.015414325520396233	-0.28699535	No	
row_52	CD46	na	8745	0.015197692438960075	-0.28701556	No	
row_53	LEP	na	8844	0.013629651628434658	-0.2914911	No	
row_54	PAWR	na	8845	0.013615640811622143	-0.29110953	No	
row_55	CCND3	na	9248	0.00784955732524395	-0.31081522	No	
row_56	NCSTN	na	9427	0.005136301275342703	-0.31949407	No	
row_57	GNRH1	na	9452	0.004862836562097073	-0.32054737	No	
row_58	CCDC88B	na	9578	0.0030365095008164644	-0.32665807	No	
row_59	CTPS1	na	9605	0.0025843295734375715	-0.3278744	No	
row_60	RC3H1	na	9752	3.872296365443617E-4	-0.3351002	No	
row_61	TFRC	na	9824	-5.078712711110711E-4	-0.33860517	No	
row_62	MARCHF7	na	9842	-7.607589941471815E-4	-0.3394265	No	
row_63	IL27	na	9965	-0.0026727954391390085	-0.34539866	No	
row_64	IL23R	na	9966	-0.0026728766970336437	-0.34532377	No	
row_65	ENPP3	na	10030	-0.0034371810033917427	-0.34835014	No	
row_66	STAT5B	na	10043	-0.0035929931327700615	-0.34884423	No	
row_67	TAC1	na	10104	-0.004334446974098682	-0.35169673	No	
row_68	CTNNB1	na	10158	-0.00515364296734333	-0.35417932	No	
row_69	FKBP1B	na	10265	-0.00655422592535615	-0.35924968	No	
row_70	MALT1	na	10340	-0.007647477090358734	-0.36270326	No	
row_71	PKN1	na	10479	-0.009564840234816074	-0.3692754	No	
row_72	PRKCD	na	10491	-0.009680219925940037	-0.36954933	No	
row_73	VAV3	na	11088	-0.017738115042448044	-0.39859375	No	
row_74	IL34	na	11159	-0.018733343109488487	-0.40153843	No	
row_75	SOS1	na	11358	-0.02160034514963627	-0.41074723	No	
row_76	CD19	na	11453	-0.02298416569828987	-0.41476235	No	
row_77	SDC4	na	11551	-0.024441160261631012	-0.41888535	No	
row_78	PLA2G2A	na	11597	-0.025217760354280472	-0.42040914	No	
row_79	ICOSLG	na	11736	-0.0272534117102623	-0.42648554	No	
row_80	IL33	na	11822	-0.028582993894815445	-0.4298977	No	
row_81	ELF4	na	11827	-0.028678560629487038	-0.42929226	No	
row_82	CLCF1	na	11852	-0.02899639494717121	-0.4296693	No	
row_83	PRNP	na	12030	-0.03168243169784546	-0.43755466	No	
row_84	SHH	na	12142	-0.033403828740119934	-0.4421204	No	
row_85	NPR3	na	12161	-0.033698149025440216	-0.44206825	No	
row_86	ABL1	na	12293	-0.03553047031164169	-0.44756573	No	
row_87	TBK1	na	12346	-0.03620027378201485	-0.44912872	No	
row_88	FYN	na	12726	-0.04119419306516647	-0.46675995	No	
row_89	IL23A	na	12855	-0.042968809604644775	-0.47190028	No	
row_90	CX3CL1	na	13042	-0.04541430622339249	-0.47984692	No	
row_91	IGFBP2	na	13186	-0.0475417785346508	-0.48560262	No	
row_92	MIF	na	13189	-0.04759855568408966	-0.48436785	No	
row_93	LGALS3	na	13287	-0.04906294867396355	-0.48780087	No	
row_94	RPS3	na	13304	-0.04930724576115608	-0.48721215	No	
row_95	CD151	na	13377	-0.05045085400342941	-0.4893671	No	
