NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSH5	na	20	0.4634953439235687	0.018804105	Yes	
row_1	TDRKH	na	35	0.4351497292518616	0.036694236	Yes	
row_2	NUF2	na	68	0.40294143557548523	0.052319676	Yes	
row_3	CCNE1	na	110	0.38214197754859924	0.066612266	Yes	
row_4	BOLL	na	178	0.35264697670936584	0.07836077	Yes	
row_5	SMC1B	na	219	0.3403354287147522	0.09091754	Yes	
row_6	RAD54B	na	247	0.3336119055747986	0.103829496	Yes	
row_7	MCMDC2	na	297	0.32452571392059326	0.115266494	Yes	
row_8	NEK2	na	327	0.3189433813095093	0.12745325	Yes	
row_9	MAPK15	na	346	0.31566354632377625	0.14004344	Yes	
row_10	TTK	na	363	0.3131227493286133	0.15262394	Yes	
row_11	TOP2A	na	371	0.31120726466178894	0.16556731	Yes	
row_12	AURKA	na	446	0.29844990372657776	0.17465565	Yes	
row_13	SGO2	na	447	0.2983461618423462	0.18739566	Yes	
row_14	P3H4	na	562	0.2827363908290863	0.1938367	Yes	
row_15	C11orf80	na	588	0.279288113117218	0.20452772	Yes	
row_16	EME1	na	642	0.27242711186408997	0.21354237	Yes	
row_17	SHOC1	na	658	0.2706514596939087	0.22435866	Yes	
row_18	MRE11	na	709	0.2650390565395355	0.23320605	Yes	
row_19	ASPM	na	751	0.2601810097694397	0.24229065	Yes	
row_20	SPIRE2	na	775	0.25780174136161804	0.25216296	Yes	
row_21	ESPL1	na	881	0.24767766892910004	0.25755158	Yes	
row_22	SGO1	na	893	0.24671855568885803	0.26754352	Yes	
row_23	STAG3	na	917	0.2450871765613556	0.2768729	Yes	
row_24	XRCC2	na	996	0.23858317732810974	0.28320718	Yes	
row_25	NCAPH	na	1003	0.23804998397827148	0.29307598	Yes	
row_26	BRCA2	na	1041	0.23576687276363373	0.30131567	Yes	
row_27	FIGNL1	na	1091	0.23197230696678162	0.30880043	Yes	
row_28	BUB1	na	1123	0.22967863082885742	0.3170766	Yes	
row_29	PLCB1	na	1171	0.2266402393579483	0.3244325	Yes	
row_30	CDC25B	na	1198	0.22438731789588928	0.33272973	Yes	
row_31	CENPS	na	1323	0.2169283777475357	0.33586654	Yes	
row_32	TEX15	na	1418	0.2108987718820572	0.3402281	Yes	
row_33	CDC25C	na	1484	0.20783421397209167	0.34589162	Yes	
row_34	MYBL1	na	1696	0.19614966213703156	0.34384272	Yes	
row_35	TRIP13	na	1745	0.19323241710662842	0.34972262	Yes	
row_36	PLK1	na	1768	0.19184671342372894	0.35682794	Yes	
row_37	OVOL1	na	1855	0.18699203431606293	0.36056387	Yes	
row_38	CDC20	na	1944	0.18278877437114716	0.36402154	Yes	
row_39	RAD51B	na	2038	0.1788627952337265	0.3670645	Yes	
row_40	SLX4	na	2170	0.17363692820072174	0.36800683	Yes	
row_41	DMC1	na	2385	0.16475456953048706	0.36446908	Yes	
row_42	FBXO43	na	2396	0.16413702070713043	0.37098402	Yes	
row_43	WNT4	na	2405	0.16365401446819305	0.37757713	Yes	
row_44	SLC26A8	na	2409	0.16339300572872162	0.38440615	Yes	
row_45	BUB1B	na	2450	0.16179025173187256	0.38933864	Yes	
row_46	PIWIL4	na	2465	0.1613684445619583	0.39553773	Yes	
row_47	EME2	na	2485	0.16060782968997955	0.4014573	Yes	
row_48	MNS1	na	2554	0.1577940732240677	0.40483576	Yes	
row_49	MASTL	na	2681	0.15305611491203308	0.4051463	Yes	
row_50	KIF18A	na	2686	0.152756467461586	0.4114717	Yes	
