NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCB1	na	1171	0.2266402393579483	-0.047955375	No	
row_1	MST1L	na	1423	0.21073397994041443	-0.05117557	No	
row_2	S100A7	na	1857	0.1868857592344284	-0.064420685	No	
row_3	XCL1	na	2939	0.1431698054075241	-0.11156568	No	
row_4	SFTPD	na	3434	0.12729190289974213	-0.13041708	No	
row_5	MST1	na	3511	0.1246761754155159	-0.12874241	No	
row_6	CCL26	na	3537	0.12398801743984222	-0.12457942	No	
row_7	DAPK2	na	3563	0.12321805953979492	-0.12044995	No	
row_8	SAA1	na	3674	0.11972758919000626	-0.12066955	No	
row_9	CYP19A1	na	4312	0.10167282074689865	-0.14769723	No	
row_10	XG	na	4400	0.09906678646802902	-0.14768054	No	
row_11	SIRPA	na	4702	0.0910530611872673	-0.15857956	No	
row_12	AGER	na	4873	0.08761214464902878	-0.16315986	No	
row_13	CHGA	na	5062	0.08288919180631638	-0.16883458	No	
row_14	MOSPD2	na	5393	0.07563431560993195	-0.18183675	No	
row_15	TNFSF11	na	5983	0.06288392841815948	-0.20818286	No	
row_16	LBP	na	6046	0.06142834946513176	-0.20857018	No	
row_17	S100A14	na	6458	0.05425386503338814	-0.2265027	No	
row_18	MAPK14	na	6726	0.04964667558670044	-0.23752537	No	
row_19	P2RX4	na	6919	0.04620543494820595	-0.2449945	No	
row_20	C5	na	7136	0.042124588042497635	-0.25382635	No	
row_21	CXCL6	na	7308	0.0397685207426548	-0.2605388	No	
row_22	CXCL5	na	7328	0.03936983644962311	-0.25976312	No	
row_23	PGF	na	7396	0.03830615058541298	-0.2614039	No	
row_24	CD9	na	7449	0.037185389548540115	-0.2623528	No	
row_25	HMGB1	na	7470	0.03686407953500748	-0.2617356	No	
row_26	CCL24	na	7599	0.03435077890753746	-0.26656058	No	
row_27	CXADR	na	8239	0.02319061942398548	-0.2971035	No	
row_28	PF4	na	8365	0.021451031789183617	-0.30234194	No	
row_29	CCN3	na	8391	0.020842382684350014	-0.30266905	No	
row_30	NUP85	na	8520	0.018506821244955063	-0.3081838	No	
row_31	S100A9	na	8546	0.0179500263184309	-0.30863684	No	
row_32	VEGFA	na	8626	0.016807951033115387	-0.311806	No	
row_33	RAC1	na	9308	0.006922142114490271	-0.34513098	No	
row_34	PLA2G1B	na	9338	0.006471344269812107	-0.34628123	No	
row_35	TAFA4	na	9690	0.0013517788611352444	-0.363554	No	
row_36	VEGFB	na	9875	-0.0013146894052624702	-0.3725823	No	
row_37	IL17A	na	9886	-0.0014657865976914763	-0.37301227	No	
row_38	STAT5B	na	10043	-0.0035929931327700615	-0.3805588	No	
row_39	ARHGEF5	na	10044	-0.0035989955067634583	-0.38040212	No	
row_40	ADAM8	na	10201	-0.005780626554042101	-0.3878534	No	
row_41	MAPK3	na	10462	-0.009389004670083523	-0.40028295	No	
