NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	na	66	0.4048425853252411	0.0116049675	Yes	
row_1	NUF2	na	68	0.40294143557548523	0.026357915	Yes	
row_2	CCNE1	na	110	0.38214197754859924	0.03836658	Yes	
row_3	DDX12P	na	137	0.3693723678588867	0.050648708	Yes	
row_4	SMC1B	na	219	0.3403354287147522	0.059141368	Yes	
row_5	KIF14	na	245	0.33403196930885315	0.07017474	Yes	
row_6	KIF18B	na	272	0.329205721616745	0.08098131	Yes	
row_7	MCMDC2	na	297	0.32452571392059326	0.09171496	Yes	
row_8	NEK2	na	327	0.3189433813095093	0.10199602	Yes	
row_9	MAPK15	na	346	0.31566354632377625	0.11270115	Yes	
row_10	DSN1	na	354	0.31447234749794006	0.12390707	Yes	
row_11	CENPQ	na	358	0.31400585174560547	0.13529387	Yes	
row_12	TTK	na	363	0.3131227493286133	0.14659873	Yes	
row_13	TOP2A	na	371	0.31120726466178894	0.1576847	Yes	
row_14	KIFC1	na	375	0.31069299578666687	0.1689498	Yes	
row_15	SGO2	na	447	0.2983461618423462	0.17639498	Yes	
row_16	CDC6	na	481	0.29372766613960266	0.1855517	Yes	
row_17	P3H4	na	562	0.2827363908290863	0.1919779	Yes	
row_18	DSCC1	na	596	0.27870264649391174	0.20058267	Yes	
row_19	STAG3L2	na	635	0.27346310019493103	0.20874742	Yes	
row_20	EME1	na	642	0.27242711186408997	0.21845827	Yes	
row_21	SHOC1	na	658	0.2706514596939087	0.22765835	Yes	
row_22	MRE11	na	709	0.2650390565395355	0.23491956	Yes	
row_23	MSTO1	na	719	0.26394936442375183	0.24417046	Yes	
row_24	RMI2	na	726	0.26349076628685	0.25355303	Yes	
row_25	SPAG5	na	780	0.2574175298213959	0.26038575	Yes	
row_26	PSRC1	na	869	0.24844083189964294	0.26515603	Yes	
row_27	ESPL1	na	881	0.24767766892910004	0.27371016	Yes	
row_28	KIF4A	na	887	0.24718709290027618	0.2825433	Yes	
row_29	SGO1	na	893	0.24671855568885803	0.29135925	Yes	
row_30	STAG3	na	917	0.2450871765613556	0.29922414	Yes	
row_31	FAM83D	na	953	0.24229292571544647	0.30639234	Yes	
row_32	NCAPH	na	1003	0.23804998397827148	0.3127116	Yes	
row_33	NDC80	na	1005	0.2379596084356308	0.32140377	Yes	
row_34	BUB1	na	1123	0.22967863082885742	0.32404917	Yes	
row_35	CENPF	na	1224	0.22226688265800476	0.32726386	Yes	
row_36	CENPS	na	1323	0.2169283777475357	0.33038145	Yes	
row_37	KIF23	na	1344	0.21574385464191437	0.33731693	Yes	
row_38	KIF2C	na	1384	0.2133660763502121	0.34322444	Yes	
row_39	TEX15	na	1418	0.2108987718820572	0.34933835	Yes	
row_40	TRIP13	na	1745	0.19323241710662842	0.34029832	Yes	
row_41	PLK1	na	1768	0.19184671342372894	0.3462569	Yes	
row_42	AURKB	na	1898	0.18491584062576294	0.34666383	Yes	
row_43	CDC20	na	1944	0.18278877437114716	0.35115105	Yes	
row_44	HASPIN	na	2046	0.17847992479801178	0.35270768	Yes	
row_45	CDCA8	na	2083	0.17672650516033173	0.35741773	Yes	
row_46	DLGAP5	na	2124	0.17513521015644073	0.36187127	Yes	
row_47	NSMCE2	na	2160	0.1738814413547516	0.36652634	Yes	
row_48	SLX4	na	2170	0.17363692820072174	0.3724595	Yes	
row_49	AXIN2	na	2199	0.17243869602680206	0.37740806	Yes	
row_50	INCENP	na	2310	0.16808860003948212	0.37813744	Yes	
row_51	DMC1	na	2385	0.16475456953048706	0.38052648	Yes	
row_52	RACGAP1	na	2421	0.16257107257843018	0.384766	Yes	
row_53	BUB1B	na	2450	0.16179025173187256	0.3893234	Yes	
row_54	EME2	na	2485	0.16060782968997955	0.39354032	Yes	
row_55	CDCA5	na	2594	0.156263530254364	0.39393428	Yes	
row_56	KIF18A	na	2686	0.152756467461586	0.395041	Yes	
row_57	TACC3	na	2725	0.15119843184947968	0.39871424	Yes	
row_58	KIF22	na	2832	0.14737094938755035	0.39888054	Yes	
row_59	FANCM	na	2945	0.14299502968788147	0.39858904	Yes	
row_60	CENPE	na	2967	0.14223426580429077	0.40277454	Yes	
row_61	DDX11	na	3051	0.13894197344779968	0.40376982	Yes	
row_62	HORMAD1	na	3104	0.1374051570892334	0.40624326	Yes	
row_63	SYCE1L	na	3121	0.1369331330060959	0.41048157	Yes	
row_64	PRC1	na	3177	0.13489502668380737	0.4127143	Yes	
row_65	SPDL1	na	3235	0.13279685378074646	0.41477093	Yes	
row_66	FBXO5	na	3265	0.13183185458183289	0.41817826	Yes	
row_67	ERCC4	na	3267	0.13182583451271057	0.42297152	Yes	
row_68	STAG3L3	na	3332	0.1300491988658905	0.4245807	Yes	
row_69	NCAPD2	na	3345	0.12965142726898193	0.4287495	Yes	
row_70	KNL1	na	3376	0.12879028916358948	0.4319956	Yes	
row_71	MEIOC	na	3468	0.12617966532707214	0.432126	Yes	
row_72	MLH1	na	3484	0.12553471326828003	0.43599504	Yes	
row_73	CDT1	na	3535	0.12400468438863754	0.4380752	Yes	
row_74	TUBG2	na	3544	0.12380629032850266	0.44222733	Yes	
row_75	MAJIN	na	3572	0.1229441687464714	0.44540718	Yes	
row_76	KNSTRN	na	3660	0.12031389027833939	0.4455201	Yes	
row_77	SMC4	na	3673	0.11978605389595032	0.4493265	Yes	
row_78	GEN1	na	3787	0.11671249568462372	0.44801998	Yes	
row_79	ANAPC1	na	3812	0.11575409024953842	0.4510842	Yes	
row_80	SUN1	na	3836	0.11519861221313477	0.45417753	Yes	
row_81	XRCC3	na	3843	0.11488962918519974	0.4581011	Yes	
row_82	CCDC155	na	3895	0.11315642297267914	0.45973325	Yes	
row_83	SPICE1	na	3917	0.1124599426984787	0.46282497	Yes	
row_84	FANCD2	na	3979	0.11063559353351593	0.46386948	Yes	
