NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPP4	na	1327	0.2167743742465973	-0.0577077	No	
row_1	RAG1	na	1478	0.20830899477005005	-0.057556264	No	
row_2	IL1RL2	na	2642	0.1543494313955307	-0.10942604	No	
row_3	CARD11	na	2884	0.14574213325977325	-0.11604375	No	
row_4	XCL1	na	2939	0.1431698054075241	-0.11351346	No	
row_5	RARA	na	2958	0.142489954829216	-0.10922876	No	
row_6	SRC	na	2962	0.14241477847099304	-0.104205504	No	
row_7	IHH	na	3139	0.13619065284729004	-0.1079578	No	
row_8	ZP3	na	3210	0.13394023478031158	-0.106553376	No	
row_9	NKAP	na	3465	0.12621814012527466	-0.11452252	No	
row_10	HSPH1	na	3974	0.1109020859003067	-0.13560034	No	
row_11	GPAM	na	4701	0.09108952432870865	-0.16817103	No	
row_12	SIRPA	na	4702	0.0910530611872673	-0.16486461	No	
row_13	AGER	na	4873	0.08761214464902878	-0.17008443	No	
row_14	HLA-G	na	4950	0.08560505509376526	-0.17073172	No	
row_15	HES1	na	5152	0.08105035126209259	-0.17772181	No	
row_16	VTCN1	na	5493	0.07344026863574982	-0.19185755	No	
row_17	SART1	na	5860	0.06535182148218155	-0.2075719	No	
row_18	TNFSF11	na	5983	0.06288392841815948	-0.21131755	No	
row_19	FADD	na	6357	0.05580505356192589	-0.22772451	No	
row_20	YES1	na	6494	0.05373445153236389	-0.23249426	No	
row_21	IGF2	na	6533	0.05309594050049782	-0.23244412	No	
row_22	NCK2	na	6677	0.050413038581609726	-0.23768044	No	
row_23	DNAJA3	na	7123	0.04227065667510033	-0.25813705	No	
row_24	HMGB1	na	7470	0.03686407953500748	-0.2738975	No	
row_25	NFAT5	na	7626	0.03393976017832756	-0.28032503	No	
row_26	IRAK1	na	7749	0.031870197504758835	-0.2851969	No	
row_27	EFNB3	na	7865	0.029928311705589294	-0.2897933	No	
row_28	NFKBIZ	na	7993	0.02747867815196514	-0.29507175	No	
row_29	HSPD1	na	8175	0.024330466985702515	-0.30313313	No	
row_30	PRKCZ	na	8257	0.022820478305220604	-0.3063074	No	
row_31	SOCS5	na	8297	0.022328166291117668	-0.30742395	No	
row_32	HHLA2	na	8337	0.021804694086313248	-0.3085595	No	
row_33	CD24	na	8653	0.016523078083992004	-0.3235266	No	
row_34	IL12A	na	8696	0.015995129942893982	-0.3250214	No	
row_35	FLOT2	na	8714	0.01565724052488804	-0.32529294	No	
row_36	ZBTB7B	na	8735	0.015414325520396233	-0.3257216	No	
row_37	CD46	na	8745	0.015197692438960075	-0.32561448	No	
row_38	LEP	na	8844	0.013629651628434658	-0.32996264	No	
row_39	RAC1	na	9308	0.006922142114490271	-0.35259244	No	
row_40	PAK2	na	9385	0.005807057023048401	-0.35613742	No	
row_41	PAK1	na	9418	0.00527093606069684	-0.35752743	No	
row_42	CCDC88B	na	9578	0.0030365095008164644	-0.36527485	No	
row_43	TFRC	na	9824	-5.078712711110711E-4	-0.37736413	No	
row_44	IL23R	na	9966	-0.0026728766970336437	-0.3842352	No	
row_45	STAT5B	na	10043	-0.0035929931327700615	-0.3878606	No	
row_46	AP3D1	na	10161	-0.0051720053888857365	-0.39345485	No	
row_47	ADAM8	na	10201	-0.005780626554042101	-0.3951723	No	
row_48	ZMIZ1	na	10227	-0.006016875617206097	-0.39618927	No	
row_49	CBFB	na	10230	-0.0060381582006812096	-0.39606887	No	
row_50	IL4R	na	10299	-0.006919110659509897	-0.39917812	No	
row_51	MALT1	na	10340	-0.007647477090358734	-0.40087718	No	
row_52	PDPK1	na	10484	-0.00959084928035736	-0.40759587	No	
row_53	MDK	na	10853	-0.014725062064826488	-0.4252475	No	
row_54	PTPN11	na	11364	-0.021667996421456337	-0.4496645	No	
row_55	CD160	na	11383	-0.021853268146514893	-0.4497605	No	
row_56	AKT1	na	11580	-0.025036484003067017	-0.45853752	No	
row_57	NOD2	na	11658	-0.026134949177503586	-0.46139377	No	
row_58	ICOSLG	na	11736	-0.0272534117102623	-0.4642094	No	
row_59	SHH	na	12142	-0.033403828740119934	-0.48301125	No	
row_60	MYB	na	12177	-0.03380484879016876	-0.48346394	No	
row_61	EFNB2	na	12201	-0.03407867252826691	-0.4833631	No	
row_62	MAP3K8	na	12378	-0.036714114248752594	-0.4907277	No	
row_63	SOCS1	na	12426	-0.03730682656168938	-0.49169567	No	
row_64	ZBTB16	na	12443	-0.03754958137869835	-0.49112284	No	
