NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAG1	na	1478	0.20830899477005005	-0.060966115	No	
row_1	IL1RL2	na	2642	0.1543494313955307	-0.10948194	No	
row_2	RARA	na	2958	0.142489954829216	-0.1169041	No	
row_3	IHH	na	3139	0.13619065284729004	-0.11803477	No	
row_4	NKAP	na	3465	0.12621814012527466	-0.12687364	No	
row_5	AGER	na	4873	0.08761214464902878	-0.19119777	No	
row_6	HLA-G	na	4950	0.08560505509376526	-0.19007908	No	
row_7	CTNNBIP1	na	5213	0.07965751737356186	-0.19845939	No	
row_8	PCID2	na	5331	0.07663949579000473	-0.1998693	No	
row_9	TRIB1	na	5763	0.06753844767808914	-0.21726182	No	
row_10	SART1	na	5860	0.06535182148218155	-0.2182785	No	
row_11	TNFSF11	na	5983	0.06288392841815948	-0.22071594	No	
row_12	GNAS	na	6098	0.06042594462633133	-0.22289896	No	
row_13	FADD	na	6357	0.05580505356192589	-0.23243695	No	
row_14	PRKCA	na	6931	0.04605608060956001	-0.25804362	No	
row_15	HMGB1	na	7470	0.03686407953500748	-0.28244844	No	
row_16	NFKBIZ	na	7993	0.02747867815196514	-0.30659828	No	
row_17	PRKCZ	na	8257	0.022820478305220604	-0.31825593	No	
row_18	SOCS5	na	8297	0.022328166291117668	-0.3189087	No	
row_19	PF4	na	8365	0.021451031789183617	-0.32099035	No	
row_20	LEF1	na	8459	0.019861700013279915	-0.32444292	No	
row_21	HAX1	na	8567	0.017688706517219543	-0.32870844	No	
row_22	IL12A	na	8696	0.015995129942893982	-0.33410448	No	
row_23	ZBTB7B	na	8735	0.015414325520396233	-0.33510065	No	
row_24	CD46	na	8745	0.015197692438960075	-0.33468077	No	
row_25	CREB1	na	8934	0.012354833073914051	-0.3432388	No	
row_26	ID2	na	9021	0.011091112159192562	-0.3468447	No	
row_27	ACIN1	na	9053	0.010678679682314396	-0.34776506	No	
