NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD5	na	265	0.3305155634880066	0.004595439	No	
row_1	CHRNB2	na	817	0.25351449847221375	-0.008995338	No	
row_2	SLC39A10	na	1143	0.22847628593444824	-0.0127986455	No	
row_3	ZNF335	na	2453	0.16168448328971863	-0.0685988	No	
row_4	CARD11	na	2884	0.14574213325977325	-0.08198548	No	
row_5	XCL1	na	2939	0.1431698054075241	-0.07700278	No	
row_6	ZP3	na	3210	0.13394023478031158	-0.08314412	No	
row_7	GPAM	na	4701	0.09108952432870865	-0.15162052	No	
row_8	AGER	na	4873	0.08761214464902878	-0.1553615	No	
row_9	IRS2	na	5055	0.08298316597938538	-0.15984172	No	
row_10	HES1	na	5152	0.08105035126209259	-0.1602414	No	
row_11	MPL	na	5223	0.07935298979282379	-0.15945193	No	
row_12	NFATC2	na	5322	0.07682717591524124	-0.16017543	No	
row_13	VTCN1	na	5493	0.07344026863574982	-0.1646235	No	
row_14	FADD	na	6357	0.05580505356192589	-0.20412208	No	
row_15	IGF2	na	6533	0.05309594050049782	-0.20990197	No	
row_16	NCK2	na	6677	0.050413038581609726	-0.21425001	No	
row_17	DNAJA3	na	7123	0.04227065667510033	-0.23389699	No	
row_18	HMGB1	na	7470	0.03686407953500748	-0.24895972	No	
row_19	HHLA2	na	8337	0.021804694086313248	-0.29042047	No	
row_20	CD24	na	8653	0.016523078083992004	-0.30504295	No	
row_21	IL12A	na	8696	0.015995129942893982	-0.30625656	No	
row_22	CD46	na	8745	0.015197692438960075	-0.30780804	No	
row_23	LEP	na	8844	0.013629651628434658	-0.31190422	No	
row_24	CCDC88B	na	9578	0.0030365095008164644	-0.34782034	No	
row_25	TFRC	na	9824	-5.078712711110711E-4	-0.3598521	No	
row_26	IL23R	na	9966	-0.0026728766970336437	-0.36664945	No	
row_27	STAT5B	na	10043	-0.0035929931327700615	-0.37019843	No	
row_28	TAC1	na	10104	-0.004334446974098682	-0.3729203	No	
row_29	VAV3	na	11088	-0.017738115042448044	-0.42035678	No	
row_30	ICOSLG	na	11736	-0.0272534117102623	-0.4507476	No	
row_31	CLCF1	na	11852	-0.02899639494717121	-0.45486042	No	
row_32	SHH	na	12142	-0.033403828740119934	-0.4673023	No	
row_33	IL23A	na	12855	-0.042968809604644775	-0.5000537	No	
row_34	IGFBP2	na	13186	-0.0475417785346508	-0.5137591	No	
row_35	MIF	na	13189	-0.04759855568408966	-0.5113173	No	
row_36	RPS3	na	13304	-0.04930724576115608	-0.514297	No	
row_37	CD276	na	13734	-0.055711474269628525	-0.5324392	No	
row_38	TIRAP	na	13765	-0.05611534044146538	-0.53092104	No	
row_39	PELI1	na	13959	-0.05931565538048744	-0.537255	No	
row_40	SELENOK	na	13979	-0.05961795896291733	-0.5350085	No	
row_41	SPTA1	na	14074	-0.061015017330646515	-0.536379	No	
row_42	CD81	na	14499	-0.06707176566123962	-0.55366874	No	
row_43	JAK3	na	14570	-0.0684574618935585	-0.5534608	No	
row_44	EFNB1	na	14615	-0.06938811391592026	-0.5519234	No	
row_45	HLA-E	na	14785	-0.07201486080884933	-0.5563983	No	
row_46	TGFBR2	na	14869	-0.07331227511167526	-0.55657107	No	
row_47	TNFSF4	na	15888	-0.09130223095417023	-0.6018044	No	
row_48	CD70	na	16117	-0.09586449712514877	-0.60791045	No	
row_49	BST1	na	16238	-0.0980844646692276	-0.6085823	No	
row_50	BCL6	na	16389	-0.1009061336517334	-0.61058027	No	
row_51	CD320	na	16485	-0.10285715013742447	-0.6097669	No	
row_52	IL5RA	na	16758	-0.10858551412820816	-0.6173598	No	
row_53	TRAF6	na	16814	-0.10991685092449188	-0.61420095	No	
row_54	CD40	na	16936	-0.11246814578771591	-0.61415446	No	
row_55	PNP	na	17189	-0.11815022677183151	-0.6202525	Yes	
row_56	TNFRSF13C	na	17261	-0.11988488584756851	-0.6173492	Yes	
row_57	RIPK2	na	17296	-0.12094465643167496	-0.6125682	Yes	
row_58	TICAM1	na	17381	-0.1228119507431984	-0.6101485	Yes	
row_59	NCK1	na	17487	-0.12541286647319794	-0.6086236	Yes	
row_60	IL12B	na	17505	-0.12606260180473328	-0.6027328	Yes	
row_61	ADA	na	17553	-0.12725122272968292	-0.59825504	Yes	
row_62	PRKCQ	na	17739	-0.13194312155246735	-0.6003193	Yes	
row_63	IGF1	na	17951	-0.13722100853919983	-0.6033816	Yes	
row_64	IL6	na	17972	-0.13778142631053925	-0.59701294	Yes	
row_65	KITLG	na	18000	-0.13852766156196594	-0.59094906	Yes	
row_66	CD38	na	18031	-0.13959339261054993	-0.58497596	Yes	
row_67	CCL19	na	18105	-0.1424190253019333	-0.5809685	Yes	
row_68	FGF10	na	18138	-0.14366818964481354	-0.57487637	Yes	
row_69	CSF1	na	18189	-0.14530442655086517	-0.5695828	Yes	
row_70	TNFRSF4	na	18211	-0.14580155909061432	-0.56283545	Yes	
row_71	ZAP70	na	18273	-0.14826470613479614	-0.55792534	Yes	
row_72	FCRL3	na	18384	-0.15187270939350128	-0.55523455	Yes	
row_73	IL1B	na	18436	-0.15394043922424316	-0.5495294	Yes	
row_74	IL6ST	na	18445	-0.15421578288078308	-0.54169303	Yes	
row_75	PYCARD	na	18605	-0.16076050698757172	-0.5409397	Yes	
row_76	SYK	na	18753	-0.16581445932388306	-0.53932595	Yes	
row_77	CD80	na	18837	-0.16844095289707184	-0.5344219	Yes	
row_78	CD74	na	18972	-0.17448127269744873	-0.5317058	Yes	
row_79	CD6	na	19057	-0.1786627173423767	-0.52630556	Yes	
row_80	FOXP3	na	19166	-0.18391181528568268	-0.5218064	Yes	
row_81	LYN	na	19232	-0.18823912739753723	-0.51495993	Yes	
row_82	ANXA1	na	19276	-0.19127774238586426	-0.5068684	Yes	
row_83	CD1D	na	19278	-0.19135266542434692	-0.49670568	Yes	
row_84	CCR2	na	19310	-0.19334155321121216	-0.48791337	Yes	
row_85	IL12RB1	na	19347	-0.19564186036586761	-0.47924444	Yes	
row_86	MEF2C	na	19364	-0.19651415944099426	-0.46954453	Yes	
row_87	FLT3LG	na	19371	-0.19692572951316833	-0.45933047	Yes	
row_88	CD40LG	na	19413	-0.20038357377052307	-0.45065457	Yes	
row_89	EBI3	na	19445	-0.2024049311876297	-0.4413786	Yes	
row_90	LGALS9	na	19486	-0.20509660243988037	-0.43240193	Yes	
row_91	RASAL3	na	19602	-0.21469654142856598	-0.42660445	Yes	
row_92	IL7	na	19668	-0.21988245844841003	-0.41806924	Yes	
row_93	HLA-DMB	na	19670	-0.22008016705513	-0.40637338	Yes	
row_94	TLR4	na	19683	-0.22099778056144714	-0.39516997	Yes	
row_95	VCAM1	na	19687	-0.22151628136634827	-0.38349593	Yes	
row_96	CORO1A	na	19741	-0.22679679095745087	-0.37400106	Yes	
row_97	IL18	na	19750	-0.22780734300613403	-0.36223736	Yes	
row_98	CD28	na	19771	-0.22971653938293457	-0.35096243	Yes	
row_99	LILRB2	na	19803	-0.23265528678894043	-0.34007207	Yes	
row_100	BCL2	na	19823	-0.23499265313148499	-0.32846633	Yes	
row_101	HLA-DPB1	na	19864	-0.2397773712873459	-0.31763887	Yes	
row_102	GPR183	na	19899	-0.24314263463020325	-0.3063365	Yes	
row_103	CDKN1A	na	19926	-0.2460346221923828	-0.29448602	Yes	
row_104	SASH3	na	19950	-0.24934257566928864	-0.28231135	Yes	
row_105	NCKAP1L	na	20021	-0.25600549578666687	-0.27209443	Yes	
row_106	BST2	na	20036	-0.2576152980327606	-0.2590353	Yes	
row_107	CLECL1	na	20051	-0.2591399550437927	-0.24589479	Yes	
row_108	TMIGD2	na	20077	-0.26153239607810974	-0.23316804	Yes	
row_109	CD274	na	20090	-0.2627348303794861	-0.21973723	Yes	
row_110	CCL5	na	20091	-0.2628697454929352	-0.20570861	Yes	
