NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXJ1	na	925	0.24450720846652985	-0.035380192	No	
row_1	ARG2	na	1266	0.22005942463874817	-0.04291806	No	
row_2	IL20RB	na	1579	0.20261549949645996	-0.049806662	No	
row_3	ERBB2	na	2137	0.17466287314891815	-0.06995945	No	
row_4	WNT4	na	2405	0.16365401446819305	-0.07626343	No	
row_5	CARD11	na	2884	0.14574213325977325	-0.0937321	No	
row_6	XCL1	na	2939	0.1431698054075241	-0.09038499	No	
row_7	PLA2G2F	na	2998	0.14143209159374237	-0.08730824	No	
row_8	IHH	na	3139	0.13619065284729004	-0.088498175	No	
row_9	ZP3	na	3210	0.13394023478031158	-0.08632821	No	
row_10	SFTPD	na	3434	0.12729190289974213	-0.09198775	No	
row_11	MAPK8IP1	na	3773	0.11706867814064026	-0.10375167	No	
row_12	CEBPB	na	4568	0.09490714222192764	-0.13894916	No	
row_13	GPAM	na	4701	0.09108952432870865	-0.14163816	No	
row_14	AGER	na	4873	0.08761214464902878	-0.1463978	No	
row_15	HLA-G	na	4950	0.08560505509376526	-0.14655359	No	
row_16	HES1	na	5152	0.08105035126209259	-0.15306923	No	
row_17	MAD1L1	na	5303	0.07737450301647186	-0.15722243	No	
row_18	VTCN1	na	5493	0.07344026863574982	-0.16346544	No	
row_19	DLG5	na	5832	0.06588392704725266	-0.17737868	No	
row_20	GLMN	na	6355	0.055842284113168716	-0.20079374	No	
row_21	FADD	na	6357	0.05580505356192589	-0.19849975	No	
row_22	IGF2	na	6533	0.05309594050049782	-0.20490617	No	
row_23	NCK2	na	6677	0.050413038581609726	-0.2098461	No	
row_24	TNFSF18	na	6698	0.05004069209098816	-0.20873177	No	
row_25	BMP4	na	6713	0.049862805753946304	-0.20732883	No	
row_26	DNAJA3	na	7123	0.04227065667510033	-0.2257374	No	
row_27	HMGB1	na	7470	0.03686407953500748	-0.24126403	No	
row_28	HHLA2	na	8337	0.021804694086313248	-0.2830843	No	
