NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_MEIOTIC_CELL_CYCLE_PROCESS	GO_MEIOTIC_CELL_CYCLE_PROCESS	Details ...	155	0.54758185	2.3798456	0.0	0.0	0.0	5074	tags=52%, list=25%, signal=68%	
GO_MEIOTIC_CHROMOSOME_SEGREGATION	GO_MEIOTIC_CHROMOSOME_SEGREGATION	Details ...	73	0.61162853	2.3578076	0.0	0.0	0.0	4736	tags=56%, list=23%, signal=73%	
GO_MEIOTIC_CELL_CYCLE	GO_MEIOTIC_CELL_CYCLE	Details ...	202	0.501612	2.2437325	0.0	4.959745E-4	0.003	5074	tags=46%, list=25%, signal=61%	
GO_HISTONE_EXCHANGE	GO_HISTONE_EXCHANGE	Details ...	52	0.6092913	2.240193	0.0	4.960528E-4	0.004	4559	tags=46%, list=22%, signal=59%	
GO_CHROMATIN_ASSEMBLY	GO_CHROMATIN_ASSEMBLY	Details ...	131	0.52494216	2.227928	0.0	3.9684222E-4	0.004	5044	tags=44%, list=25%, signal=58%	
GO_MEIOSIS_I_CELL_CYCLE_PROCESS	GO_MEIOSIS_I_CELL_CYCLE_PROCESS	Details ...	95	0.5470316	2.220636	0.0	4.128387E-4	0.005	5628	tags=56%, list=28%, signal=77%	
GO_DNA_PACKAGING	GO_DNA_PACKAGING	Details ...	168	0.49931148	2.2084086	0.0	4.2407404E-4	0.006	5044	tags=42%, list=25%, signal=55%	
GO_NUCLEOSOME_ORGANIZATION	GO_NUCLEOSOME_ORGANIZATION	Details ...	147	0.49964637	2.1792645	0.0	4.948966E-4	0.008	5044	tags=37%, list=25%, signal=49%	
GO_NUCLEAR_CHROMOSOME_SEGREGATION	GO_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	242	0.468379	2.1511014	0.0	9.389704E-4	0.017	4052	tags=36%, list=20%, signal=44%	
GO_CHROMOSOME_SEGREGATION	GO_CHROMOSOME_SEGREGATION	Details ...	300	0.4519074	2.1390789	0.0	0.0010950603	0.021	5859	tags=46%, list=29%, signal=64%	
GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	Details ...	156	0.48835433	2.1263592	0.0	0.0012229213	0.026	5044	tags=38%, list=25%, signal=51%	
GO_CHROMATIN_REMODELING_AT_CENTROMERE	GO_CHROMATIN_REMODELING_AT_CENTROMERE	Details ...	43	0.6093407	2.1211715	0.0	0.0012441071	0.029	4625	tags=51%, list=23%, signal=66%	
GO_CENTROMERE_COMPLEX_ASSEMBLY	GO_CENTROMERE_COMPLEX_ASSEMBLY	Details ...	51	0.5825749	2.1189563	0.0	0.0013386719	0.034	4625	tags=49%, list=23%, signal=63%	
GO_SISTER_CHROMATID_SEGREGATION	GO_SISTER_CHROMATID_SEGREGATION	Details ...	180	0.47417486	2.1147242	0.0	0.0013489629	0.037	3843	tags=34%, list=19%, signal=42%	
GO_DNA_CONFORMATION_CHANGE	GO_DNA_CONFORMATION_CHANGE	Details ...	278	0.4544438	2.1110663	0.0	0.001358607	0.04	5044	tags=38%, list=25%, signal=50%	
GO_DNA_REPLICATION_INITIATION	GO_DNA_REPLICATION_INITIATION	Details ...	36	0.6105728	2.0913892	0.0	0.0019919719	0.062	5215	tags=61%, list=26%, signal=82%	
GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	GO_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	Details ...	50	0.5754021	2.0778031	0.0	0.0022828178	0.076	4302	tags=40%, list=21%, signal=51%	
GO_SISTER_CHROMATID_COHESION	GO_SISTER_CHROMATID_COHESION	Details ...	59	0.5496218	2.0754766	0.0	0.0022112573	0.078	3332	tags=36%, list=16%, signal=42%	
GO_MEIOTIC_CHROMOSOME_SEPARATION	GO_MEIOTIC_CHROMOSOME_SEPARATION	Details ...	22	0.67515075	2.072404	0.0	0.0021993914	0.082	4052	tags=64%, list=20%, signal=79%	
GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	Details ...	24	0.6498103	2.0436733	0.0	0.0033585383	0.128	2956	tags=46%, list=14%, signal=54%	
GO_DNA_DEPENDENT_DNA_REPLICATION	GO_DNA_DEPENDENT_DNA_REPLICATION		145	0.46907744	2.0420022	0.0	0.003245363	0.129	5637	tags=48%, list=28%, signal=66%	
GO_CELL_CYCLE_DNA_REPLICATION	GO_CELL_CYCLE_DNA_REPLICATION		64	0.5285551	2.015051	0.0	0.0047016963	0.194	5490	tags=50%, list=27%, signal=68%	
GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE		52	0.54704374	2.005272	0.0	0.0052965144	0.221	5848	tags=60%, list=29%, signal=83%	
GO_HOMOLOGOUS_RECOMBINATION	GO_HOMOLOGOUS_RECOMBINATION		46	0.55524135	1.9914446	0.0	0.0062155803	0.263	4364	tags=46%, list=21%, signal=58%	
GO_RECOMBINATIONAL_REPAIR	GO_RECOMBINATIONAL_REPAIR		131	0.46682155	1.973782	0.0	0.007678857	0.329	4676	tags=38%, list=23%, signal=49%	
GO_SYNAPSIS	GO_SYNAPSIS		35	0.5750869	1.9603473	0.001669449	0.008816997	0.376	4736	tags=54%, list=23%, signal=71%	
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION		21	0.6576405	1.9483802	0.0	0.009929096	0.423	3535	tags=52%, list=17%, signal=63%	
GO_ORGANELLE_FISSION	GO_ORGANELLE_FISSION		412	0.4003281	1.9376795	0.0	0.011155879	0.471	4052	tags=32%, list=20%, signal=39%	
GO_MITOTIC_SISTER_CHROMATID_SEGREGATION	GO_MITOTIC_SISTER_CHROMATID_SEGREGATION		147	0.44131738	1.9092755	0.0	0.015768614	0.599	3843	tags=33%, list=19%, signal=41%	
GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE	GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE		17	0.6859023	1.9002669	0.0	0.017315812	0.65	3535	tags=59%, list=17%, signal=71%	
GO_CHROMOSOME_SEPARATION	GO_CHROMOSOME_SEPARATION		85	0.4798168	1.8984724	0.0	0.01702962	0.655	4052	tags=41%, list=20%, signal=51%	
GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION	GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION		43	0.52851	1.896804	0.0016155089	0.01674657	0.66	5848	tags=58%, list=29%, signal=81%	
GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION	GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION		28	0.5928927	1.8959448	0.0	0.016433792	0.664	5074	tags=61%, list=25%, signal=81%	
GO_CHROMATIN_SILENCING_AT_RDNA	GO_CHROMATIN_SILENCING_AT_RDNA		31	0.5706345	1.8872145	0.0	0.017958451	0.709	4388	tags=52%, list=21%, signal=66%	
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION		101	0.45508704	1.8824373	0.0	0.018725237	0.731	4628	tags=34%, list=23%, signal=43%	
GO_INTERSTRAND_CROSS_LINK_REPAIR	GO_INTERSTRAND_CROSS_LINK_REPAIR		51	0.50978976	1.8771224	0.0	0.019546984	0.743	6139	tags=57%, list=30%, signal=81%	
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	GO_ATP_DEPENDENT_CHROMATIN_REMODELING		80	0.46852285	1.8742331	0.0	0.01970336	0.762	4751	tags=34%, list=23%, signal=44%	
GO_CILIUM_MOVEMENT	GO_CILIUM_MOVEMENT		60	0.4928905	1.8653872	0.0	0.021514965	0.811	4819	tags=55%, list=24%, signal=72%	
GO_REGULATION_OF_CHROMOSOME_SEGREGATION	GO_REGULATION_OF_CHROMOSOME_SEGREGATION		97	0.4527983	1.8647292	0.0	0.021103969	0.813	5633	tags=45%, list=28%, signal=62%	
GO_MITOTIC_SPINDLE_ORGANIZATION	GO_MITOTIC_SPINDLE_ORGANIZATION		105	0.44572636	1.8549063	0.0	0.02317569	0.848	4005	tags=33%, list=20%, signal=41%	
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY		24	0.5831502	1.8497897	0.0067114094	0.023946324	0.871	4326	tags=50%, list=21%, signal=63%	
GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	GO_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES		16	0.66740036	1.8384613	0.0	0.027157567	0.906	4052	tags=63%, list=20%, signal=78%	
GO_KINETOCHORE_ORGANIZATION	GO_KINETOCHORE_ORGANIZATION		21	0.60973155	1.8291653	0.004878049	0.029815752	0.931	4618	tags=57%, list=23%, signal=74%	
GO_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION	GO_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION		27	0.5714468	1.8243728	0.0016528926	0.030768104	0.936	7265	tags=67%, list=36%, signal=103%	
GO_SPINDLE_ORGANIZATION	GO_SPINDLE_ORGANIZATION		164	0.41430062	1.822198	0.0	0.030890543	0.941	4005	tags=32%, list=20%, signal=39%	
GO_AXONEME_ASSEMBLY	GO_AXONEME_ASSEMBLY		54	0.49369937	1.8219154	0.0016233766	0.030380834	0.941	4741	tags=52%, list=23%, signal=67%	
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION		247	0.39578626	1.819565	0.0	0.03065716	0.945	5117	tags=33%, list=25%, signal=44%	
GO_MITOTIC_G2_M_TRANSITION_CHECKPOINT	GO_MITOTIC_G2_M_TRANSITION_CHECKPOINT		28	0.56295896	1.8106635	0.0016835016	0.033402346	0.961	1152	tags=25%, list=6%, signal=26%	
GO_DOUBLE_STRAND_BREAK_REPAIR	GO_DOUBLE_STRAND_BREAK_REPAIR		235	0.39378208	1.7951844	0.0	0.039152116	0.98	5490	tags=38%, list=27%, signal=51%	
GO_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS	GO_NEGATIVE_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS		18	0.61377966	1.7907835	0.008726004	0.040409967	0.984	5762	tags=61%, list=28%, signal=85%	
GO_MITOTIC_NUCLEAR_DIVISION	GO_MITOTIC_NUCLEAR_DIVISION		253	0.38474944	1.782963	0.0	0.043090995	0.986	4009	tags=31%, list=20%, signal=38%	
GO_CILIUM_ORGANIZATION	GO_CILIUM_ORGANIZATION		356	0.37562475	1.7806578	0.0	0.04363227	0.989	5101	tags=37%, list=25%, signal=49%	
GO_PROTEIN_HETEROTETRAMERIZATION	GO_PROTEIN_HETEROTETRAMERIZATION		43	0.50365186	1.7785928	0.0015503876	0.04376865	0.992	2956	tags=35%, list=14%, signal=41%	
GO_MALE_MEIOTIC_NUCLEAR_DIVISION	GO_MALE_MEIOTIC_NUCLEAR_DIVISION		36	0.51702625	1.7739782	0.0050675673	0.045270707	0.993	4736	tags=53%, list=23%, signal=69%	
GO_DNA_REPLICATION	GO_DNA_REPLICATION		261	0.38199684	1.7665592	0.0	0.048726656	0.995	5637	tags=40%, list=28%, signal=54%	
GO_MICROTUBULE_BUNDLE_FORMATION	GO_MICROTUBULE_BUNDLE_FORMATION		84	0.43974552	1.7594857	0.0014992504	0.05155996	0.997	4741	tags=43%, list=23%, signal=56%	
GO_MICROTUBULE_BASED_MOVEMENT	GO_MICROTUBULE_BASED_MOVEMENT		264	0.381533	1.759018	0.0	0.050909013	0.997	4865	tags=37%, list=24%, signal=48%	
GO_SPINDLE_ASSEMBLY	GO_SPINDLE_ASSEMBLY		104	0.42062724	1.7540425	0.0	0.052543472	0.998	4005	tags=31%, list=20%, signal=38%	
GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE		55	0.4706145	1.7527294	0.0	0.052378908	0.998	4008	tags=42%, list=20%, signal=52%	
GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION		73	0.44858	1.748668	0.0015174507	0.053772718	0.999	4952	tags=47%, list=24%, signal=61%	
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC		107	0.4230368	1.7439071	0.0	0.055708267	0.999	4520	tags=32%, list=22%, signal=41%	
GO_REPLICATION_FORK_PROCESSING	GO_REPLICATION_FORK_PROCESSING		33	0.51914746	1.7434016	0.006472492	0.05504252	0.999	5637	tags=58%, list=28%, signal=79%	
GO_KERATINIZATION	GO_KERATINIZATION		71	0.44664198	1.7315559	0.0	0.061674196	0.999	3893	tags=31%, list=19%, signal=38%	
GO_CORNIFICATION	GO_CORNIFICATION		61	0.4592796	1.727263	0.003030303	0.063560136	0.999	3893	tags=31%, list=19%, signal=38%	
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION		187	0.38317353	1.7254256	0.0	0.06379231	0.999	3815	tags=29%, list=19%, signal=36%	
GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	GO_REGULATION_OF_SISTER_CHROMATID_SEGREGATION		77	0.4369301	1.7242466	0.0015822785	0.0636092	0.999	4008	tags=35%, list=20%, signal=43%	
GO_MITOTIC_RECOMBINATION	GO_MITOTIC_RECOMBINATION		22	0.5720889	1.7211368	0.0068965517	0.0645775	0.999	3843	tags=50%, list=19%, signal=62%	
GO_NEGATIVE_REGULATION_OF_CHROMATIN_SILENCING	GO_NEGATIVE_REGULATION_OF_CHROMATIN_SILENCING		15	0.6168735	1.7137649	0.0125	0.06856363	0.999	6534	tags=67%, list=32%, signal=98%	
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS		17	0.59085166	1.7133403	0.012259195	0.06777928	0.999	3210	tags=47%, list=16%, signal=56%	
