NAME	TITLE	SCORE	
ZNF337-AS1	na	0.54503846	
TRIB3	na	0.51745063	
UCKL1-AS1	na	0.5143537	
FNBP1P1	na	0.5000712	
TDRKH-AS1	na	0.49333677	
NKPD1	na	0.48955774	
MSL3P1	na	0.48586646	
CCDC142	na	0.48497787	
FAM183A	na	0.48394966	
PANK2-AS1	na	0.48338348	
SALL4	na	0.4821558	
SPATA25	na	0.48181012	
OSER1-DT	na	0.48114914	
AFDN-DT	na	0.4803644	
GPR89A	na	0.477865	
GPR19	na	0.4742283	
GNGT1	na	0.47150633	
ASH1L-AS1	na	0.4713497	
GPR89B	na	0.46978375	
FAM72D	na	0.4675044	
MSH5	na	0.46349534	
NINL	na	0.46248817	
GLDC	na	0.4597875	
KRT18P4	na	0.45745242	
NHLRC1	na	0.45655608	
PLAG1	na	0.45593438	
KLRG2	na	0.45295426	
ETV4	na	0.44696528	
LINC01977	na	0.44619787	
MAGEA12	na	0.44543806	
DZANK1	na	0.44516036	
PNMT	na	0.44386762	
GABRR1	na	0.44209293	
RNFT2	na	0.43862244	
LINC00858	na	0.43774438	
TDRKH	na	0.43514973	
PABPC1L	na	0.4333838	
HOXC-AS3	na	0.43235806	
ESPN	na	0.42637938	
LINC02487	na	0.42581823	
ZPLD2P	na	0.42568055	
IGSF23	na	0.4250452	
C12orf56	na	0.4234768	
FAM186B	na	0.42081407	
LINC00355	na	0.4197561	
LRRC43	na	0.4182127	
OR7E128P	na	0.41782907	
KCNQ1OT1	na	0.41667983	
DSTNP2	na	0.4163519	
LINC02820	na	0.41606	
SSC4D	na	0.41431224	
RPL13P5	na	0.41339582	
LRRN4	na	0.41206163	
F7	na	0.4111264	
EEF1E1P1	na	0.40991768	
TTC25	na	0.4095361	
ZNF572	na	0.40886807	
SLC34A3	na	0.40884173	
CHN2-AS1	na	0.40796274	
DNAJC3-DT	na	0.40758586	
KCNMB2-AS1	na	0.4072834	
IGF2BP1	na	0.4059062	
SEPTIN7P9	na	0.40536782	
CSAG1	na	0.4051686	
RHPN1-AS1	na	0.40503305	
DNMT3B	na	0.40490532	
MAP10	na	0.4048426	
C20orf144	na	0.40368286	
NUF2	na	0.40294144	
LRRC46	na	0.40195256	
QPRT	na	0.40188122	
COL9A3	na	0.4018615	
LINC01980	na	0.40070343	
IGF2BP3	na	0.3999538	
ZNF141	na	0.39939794	
TMPOP2	na	0.39862263	
RELL2	na	0.3985393	
LDC1P	na	0.39853242	
