NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH1	na	8652	0.013872058130800724	-0.4601679	No	
row_1	CCDC151	na	10248	-0.01911104843020439	-0.5424228	No	
row_2	DNAAF5	na	11136	-0.0373816192150116	-0.58400047	No	
row_3	CCDC39	na	11444	-0.043738801032304764	-0.59359556	No	
row_4	SPAG1	na	14099	-0.11088771373033524	-0.71815026	No	
row_5	DNAH5	na	14891	-0.13500483334064484	-0.73939896	No	
row_6	DNAAF2	na	15218	-0.1456589549779892	-0.7341412	No	
row_7	DRC1	na	15872	-0.17163629829883575	-0.74231255	No	
row_8	DNAI2	na	16682	-0.2123725861310959	-0.7524776	Yes	
row_9	ARMC4	na	16690	-0.21292293071746826	-0.71970135	Yes	
row_10	CFAP100	na	16812	-0.21954438090324402	-0.6919859	Yes	
row_11	DNAH7	na	16972	-0.23056501150131226	-0.66458523	Yes	
row_12	CCDC114	na	17162	-0.2435070127248764	-0.63677263	Yes	
row_13	DNAI1	na	17293	-0.2551056742668152	-0.6040015	Yes	
row_14	CCDC65	na	17336	-0.25881028175354004	-0.5659513	Yes	
row_15	WDR63	na	17348	-0.25977030396461487	-0.52609503	Yes	
row_16	LRRC6	na	17356	-0.2601887285709381	-0.48595995	Yes	
row_17	DNAL1	na	17432	-0.26615241169929504	-0.44852996	Yes	
row_18	CCDC40	na	17565	-0.27928125858306885	-0.41210178	Yes	
row_19	TEKT2	na	17623	-0.28631505370140076	-0.3705708	Yes	
row_20	LRRC49	na	18185	-0.3600997030735016	-0.3444839	Yes	
row_21	DNAAF3	na	18189	-0.36042484641075134	-0.28852913	Yes	
row_22	PIH1D3	na	18219	-0.3650949001312256	-0.23323661	Yes	
row_23	DNAAF4	na	18372	-0.39704465866088867	-0.17954239	Yes	
row_24	DNAAF1	na	18436	-0.4128030836582184	-0.118638925	Yes	
row_25	CFAP73	na	18480	-0.42472603917121887	-0.05481044	Yes	
row_26	ZMYND10	na	18522	-0.4409386217594147	0.011649084	Yes	
