NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC4	na	103	0.5232597589492798	0.050740663	Yes	
row_1	SENP2	na	649	0.37427785992622375	0.061800215	Yes	
row_2	DNA2	na	668	0.371001273393631	0.10072252	Yes	
row_3	DBF4B	na	740	0.36046454310417175	0.13567446	Yes	
row_4	CDC7	na	746	0.35908347368240356	0.1740115	Yes	
row_5	RTEL1	na	864	0.3441723883152008	0.2047491	Yes	
row_6	GINS1	na	1009	0.3287258446216583	0.23238051	Yes	
row_7	PRIM2	na	1147	0.31343668699264526	0.25874296	Yes	
row_8	ATAD5	na	1374	0.2907862663269043	0.27790534	Yes	
row_9	BRCA2	na	1627	0.26774850487709045	0.2931989	Yes	
row_10	MCM2	na	1632	0.26727724075317383	0.3217195	Yes	
row_11	CHEK2	na	1840	0.24993017315864563	0.3375067	Yes	
row_12	CDC45	na	1893	0.2457890510559082	0.36114722	Yes	
row_13	MCM4	na	2352	0.21578426659107208	0.35982516	Yes	
row_14	FBXO5	na	2453	0.2100917547941208	0.37705806	Yes	
row_15	GMNN	na	2542	0.20528818666934967	0.39441696	Yes	
row_16	MCM6	na	2618	0.2009344846010208	0.41200382	Yes	
row_17	E2F8	na	2671	0.19840985536575317	0.43055066	Yes	
row_18	POLD1	na	2975	0.1826566904783249	0.43396562	Yes	
row_19	PRIM1	na	3080	0.1781134158372879	0.44754636	Yes	
row_20	TERF1	na	3123	0.17599770426750183	0.4642191	Yes	
row_21	ORC3	na	3408	0.16339820623397827	0.46658084	Yes	
row_22	MCM7	na	3791	0.14855845272541046	0.46210036	Yes	
row_23	MCM3	na	3892	0.14482368528842926	0.47231632	Yes	
row_24	RAD51	na	4037	0.13905422389507294	0.4795563	Yes	
row_25	WIZ	na	4063	0.13811658322811127	0.4930666	Yes	
row_26	RFC1	na	4087	0.13705326616764069	0.5065697	Yes	
row_27	POLE2	na	4168	0.13451100885868073	0.5167477	Yes	
row_28	RFC3	na	4349	0.1274072527885437	0.52080816	Yes	
row_29	RTF2	na	4451	0.12399107217788696	0.52873087	Yes	
row_30	RFC5	na	4616	0.11850449442863464	0.5326908	Yes	
row_31	POLE	na	4636	0.1179279163479805	0.5443519	Yes	
row_32	BCL6	na	4643	0.11757249385118484	0.5566708	Yes	
row_33	MCM5	na	4992	0.10648684948682785	0.54948753	No	
row_34	LIG1	na	6202	0.07147783041000366	0.4924435	No	
row_35	ZMPSTE24	na	6275	0.06963730603456497	0.49607533	No	
row_36	DONSON	na	6530	0.06297660619020462	0.489247	No	
row_37	PCNA	na	6872	0.05480101704597473	0.47688183	No	
row_38	DBF4	na	7016	0.05120305344462395	0.47473055	No	
row_39	CDT1	na	7030	0.050912175327539444	0.47950807	No	
row_40	FEN1	na	7076	0.04986514523625374	0.48245978	No	
row_41	ZPR1	na	7120	0.04853787273168564	0.48537588	No	
row_42	NUGGC	na	7221	0.046120818704366684	0.48498037	No	
row_43	UPF1	na	7352	0.04298364371061325	0.48264146	No	
row_44	RPA2	na	8037	0.02747977338731289	0.44897515	No	
row_45	POLA2	na	8437	0.018460052087903023	0.42959774	No	
row_46	POLD2	na	8795	0.010472062043845654	0.4116102	No	
row_47	RPA1	na	9347	-8.809588034637272E-4	0.38220495	No	
row_48	ZNF830	na	9620	-0.00684530520811677	0.3683783	No	
row_49	RPA3	na	9970	-0.01370849460363388	0.351167	No	
row_50	POLA1	na	10313	-0.020151792094111443	0.3350232	No	
row_51	POLD3	na	10675	-0.02754553034901619	0.31865704	No	
row_52	FGFR1	na	10944	-0.03313591331243515	0.307871	No	
row_53	RFC2	na	11043	-0.03525450825691223	0.3064144	No	
row_54	ATRX	na	11827	-0.05237806960940361	0.27012452	No	
row_55	INO80	na	11990	-0.05667654424905777	0.26754448	No	
row_56	POLD4	na	12184	-0.060682643204927444	0.26373538	No	
row_57	POLE4	na	12488	-0.067714162170887	0.254793	No	
row_58	POLE3	na	13007	-0.08078423142433167	0.23574485	No	
row_59	TERF2	na	14429	-0.12003078311681747	0.17257045	No	
row_60	TIPIN	na	15483	-0.1549820899963379	0.13285594	No	
row_61	DACH1	na	15598	-0.15980277955532074	0.14393276	No	
row_62	E2F7	na	16892	-0.22540375590324402	0.09893987	No	
