NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.05773605	Yes	
row_1	MEIOC	na	154	0.4974408745765686	0.10646652	Yes	
row_2	RNF212	na	197	0.47865647077560425	0.15579441	Yes	
row_3	BUB1	na	277	0.4511987864971161	0.20018432	Yes	
row_4	MAJIN	na	295	0.44717392325401306	0.24745747	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.2844372	Yes	
row_6	TEX15	na	483	0.4043155014514923	0.32564792	Yes	
row_7	SMC4	na	610	0.38112667202949524	0.35997316	Yes	
row_8	NCAPH	na	645	0.37522268295288086	0.39858416	Yes	
row_9	CCDC155	na	762	0.3572874665260315	0.43087575	Yes	
row_10	SYCP2	na	844	0.3467279076576233	0.463902	Yes	
row_11	CCDC36	na	933	0.33718207478523254	0.49552518	Yes	
row_12	FANCD2	na	1095	0.3194115459918976	0.5213282	Yes	
row_13	MLH1	na	1145	0.31355875730514526	0.5524925	Yes	
row_14	SYCE2	na	1509	0.27810826897621155	0.56303835	Yes	
row_15	BUB1B	na	1616	0.2691003978252411	0.58636284	Yes	
row_16	STAG3	na	1846	0.24926500022411346	0.60096973	Yes	
row_17	SGO2	na	2255	0.2219257950782776	0.6030545	Yes	
row_18	TERF1	na	3123	0.17599770426750183	0.57563466	Yes	
row_19	HORMAD1	na	3129	0.17582300305366516	0.59431195	Yes	
row_20	NDC1	na	3356	0.16598382592201233	0.6001058	Yes	
row_21	BRIP1	na	3405	0.16352973878383636	0.6151581	Yes	
row_22	NCAPD2	na	3639	0.15455970168113708	0.61934656	Yes	
row_23	MCMDC2	na	3778	0.14909718930721283	0.6280288	Yes	
row_24	RAD51	na	4037	0.13905422389507294	0.6292091	Yes	
row_25	MRE11	na	4778	0.11365078389644623	0.60186577	No	
row_26	AGO4	na	5476	0.09167396277189255	0.57445484	No	
row_27	RAD51C	na	6558	0.062375981360673904	0.5233436	No	
row_28	P3H4	na	6611	0.06116345524787903	0.527152	No	
row_29	BAG6	na	6618	0.06103222444653511	0.53340715	No	
row_30	MAEL	na	7078	0.04976196959614754	0.514213	No	
row_31	UBE2B	na	7169	0.047499801963567734	0.5145162	No	
row_32	DMC1	na	7176	0.04730837792158127	0.51929265	No	
row_33	ANKRD31	na	7909	0.030389895662665367	0.48340598	No	
row_34	NCAPD3	na	8248	0.022900469601154327	0.4677909	No	
row_35	CCNE2	na	8445	0.018253644928336143	0.45927194	No	
row_36	MEI1	na	9486	-0.0037220600061118603	0.4040342	No	
row_37	SMC2	na	9983	-0.014007525518536568	0.37900808	No	
row_38	ATM	na	10125	-0.0167401023209095	0.37326849	No	
row_39	NCAPH2	na	10501	-0.024331290274858475	0.3558281	No	
row_40	REC8	na	10756	-0.02923032082617283	0.34538895	No	
row_41	PPP2R1A	na	11158	-0.03785841166973114	0.32801515	No	
row_42	RAD50	na	11652	-0.04806919023394585	0.30681965	No	
row_43	ATRX	na	11827	-0.05237806960940361	0.30315453	No	
row_44	MLH3	na	12375	-0.06523103266954422	0.28091928	No	
row_45	SYCE3	na	12927	-0.07879174500703812	0.25993118	No	
row_46	SUN1	na	13463	-0.09232190251350403	0.24125692	No	
row_47	CCNB1IP1	na	15130	-0.14287787675857544	0.16752286	No	
row_48	SYCE1L	na	17069	-0.23716723918914795	0.08939672	No	
