NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.009463688	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.021242658	Yes	
row_2	HFM1	na	80	0.541456401348114	0.033281405	Yes	
row_3	TTK	na	127	0.5102046132087708	0.042335622	Yes	
row_4	MEIOC	na	154	0.4974408745765686	0.052185297	Yes	
row_5	RNF212	na	197	0.47865647077560425	0.060742307	Yes	
row_6	KIF18B	na	218	0.4722927212715149	0.07034808	Yes	
row_7	SMC1B	na	229	0.46581628918647766	0.08034944	Yes	
row_8	SPDL1	na	255	0.45829764008522034	0.089367345	Yes	
row_9	BUB1	na	277	0.4511987864971161	0.098441444	Yes	
row_10	EME1	na	281	0.45057761669158936	0.10847741	Yes	
row_11	MAJIN	na	295	0.44717392325401306	0.11789416	Yes	
row_12	FAM83D	na	348	0.4338366389274597	0.12489451	Yes	
row_13	KIF2C	na	412	0.41859015822410583	0.13095336	Yes	
row_14	NDC80	na	425	0.41625460982322693	0.13972448	Yes	
row_15	TRIP13	na	438	0.4137066900730133	0.14843793	Yes	
row_16	TEX15	na	483	0.4043155014514923	0.15520382	Yes	
row_17	SMC4	na	610	0.38112667202949524	0.15699896	Yes	
row_18	HJURP	na	636	0.3759971261024475	0.16415404	Yes	
row_19	NCAPH	na	645	0.37522268295288086	0.17221329	Yes	
row_20	KIF23	na	651	0.3742143511772156	0.18041237	Yes	
row_21	CDCA5	na	654	0.37387916445732117	0.18876652	Yes	
row_22	KLHDC8B	na	735	0.3615344166755676	0.19261223	Yes	
row_23	CCDC155	na	762	0.3572874665260315	0.1992896	Yes	
row_24	SPC25	na	826	0.34806203842163086	0.20375209	Yes	
row_25	SYCP2	na	844	0.3467279076576233	0.2106784	Yes	
row_26	DSN1	na	875	0.3434399664402008	0.21682547	Yes	
row_27	TOP3B	na	882	0.3423929214477539	0.22425006	Yes	
row_28	NCAPG	na	908	0.33996620774269104	0.2305896	Yes	
row_29	PSRC1	na	919	0.33833828568458557	0.23770554	Yes	
row_30	RMI2	na	922	0.338029146194458	0.24524824	Yes	
row_31	CCDC36	na	933	0.33718207478523254	0.25233802	Yes	
row_32	NUF2	na	949	0.33584436774253845	0.25912645	Yes	
row_33	KIFC1	na	950	0.3358439803123474	0.26672813	Yes	
row_34	NR3C1	na	989	0.3319617211818695	0.27218163	Yes	
row_35	CDCA8	na	990	0.33189424872398376	0.2796939	Yes	
row_36	ECT2	na	1006	0.3289833664894104	0.28632703	Yes	
row_37	SGO1	na	1038	0.3264634311199188	0.2920356	Yes	
row_38	BIRC5	na	1093	0.3198314905166626	0.29634708	Yes	
row_39	FANCD2	na	1095	0.3194115459918976	0.3035226	Yes	
row_40	MLH1	na	1145	0.31355875730514526	0.30796316	Yes	
row_41	CENPE	na	1158	0.31233829259872437	0.3143822	Yes	
row_42	BEX4	na	1167	0.3108702003955841	0.32098484	Yes	
row_43	UVRAG	na	1214	0.3066912889480591	0.32543263	Yes	
row_44	USP44	na	1218	0.30627021193504333	0.33220226	Yes	
row_45	PLK1	na	1226	0.3057837188243866	0.338744	Yes	
row_46	DLGAP5	na	1445	0.2843569219112396	0.33336073	Yes	
row_47	KIF4A	na	1475	0.2814808189868927	0.33815962	Yes	
row_48	SYCE2	na	1509	0.27810826897621155	0.34266526	Yes	
row_49	DSCC1	na	1513	0.2779068052768707	0.3487929	Yes	
row_50	ANAPC1	na	1516	0.27779194712638855	0.35497215	Yes	
row_51	BUB1B	na	1616	0.2691003978252411	0.35569552	Yes	
row_52	SKA1	na	1623	0.26812025904655457	0.361439	Yes	
row_53	CDC20	na	1656	0.2652123272418976	0.36570698	Yes	
row_54	TOP2A	na	1707	0.26118770241737366	0.36890793	Yes	
row_55	TENT4A	na	1750	0.2579898238182068	0.37247026	Yes	
row_56	STAG3	na	1846	0.24926500022411346	0.37296152	Yes	
row_57	GEN1	na	1860	0.24782557785511017	0.37786612	Yes	
row_58	KIF14	na	1861	0.24767132103443146	0.38347206	Yes	
row_59	RECQL5	na	1936	0.243081733584404	0.38496193	Yes	
row_60	CENPF	na	1937	0.24296823143959045	0.39046142	Yes	
row_61	INCENP	na	2015	0.2379264235496521	0.391672	Yes	
row_62	STAG3L2	na	2037	0.23669084906578064	0.3958908	Yes	
row_63	SPAG5	na	2071	0.2348327487707138	0.39941692	Yes	
row_64	KIF18A	na	2072	0.23474854230880737	0.40473035	Yes	
row_65	AURKB	na	2102	0.23215104639530182	0.40841267	Yes	
row_66	MKI67	na	2123	0.23047496378421783	0.412545	Yes	
row_67	RACGAP1	na	2147	0.22872516512870789	0.41647506	Yes	
row_68	CEP85	na	2210	0.22462612390518188	0.41819784	Yes	
row_69	RAD18	na	2218	0.22421231865882874	0.42289326	Yes	
row_70	SGO2	na	2255	0.2219257950782776	0.4259646	Yes	
row_71	TACC3	na	2306	0.21849876642227173	0.42819932	Yes	
row_72	FBXO5	na	2453	0.2100917547941208	0.42503878	Yes	
row_73	NSMCE2	na	2582	0.2027605026960373	0.42268825	Yes	
