NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH17	na	90	0.5351308584213257	0.027948849	No	
row_1	ADCY10	na	2324	0.21754319965839386	-0.07832696	No	
row_2	AQP4	na	3144	0.17538504302501678	-0.11145194	No	
row_3	CATSPER1	na	3920	0.14358341693878174	-0.14416772	No	
row_4	CELSR2	na	3991	0.1406458020210266	-0.1393043	No	
row_5	CCSAP	na	4252	0.1309426724910736	-0.14521125	No	
row_6	MAATS1	na	5609	0.08810613304376602	-0.21244201	No	
row_7	RSPH6A	na	6871	0.054801952093839645	-0.27662405	No	
row_8	MKKS	na	7875	0.031100060790777206	-0.3284393	No	
row_9	NPHP3	na	8610	0.014719827100634575	-0.36685023	No	
row_10	CABYR	na	8637	0.014170604757964611	-0.36737502	No	
row_11	DNAH1	na	8652	0.013872058130800724	-0.36727536	No	
row_12	OFD1	na	9527	-0.004715440794825554	-0.41379717	No	
row_13	CCDC151	na	10248	-0.01911104843020439	-0.45118937	No	
row_14	STK36	na	10339	-0.020675402134656906	-0.45474362	No	
row_15	HYDIN	na	10687	-0.027891479432582855	-0.47162062	No	
row_16	CFAP54	na	10869	-0.03167060762643814	-0.47937542	No	
row_17	DNAAF5	na	11136	-0.0373816192150116	-0.49133304	No	
row_18	CCDC39	na	11444	-0.043738801032304764	-0.50509727	No	
row_19	TEKT5	na	11711	-0.04942234978079796	-0.51631755	No	
row_20	SPAG17	na	12002	-0.056964077055454254	-0.5283614	No	
row_21	CFAP20	na	12309	-0.06363841146230698	-0.5408535	No	
row_22	KIAA0556	na	13833	-0.10291525721549988	-0.61612177	No	
row_23	DNAH5	na	14891	-0.13500483334064484	-0.6644665	No	
row_24	TTLL6	na	15233	-0.14606428146362305	-0.67378575	No	
row_25	DRC1	na	15872	-0.17163629829883575	-0.6974461	Yes	
row_26	BBS2	na	15881	-0.17201922833919525	-0.68734086	Yes	
row_27	CFAP206	na	16258	-0.19013895094394684	-0.6958357	Yes	
row_28	ZBBX	na	16265	-0.19039960205554962	-0.68449783	Yes	
row_29	RSPH9	na	16520	-0.20330370962619781	-0.6856523	Yes	
row_30	DNAI2	na	16682	-0.2123725861310959	-0.68127054	Yes	
row_31	ARMC4	na	16690	-0.21292293071746826	-0.66860694	Yes	
row_32	CFAP221	na	16695	-0.2132755070924759	-0.65576106	Yes	
row_33	CFAP100	na	16812	-0.21954438090324402	-0.64852995	Yes	
row_34	DNAH7	na	16972	-0.23056501150131226	-0.642927	Yes	
row_35	CFAP46	na	17096	-0.2386101335287094	-0.6349033	Yes	
row_36	CCDC114	na	17162	-0.2435070127248764	-0.6234733	Yes	
row_37	DPCD	na	17233	-0.24977397918701172	-0.61192733	Yes	
row_38	DNAI1	na	17293	-0.2551056742668152	-0.59946567	Yes	
row_39	CFAP53	na	17295	-0.2551904320716858	-0.58389246	Yes	
row_40	CCDC65	na	17336	-0.25881028175354004	-0.5701864	Yes	
row_41	WDR63	na	17348	-0.25977030396461487	-0.5548683	Yes	
row_42	LRRC6	na	17356	-0.2601887285709381	-0.53931034	Yes	
row_43	CFAP298	na	17448	-0.2673893868923187	-0.5278104	Yes	
row_44	TEKT1	na	17450	-0.26773491501808167	-0.511469	Yes	
row_45	CFAP43	na	17491	-0.2718285024166107	-0.49696574	Yes	
row_46	CCDC40	na	17565	-0.27928125858306885	-0.48377353	Yes	
row_47	TEKT3	na	17603	-0.2837739884853363	-0.4683781	Yes	
row_48	CFAP61	na	17612	-0.28486570715904236	-0.45136258	Yes	
row_49	TEKT2	na	17623	-0.28631505370140076	-0.43436545	Yes	
row_50	GAS8	na	17715	-0.2966034710407257	-0.42107657	Yes	
row_51	RSPH4A	na	17962	-0.32572680711746216	-0.41430596	Yes	
row_52	TTLL1	na	18061	-0.34156131744384766	-0.39863896	Yes	
row_53	BBS4	na	18089	-0.3454243838787079	-0.3789327	Yes	
row_54	DNAH3	na	18143	-0.35320809483528137	-0.36014235	Yes	
row_55	PIH1D3	na	18219	-0.3650949001312256	-0.34180242	Yes	
row_56	ROPN1L	na	18242	-0.3685891926288605	-0.32040986	Yes	
row_57	RFX3	na	18288	-0.3794291317462921	-0.29958537	Yes	
row_58	DNAH11	na	18335	-0.3890065550804138	-0.27822796	Yes	
row_59	DNAAF4	na	18372	-0.39704465866088867	-0.25584275	Yes	
row_60	WDR78	na	18415	-0.40560394525527954	-0.23325475	Yes	
row_61	DNAAF1	na	18436	-0.4128030836582184	-0.2090476	Yes	
row_62	KIF27	na	18450	-0.41776299476623535	-0.18416183	Yes	
row_63	GAS2L2	na	18458	-0.41964778304100037	-0.15883929	Yes	
row_64	TEKT4	na	18462	-0.42012399435043335	-0.13327333	Yes	
row_65	CFAP73	na	18480	-0.42472603917121887	-0.108175404	Yes	
row_66	DNAH9	na	18541	-0.44838374853134155	-0.08393181	Yes	
row_67	WDR66	na	18568	-0.46195217967033386	-0.05703634	Yes	
row_68	NME5	na	18612	-0.4816252291202545	-0.02984668	Yes	
row_69	SPA17	na	18721	-0.5984829068183899	0.0010175208	Yes	
