NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB4A	na	137	0.5069029927253723	0.0011039109	No	
row_1	KIF3C	na	240	0.4628078043460846	0.0033679127	No	
row_2	ADAMTS16	na	362	0.4290003180503845	0.0040271026	No	
row_3	TUB	na	383	0.4242284595966339	0.010102017	No	
row_4	NINL	na	490	0.4037054181098938	0.011150373	No	
row_5	SNX10	na	507	0.4007258415222168	0.017046109	No	
row_6	TMEM237	na	722	0.3632591962814331	0.011534281	No	
row_7	NEURL1	na	750	0.35843557119369507	0.016117321	No	
row_8	ASAP1	na	1045	0.325153112411499	0.0056085503	No	
row_9	KCTD17	na	1105	0.31788283586502075	0.0077654365	No	
row_10	CELSR3	na	1224	0.3058347702026367	0.006508176	No	
row_11	PLK1	na	1226	0.3057837188243866	0.011617054	No	
row_12	CEP72	na	1246	0.30370819568634033	0.015711349	No	
row_13	DZIP1	na	1270	0.30146142840385437	0.01955003	No	
row_14	CDKL5	na	1511	0.2780030071735382	0.011183722	No	
row_15	CEP76	na	1541	0.2757164239883423	0.014261174	No	
row_16	HAUS8	na	1595	0.2705989181995392	0.015946163	No	
row_17	CCDC88A	na	1696	0.26185598969459534	0.014925839	No	
row_18	EHD3	na	1715	0.2602995038032532	0.018341577	No	
row_19	HAUS5	na	1751	0.25786447525024414	0.020791076	No	
row_20	CPLANE1	na	1862	0.24764658510684967	0.018986633	No	
row_21	WWTR1	na	1865	0.2476235181093216	0.023059031	No	
row_22	AVIL	na	1933	0.24334512650966644	0.023521965	No	
row_23	DCDC2	na	1961	0.24138452112674713	0.026128545	No	
row_24	TBC1D32	na	2006	0.23834939301013947	0.027758755	No	
row_25	LAMA5	na	2301	0.21871347725391388	0.015452702	No	
row_26	ABCC4	na	2325	0.217533677816391	0.017874224	No	
row_27	ONECUT2	na	2360	0.2155100256204605	0.019662969	No	
row_28	TUBA4A	na	2473	0.20924562215805054	0.017101271	No	
row_29	PRKAR2B	na	2790	0.19245320558547974	0.0031545875	No	
row_30	PCNT	na	2814	0.1912783682346344	0.005132777	No	
row_31	TTC30A	na	2881	0.18730296194553375	0.004703832	No	
row_32	HAP1	na	3050	0.17908333241939545	-0.0014146245	No	
row_33	HAUS6	na	3214	0.172702357172966	-0.0073687322	No	
row_34	MAPRE1	na	3234	0.1719496101140976	-0.0054992423	No	
row_35	HAUS3	na	3385	0.16478709876537323	-0.0108795585	No	
row_36	IFT52	na	3412	0.16327746212482452	-0.009537433	No	
row_37	HDAC6	na	3543	0.15865784883499146	-0.013932869	No	
row_38	CDK1	na	3690	0.1525987982749939	-0.019301314	No	
row_39	FLNA	na	3716	0.1512775719165802	-0.018107394	No	
row_40	CDKN3	na	3798	0.14837899804115295	-0.02000987	No	
row_41	CELSR2	na	3991	0.1406458020210266	-0.028083414	No	
row_42	BBS10	na	4029	0.13925395905971527	-0.027745543	No	
row_43	DNM2	na	4132	0.13565634191036224	-0.031005641	No	
row_44	ARHGAP35	na	4426	0.12466056644916534	-0.044845402	No	
row_45	POC1A	na	4443	0.12415021657943726	-0.04361977	No	
row_46	CEP192	na	4563	0.12029257416725159	-0.048064414	No	
row_47	ACTR3	na	4613	0.11856590956449509	-0.048728894	No	
row_48	SPAG16	na	4618	0.11848804354667664	-0.046945848	No	
row_49	IFT80	na	4723	0.11535551398992538	-0.050657574	No	
row_50	BBS1	na	4752	0.1143304705619812	-0.050250776	No	
row_51	MARK4	na	5047	0.10506244748830795	-0.06447588	No	
row_52	ATG5	na	5070	0.10447145998477936	-0.06390905	No	
row_53	TTC36	na	5095	0.10340363532304764	-0.06346908	No	
row_54	CLASP1	na	5240	0.09954728186130524	-0.06962448	No	
row_55	CEP135	na	5267	0.09855015575885773	-0.069375314	No	
row_56	GFY	na	5311	0.09717469662427902	-0.070074484	No	
row_57	PRKACA	na	5341	0.09597843885421753	-0.070031986	No	
row_58	NEK2	na	5439	0.09274797141551971	-0.07374452	No	
row_59	CDC14B	na	5449	0.09244181215763092	-0.072673365	No	
row_60	KIF17	na	5464	0.09202378988265991	-0.07188137	No	
row_61	CEP131	na	5627	0.08760961145162582	-0.07921789	No	
row_62	TMEM216	na	5647	0.08700277656316757	-0.07878276	No	
row_63	CEP164	na	5677	0.08573867380619049	-0.07891317	No	
row_64	TUBB	na	5728	0.08437338471412659	-0.08020943	No	
row_65	ABLIM1	na	5813	0.0821140855550766	-0.08339407	No	
row_66	CKAP5	na	5852	0.080967977643013	-0.08409481	No	
row_67	HYLS1	na	5877	0.08015723526477814	-0.08404737	No	
row_68	EHD1	na	6078	0.07474672794342041	-0.093669	No	
row_69	CCDC28B	na	6131	0.07339460402727127	-0.09525947	No	
row_70	FAM161A	na	6137	0.0731591135263443	-0.09429624	No	
row_71	CEP63	na	6172	0.07214494049549103	-0.09492828	No	
row_72	HAUS7	na	6368	0.06700222939252853	-0.104408585	No	
row_73	KIF3B	na	6420	0.06564956158399582	-0.10607542	No	
row_74	CEP89	na	6428	0.0653621256351471	-0.105352685	No	
row_75	SSX2IP	na	6478	0.06430302560329437	-0.10693342	No	
row_76	IQCB1	na	6545	0.06266207247972488	-0.109466985	No	
row_77	ABLIM3	na	6565	0.06217877194285393	-0.109451026	No	
row_78	FHDC1	na	6579	0.061777256429195404	-0.10911533	No	
row_79	PKHD1	na	6687	0.059224676340818405	-0.11393811	No	
row_80	TTC39C	na	6704	0.058919310569763184	-0.11381393	No	
row_81	SEPTIN6	na	6740	0.05828362703323364	-0.11473444	No	
row_82	TTC17	na	6843	0.0554785430431366	-0.119348384	No	
row_83	RSPH6A	na	6871	0.054801952093839645	-0.11989234	No	
row_84	RAB23	na	7025	0.05105547606945038	-0.12735632	No	
row_85	NECTIN2	na	7071	0.049892913550138474	-0.1289627	No	
row_86	DCTN1	na	7113	0.04874676093459129	-0.13037075	No	
row_87	CEP19	na	7147	0.0479312464594841	-0.13135724	No	
row_88	UBE2B	na	7169	0.047499801963567734	-0.13169798	No	
row_89	CSNK1D	na	7366	0.04269542545080185	-0.14164314	No	
row_90	WDR11	na	7386	0.04210909828543663	-0.14196606	No	
row_91	DYNLL2	na	7392	0.041953325271606445	-0.14152975	No	
row_92	ALMS1	na	7437	0.040916409343481064	-0.14323328	No	
row_93	OCRL	na	7778	0.03352934494614601	-0.16116953	No	
row_94	MKKS	na	7875	0.031100060790777206	-0.1658686	No	
row_95	UNC119B	na	7931	0.03000464476644993	-0.16835499	No	
row_96	AKAP9	na	7957	0.029208777472376823	-0.16922225	No	
row_97	PTPDC1	na	8049	0.02726728841662407	-0.17371394	No	
row_98	RAB8A	na	8074	0.026650799438357353	-0.17456998	No	
row_99	ACTR2	na	8085	0.026387372985482216	-0.17466861	No	
row_100	HTT	na	8096	0.026055602356791496	-0.17477283	No	
row_101	DYNC1I2	na	8188	0.02415146678686142	-0.17931713	No	
row_102	FOPNL	na	8220	0.02335538901388645	-0.18060975	No	
row_103	WDPCP	na	8292	0.021836837753653526	-0.18410476	No	
row_104	PTPN23	na	8433	0.018549973145127296	-0.19141017	No	
row_105	IFT57	na	8538	0.01632050611078739	-0.19679415	No	
row_106	RAB3IP	na	8591	0.015091185458004475	-0.1993691	No	
row_107	NPHP3	na	8610	0.014719827100634575	-0.2001001	No	
row_108	E2F4	na	8618	0.014544214121997356	-0.20023544	No	
row_109	DNAH1	na	8652	0.013872058130800724	-0.20179702	No	
row_110	VANGL2	na	8862	0.009039357304573059	-0.21301793	No	
row_111	FUZ	na	8888	0.00859630573540926	-0.21423323	No	
row_112	WDR19	na	8902	0.008165440522134304	-0.2148028	No	
row_113	ATAT1	na	8974	0.00670689158141613	-0.21855329	No	
row_114	DYNLRB1	na	9115	0.0036821519024670124	-0.22610974	No	
row_115	CEP97	na	9269	4.144879640080035E-4	-0.23442882	No	
row_116	PLK4	na	9294	-8.441766112810001E-5	-0.23573345	No	
row_117	ARL13B	na	9469	-0.003299847710877657	-0.2451466	No	
row_118	TMEM67	na	9513	-0.00421247398480773	-0.24741548	No	
row_119	NPHP4	na	9521	-0.004508019890636206	-0.2477203	No	
row_120	OFD1	na	9527	-0.004715440794825554	-0.24791276	No	
row_121	RO60	na	9571	-0.005713860038667917	-0.25015628	No	
row_122	SNAP29	na	9664	-0.007702832575887442	-0.25503275	No	
row_123	CEP152	na	9682	-0.00806703045964241	-0.25582168	No	
row_124	HSP90AA1	na	9750	-0.009485109709203243	-0.25930756	No	
row_125	TTLL3	na	9877	-0.011942964978516102	-0.26596266	No	
row_126	DCTN2	na	9973	-0.013770396821200848	-0.27089995	No	
row_127	MAP4	na	10012	-0.01462023425847292	-0.272721	No	
row_128	PKD2	na	10020	-0.014766417443752289	-0.27285257	No	
row_129	C2CD3	na	10120	-0.0166093111038208	-0.2779596	No	
row_130	IFT172	na	10231	-0.018795346841216087	-0.28362828	No	
row_131	ARMC9	na	10245	-0.019063761457800865	-0.28401384	No	
row_132	CCDC151	na	10248	-0.01911104843020439	-0.28379998	No	
row_133	SDCCAG8	na	10256	-0.01931268908083439	-0.2838548	No	
row_134	DYNC2LI1	na	10270	-0.01954200305044651	-0.28423226	No	
row_135	TMEM138	na	10330	-0.020552225410938263	-0.28709593	No	
row_136	STK36	na	10339	-0.020675402134656906	-0.28718218	No	
row_137	MAPK15	na	10361	-0.021152595058083534	-0.2879678	No	
row_138	RP1L1	na	10372	-0.02149774134159088	-0.288149	No	
row_139	LCA5	na	10443	-0.023136621341109276	-0.29156762	No	
row_140	HSPB11	na	10477	-0.0238056443631649	-0.29296148	No	
row_141	CDK5RAP2	na	10523	-0.024651851505041122	-0.2949941	No	
row_142	GORAB	na	10586	-0.025858812034130096	-0.2979314	No	
row_143	SEPTIN9	na	10684	-0.027859369292855263	-0.30273962	No	
row_144	HYDIN	na	10687	-0.027891479432582855	-0.3023775	No	
row_145	SEPTIN2	na	10715	-0.028413401916623116	-0.30336702	No	
row_146	YWHAG	na	10755	-0.02913227491080761	-0.30499744	No	
row_147	TTC21B	na	10803	-0.03004029393196106	-0.30704787	No	
row_148	CEP70	na	10824	-0.030557826161384583	-0.3076203	No	
row_149	NOTCH1	na	10835	-0.03079899586737156	-0.3076444	No	
row_150	CFAP54	na	10869	-0.03167060762643814	-0.30890545	No	
row_151	NEDD1	na	10936	-0.03291507065296173	-0.31194133	No	
row_152	DYNC1H1	na	11033	-0.03492499887943268	-0.3165758	No	
row_153	MNS1	na	11105	-0.036659710109233856	-0.31982052	No	
row_154	WDR35	na	11125	-0.03709932789206505	-0.32022804	No	
row_155	DNAAF5	na	11136	-0.0373816192150116	-0.32014102	No	
row_156	NUDCD3	na	11148	-0.03766811266541481	-0.3201036	No	
row_157	PPP2R1A	na	11158	-0.03785841166973114	-0.3199541	No	
row_158	KIF3A	na	11274	-0.03999459743499756	-0.32553694	No	
row_159	SEPTIN11	na	11299	-0.040410853922367096	-0.32616064	No	
row_160	EVI5L	na	11333	-0.04142364487051964	-0.32725698	No	
row_161	GALNT11	na	11340	-0.04159952327609062	-0.32688108	No	
row_162	TNPO1	na	11377	-0.042442575097084045	-0.32812348	No	
row_163	CCDC39	na	11444	-0.043738801032304764	-0.33097658	No	
row_164	SYNE2	na	11466	-0.04414089396595955	-0.33137405	No	
row_165	TMEM80	na	11557	-0.04610435664653778	-0.33549324	No	
row_166	PAFAH1B1	na	11581	-0.04643336310982704	-0.33596084	No	
row_167	CNTROB	na	11595	-0.04675363004207611	-0.33587882	No	
row_168	CEP57	na	11617	-0.04719727486371994	-0.33622465	No	
row_169	VDAC3	na	11651	-0.04806520417332649	-0.33720887	No	
row_170	TEKT5	na	11711	-0.04942234978079796	-0.33958507	No	
row_171	CPLANE2	na	11765	-0.05080786719918251	-0.34161136	No	
row_172	IFT122	na	11838	-0.052636537700891495	-0.3446407	No	
row_173	TTC30B	na	11971	-0.056240860372781754	-0.35087433	No	
row_174	SEPTIN7	na	11997	-0.05681377276778221	-0.35127547	No	
row_175	TRIP11	na	11999	-0.056845322251319885	-0.35037005	No	
row_176	SPAG17	na	12002	-0.056964077055454254	-0.34951702	No	
row_177	DCTN3	na	12066	-0.05807020142674446	-0.35196486	No	
row_178	FAM92A	na	12196	-0.06092477962374687	-0.35795614	No	
row_179	CEP290	na	12220	-0.06151242181658745	-0.3581691	No	
row_180	ACTR1A	na	12255	-0.06238710135221481	-0.3589659	No	
row_181	DCX	na	12256	-0.06246230751276016	-0.3579112	No	
row_182	CSNK1E	na	12291	-0.06314104050397873	-0.3586953	No	
row_183	CFAP20	na	12309	-0.06363841146230698	-0.35854584	No	
row_184	TOGARAM1	na	12331	-0.0641140565276146	-0.35860604	No	
row_185	DYNC2H1	na	12384	-0.06541859358549118	-0.3603312	No	
row_186	CENPJ	na	12627	-0.07146561145782471	-0.37229383	No	
row_187	SCLT1	na	12691	-0.07292130589485168	-0.3744909	No	
row_188	FNBP1L	na	12763	-0.074723981320858	-0.37709287	No	
row_189	ATG3	na	12768	-0.07482612878084183	-0.37604707	No	
row_190	FGFR1OP	na	12833	-0.07672417163848877	-0.37823436	No	
row_191	TUBA1A	na	12845	-0.0769096240401268	-0.37753433	No	
row_192	TBC1D7	na	12895	-0.07808779925107956	-0.3788823	No	
row_193	KIFAP3	na	12994	-0.08048564195632935	-0.3828563	No	
row_194	MKS1	na	13125	-0.0838472917675972	-0.38851494	No	
row_195	CEP250	na	13177	-0.0853358805179596	-0.38984936	No	
row_196	SFI1	na	13205	-0.08600202202796936	-0.3898665	No	
row_197	TMEM17	na	13308	-0.08847907185554504	-0.3939232	No	
row_198	ATXN10	na	13454	-0.0920744240283966	-0.4002592	No	
row_199	RTTN	na	13598	-0.09638813138008118	-0.40641356	No	
row_200	HAUS1	na	13639	-0.09747864305973053	-0.40694433	No	
row_201	IFT20	na	13640	-0.09750731289386749	-0.40529788	No	
row_202	CCDC66	na	13643	-0.09763851761817932	-0.40375805	No	
row_203	TCTN3	na	13728	-0.10003300756216049	-0.4066401	No	
row_204	TPGS1	na	13730	-0.10012401640415192	-0.4050039	No	
row_205	NME8	na	13745	-0.10070619732141495	-0.40406528	No	
row_206	GSN	na	13751	-0.10083851963281631	-0.40263468	No	
row_207	ENTR1	na	13865	-0.10427962243556976	-0.4070232	No	
row_208	HAUS2	na	13868	-0.10435901582241058	-0.40536988	No	
row_209	YWHAE	na	13873	-0.10445892065763474	-0.4038237	No	
row_210	DYNLL1	na	13940	-0.10633984953165054	-0.40561977	No	
row_211	TCHP	na	14000	-0.10794329643249512	-0.4070078	No	
row_212	ATMIN	na	14033	-0.1088535487651825	-0.40691116	No	
row_213	SPAG1	na	14099	-0.11088771373033524	-0.40857598	No	
row_214	CDKL1	na	14127	-0.11166136711835861	-0.40815985	No	
row_215	NPHP1	na	14145	-0.1123047024011612	-0.40718865	No	
row_216	EXOC5	na	14221	-0.11441542953252792	-0.40933812	No	
row_217	NDE1	na	14323	-0.11730640381574631	-0.41285363	No	
row_218	CEP78	na	14332	-0.11747828871011734	-0.4113053	No	
row_219	RABEP2	na	14387	-0.11884716153144836	-0.41223714	No	
row_220	FBF1	na	14475	-0.12177883833646774	-0.4149153	No	
row_221	IFT81	na	14479	-0.12197182327508926	-0.413019	No	
row_222	TXNDC15	na	14504	-0.12264595925807953	-0.4122541	No	
row_223	WRAP73	na	14521	-0.12312393635511398	-0.41104582	No	
row_224	CEP162	na	14606	-0.12541387975215912	-0.41349933	No	
row_225	ARMC2	na	14630	-0.12618425488471985	-0.41262028	No	
row_226	TUBG1	na	14685	-0.12816955149173737	-0.4133947	No	
