NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.0221555	Yes	
row_1	RFC4	na	103	0.5232597589492798	0.043543376	Yes	
row_2	POLQ	na	217	0.4729035496711731	0.058740623	Yes	
row_3	EME1	na	281	0.45057761669158936	0.07562215	Yes	
row_4	TICRR	na	528	0.39684638381004333	0.080246285	Yes	
row_5	MCM10	na	559	0.3919670283794403	0.096265696	Yes	
row_6	GINS4	na	618	0.37900403141975403	0.11019635	Yes	
row_7	SENP2	na	649	0.37427785992622375	0.12542002	Yes	
row_8	DNA2	na	668	0.371001273393631	0.14114156	Yes	
row_9	DBF4B	na	740	0.36046454310417175	0.15353918	Yes	
row_10	CDC7	na	746	0.35908347368240356	0.16942364	Yes	
row_11	ORC1	na	748	0.35876765847206116	0.18550898	Yes	
row_12	RTEL1	na	864	0.3441723883152008	0.19480772	Yes	
row_13	GINS1	na	1009	0.3287258446216583	0.20185223	Yes	
row_14	HMGA1	na	1128	0.3151532709598541	0.20968424	Yes	
row_15	PRIM2	na	1147	0.31343668699264526	0.22281624	Yes	
row_16	TONSL	na	1251	0.30319443345069885	0.23091687	Yes	
row_17	MMS22L	na	1306	0.29788216948509216	0.24141337	Yes	
row_18	ATAD5	na	1374	0.2907862663269043	0.25089163	Yes	
row_19	HELB	na	1489	0.2800351083278656	0.25735894	Yes	
row_20	DSCC1	na	1513	0.2779068052768707	0.26862377	Yes	
row_21	BRCA2	na	1627	0.26774850487709045	0.27459213	Yes	
row_22	MCM2	na	1632	0.26727724075317383	0.28640047	Yes	
row_23	RECQL4	na	1740	0.25891563296318054	0.29229414	Yes	
row_24	CHEK2	na	1840	0.24993017315864563	0.29821378	Yes	
row_25	GEN1	na	1860	0.24782557785511017	0.30834052	Yes	
row_26	CDC45	na	1893	0.2457890510559082	0.31767657	Yes	
row_27	RECQL5	na	1936	0.243081733584404	0.32635316	Yes	
row_28	MGME1	na	1960	0.24151690304279327	0.33598098	Yes	
row_29	BLM	na	2060	0.2355293482542038	0.3412528	Yes	
row_30	CHTF18	na	2251	0.22203314304351807	0.34102422	Yes	
row_31	MCM4	na	2352	0.21578426659107208	0.34535405	Yes	
row_32	ZNF365	na	2361	0.2154948115348816	0.35461786	Yes	
row_33	CDK2	na	2422	0.21235190331935883	0.36094415	Yes	
row_34	FBXO5	na	2453	0.2100917547941208	0.36878195	Yes	
row_35	ORC6	na	2462	0.2096586972475052	0.37778324	Yes	
row_36	GMNN	na	2542	0.20528818666934967	0.3827701	Yes	
row_37	MCM6	na	2618	0.2009344846010208	0.3877762	Yes	
row_38	E2F8	na	2671	0.19840985536575317	0.3939055	Yes	
row_39	POLG2	na	2787	0.19261178374290466	0.3963863	Yes	
row_40	POLD1	na	2975	0.1826566904783249	0.3945477	Yes	
row_41	TIMELESS	na	3075	0.17818260192871094	0.39723977	Yes	
row_42	PRIM1	na	3080	0.1781134158372879	0.4050371	Yes	
row_43	TERF1	na	3123	0.17599770426750183	0.4106959	Yes	
row_44	WDHD1	na	3302	0.1685175746679306	0.4087052	Yes	
row_45	ORC3	na	3408	0.16339820623397827	0.41040957	Yes	
row_46	MCMDC2	na	3778	0.14909718930721283	0.39727476	Yes	
row_47	MCM7	na	3791	0.14855845272541046	0.40331239	Yes	
row_48	SLFN11	na	3810	0.14800621569156647	0.40900254	Yes	
row_49	MCM3	na	3892	0.14482368528842926	0.41116187	Yes	
row_50	ORC4	na	3911	0.14396542310714722	0.41667023	Yes	
row_51	TWNK	na	3947	0.14237934350967407	0.42119312	Yes	
row_52	ZRANB3	na	4019	0.1397237330675125	0.42366076	Yes	
row_53	RAD51	na	4037	0.13905422389507294	0.42900196	Yes	
row_54	WIZ	na	4063	0.13811658322811127	0.4338708	Yes	
row_55	RECQL	na	4071	0.13778407871723175	0.4396926	Yes	
row_56	RFC1	na	4087	0.13705326616764069	0.44505134	Yes	
row_57	POLE2	na	4168	0.13451100885868073	0.44680053	Yes	
