NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.0648756	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.13032132	Yes	
row_2	MEIOC	na	154	0.4974408745765686	0.18601575	Yes	
row_3	RNF212	na	197	0.47865647077560425	0.24137457	Yes	
row_4	MAJIN	na	295	0.44717392325401306	0.29000354	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.33219856	Yes	
row_6	TEX15	na	483	0.4043155014514923	0.37850374	Yes	
row_7	CCDC155	na	762	0.3572874665260315	0.40663657	Yes	
row_8	SYCP2	na	844	0.3467279076576233	0.44403276	Yes	
row_9	CCDC36	na	933	0.33718207478523254	0.47990584	Yes	
row_10	FANCD2	na	1095	0.3194115459918976	0.5097368	Yes	
row_11	MLH1	na	1145	0.31355875730514526	0.5448523	Yes	
row_12	PLK1	na	1226	0.3057837188243866	0.5773745	Yes	
row_13	SYCE2	na	1509	0.27810826897621155	0.5957645	Yes	
row_14	STAG3	na	1846	0.24926500022411346	0.6077957	Yes	
row_15	PTTG1	na	2583	0.20254936814308167	0.5928157	Yes	
row_16	TERF1	na	3123	0.17599770426750183	0.58517444	Yes	
row_17	HORMAD1	na	3129	0.17582300305366516	0.60606676	Yes	
row_18	NDC1	na	3356	0.16598382592201233	0.61395746	Yes	
row_19	BRIP1	na	3405	0.16352973878383636	0.631071	Yes	
row_20	MCMDC2	na	3778	0.14909718930721283	0.6291223	No	
row_21	MRE11	na	4778	0.11365078389644623	0.5893802	No	
row_22	AGO4	na	5476	0.09167396277189255	0.5631421	No	
row_23	P3H4	na	6611	0.06116345524787903	0.5098645	No	
row_24	BAG6	na	6618	0.06103222444653511	0.5168887	No	
row_25	MAEL	na	7078	0.04976196959614754	0.49833322	No	
row_26	UBE2B	na	7169	0.047499801963567734	0.49923706	No	
row_27	DMC1	na	7176	0.04730837792158127	0.50460964	No	
row_28	ANKRD31	na	7909	0.030389895662665367	0.46912467	No	
row_29	CCNE2	na	8445	0.018253644928336143	0.44271335	No	
row_30	MEI1	na	9486	-0.0037220600061118603	0.38754928	No	
row_31	CENPC	na	9723	-0.008875067345798016	0.37599772	No	
row_32	ATM	na	10125	-0.0167401023209095	0.35656962	No	
row_33	REC8	na	10756	-0.02923032082617283	0.32639936	No	
row_34	MLH3	na	12375	-0.06523103266954422	0.24773026	No	
row_35	SYCE3	na	12927	-0.07879174500703812	0.22774892	No	
row_36	SUN1	na	13463	-0.09232190251350403	0.21025144	No	
row_37	CCNB1IP1	na	15130	-0.14287787675857544	0.13836017	No	
row_38	FMN2	na	16755	-0.216278538107872	0.07754828	No	
row_39	SYCE1L	na	17069	-0.23716723918914795	0.08935348	No	
