NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2RL1	na	6291	0.06911960989236832	-0.31946513	No	
row_1	ANXA4	na	6566	0.06215963885188103	-0.31910327	No	
row_2	CHI3L1	na	6617	0.06104040890932083	-0.3070425	No	
row_3	SSC5D	na	8729	0.012103628367185593	-0.4169185	No	
row_4	RAB1A	na	9702	-0.008504844270646572	-0.46680275	No	
row_5	F2R	na	10168	-0.017550824210047722	-0.48741314	No	
row_6	FCN1	na	11826	-0.052324578166007996	-0.56332296	No	
row_7	TLR6	na	13121	-0.08374316990375519	-0.61225355	Yes	
row_8	FFAR2	na	13210	-0.0861533135175705	-0.59616214	Yes	
row_9	TMSB4X	na	13270	-0.08757318556308746	-0.57817847	Yes	
row_10	CD14	na	13766	-0.10116171091794968	-0.580212	Yes	
row_11	HYAL2	na	13771	-0.10124141722917557	-0.55599064	Yes	
row_12	TLR1	na	13832	-0.1028713583946228	-0.5343681	Yes	
row_13	WNT5A	na	14106	-0.11102421581745148	-0.5221591	Yes	
row_14	NOS2	na	14912	-0.1355084478855133	-0.5324671	Yes	
row_15	CD244	na	15019	-0.13939686119556427	-0.5044869	Yes	
row_16	LGALS9	na	15914	-0.1736954152584076	-0.51033384	Yes	
row_17	PTPN22	na	15987	-0.17722490429878235	-0.47140697	Yes	
row_18	TLR2	na	15990	-0.17745421826839447	-0.42868438	Yes	
row_19	MAPKBP1	na	16232	-0.18846732378005981	-0.39607427	Yes	
row_20	CD2	na	17021	-0.23394827544689178	-0.381715	Yes	
row_21	TLR4	na	17776	-0.3025907278060913	-0.3489718	Yes	
row_22	PYCARD	na	17824	-0.3068491816520691	-0.27742362	Yes	
row_23	CD58	na	18184	-0.360098659992218	-0.20969456	Yes	
row_24	ANXA1	na	18356	-0.39412736892700195	-0.123707086	Yes	
row_25	C5AR2	na	18720	-0.5973444581031799	0.0010686636	Yes	
