NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF3C	na	240	0.4628078043460846	0.04337876	No	
row_1	TUB	na	383	0.4242284595966339	0.08731474	No	
row_2	TTC30A	na	2881	0.18730296194553375	-0.023540251	No	
row_3	IFT52	na	3412	0.16327746212482452	-0.03206471	No	
row_4	IFT80	na	4723	0.11535551398992538	-0.088146366	No	
row_5	KIF17	na	5464	0.09202378988265991	-0.11656307	No	
row_6	CEP131	na	5627	0.08760961145162582	-0.114588715	No	
row_7	KIF3B	na	6420	0.06564956158399582	-0.14899166	No	
row_8	SSX2IP	na	6478	0.06430302560329437	-0.14423025	No	
row_9	DYNLL2	na	7392	0.041953325271606445	-0.18798614	No	
row_10	IFT57	na	8538	0.01632050611078739	-0.24726956	No	
row_11	WDR19	na	8902	0.008165440522134304	-0.26570085	No	
row_12	DYNLRB1	na	9115	0.0036821519024670124	-0.2765971	No	
row_13	IFT172	na	10231	-0.018795346841216087	-0.33397466	No	
row_14	DYNC2LI1	na	10270	-0.01954200305044651	-0.33363405	No	
row_15	LCA5	na	10443	-0.023136621341109276	-0.34002677	No	
row_16	HSPB11	na	10477	-0.0238056443631649	-0.33890066	No	
row_17	TTC21B	na	10803	-0.03004029393196106	-0.35264134	No	
row_18	WDR35	na	11125	-0.03709932789206505	-0.36531052	No	
row_19	KIF3A	na	11274	-0.03999459743499756	-0.3683712	No	
row_20	TNPO1	na	11377	-0.042442575097084045	-0.36867315	No	
row_21	IFT122	na	11838	-0.052636537700891495	-0.3868924	No	
row_22	TTC30B	na	11971	-0.056240860372781754	-0.38712344	No	
row_23	TRIP11	na	11999	-0.056845322251319885	-0.38166273	No	
row_24	DYNC2H1	na	12384	-0.06541859358549118	-0.3942627	No	
row_25	KIFAP3	na	12994	-0.08048564195632935	-0.41707155	No	
row_26	IFT20	na	13640	-0.09750731289386749	-0.43973893	No	
row_27	DYNLL1	na	13940	-0.10633984953165054	-0.4428198	No	
row_28	IFT81	na	14479	-0.12197182327508926	-0.45679	No	
row_29	IFT22	na	14825	-0.13251732289791107	-0.45915225	Yes	
row_30	ARL3	na	14972	-0.13783584535121918	-0.45022044	Yes	
row_31	IFT27	na	15094	-0.1417061984539032	-0.43948078	Yes	
row_32	SSNA1	na	15441	-0.15336471796035767	-0.43936405	Yes	
row_33	RPGR	na	15530	-0.1571020483970642	-0.4249884	Yes	
row_34	MAK	na	15768	-0.16678273677825928	-0.41740936	Yes	
row_35	TRAF3IP1	na	16014	-0.1789204180240631	-0.40878397	Yes	
row_36	IFT140	na	16372	-0.19532357156276703	-0.40415877	Yes	
row_37	IFT46	na	16773	-0.21754798293113708	-0.39913464	Yes	
row_38	WDR34	na	16958	-0.22970689833164215	-0.3810759	Yes	
row_39	WDR60	na	17094	-0.23848950862884521	-0.3593284	Yes	
row_40	BBS12	na	17097	-0.23870527744293213	-0.33043817	Yes	
row_41	PCM1	na	17134	-0.24138349294662476	-0.30304188	Yes	
row_42	TTC26	na	17222	-0.24851550161838531	-0.27750808	Yes	
row_43	IFT43	na	17229	-0.2490944117307663	-0.24756987	Yes	
row_44	TCTEX1D2	na	17508	-0.2732394337654114	-0.2292526	Yes	
row_45	IFT74	na	17698	-0.2948738634586334	-0.2035451	Yes	
row_46	DYNLRB2	na	17762	-0.3009365200996399	-0.17035918	Yes	
row_47	IFT88	na	18043	-0.33862847089767456	-0.14420566	Yes	
row_48	RABL2B	na	18135	-0.35093945264816284	-0.10644373	Yes	
row_49	CLUAP1	na	18233	-0.36691784858703613	-0.06706185	Yes	
row_50	LCA5L	na	18311	-0.3841545283794403	-0.024515951	Yes	
row_51	TTC21A	na	18342	-0.3903367817401886	0.021295797	Yes	
