NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOSTDC1	na	3218	0.17259250581264496	-0.13502704	No	
row_1	EPHA2	na	3848	0.14647389948368073	-0.13727905	No	
row_2	SCRIB	na	4402	0.1255165934562683	-0.13995689	No	
row_3	SRC	na	4805	0.11290449649095535	-0.13726526	No	
row_4	MED1	na	5308	0.09721646457910538	-0.14327736	No	
row_5	FGFR2	na	5482	0.09140685945749283	-0.13295023	No	
row_6	WNT4	na	5580	0.08898427337408066	-0.11908008	No	
row_7	ETV5	na	5722	0.08449243009090424	-0.10852333	No	
row_8	LRP6	na	6494	0.06377740204334259	-0.13607234	No	
row_9	PML	na	6821	0.055883586406707764	-0.14152884	No	
row_10	DDR1	na	7238	0.04572761431336403	-0.15397006	No	
row_11	CSF1	na	8853	0.009217868559062481	-0.23825566	No	
row_12	GLI2	na	9022	0.005516269709914923	-0.24605313	No	
row_13	AREG	na	9174	0.0023494360502809286	-0.25362018	No	
row_14	LRP5	na	10193	-0.018116779625415802	-0.3041473	No	
row_15	PHB2	na	10540	-0.02495724707841873	-0.31729499	No	
row_16	KDM5B	na	10928	-0.03273676708340645	-0.33096805	No	
row_17	BTRC	na	11698	-0.049153607338666916	-0.36154157	No	
row_18	CSF1R	na	12275	-0.06277479231357574	-0.3788836	No	
row_19	WNT5A	na	14106	-0.11102421581745148	-0.4529133	No	
row_20	CCL11	na	14432	-0.12020689994096756	-0.4445428	No	
row_21	TBX3	na	14654	-0.12683461606502533	-0.42919484	No	
row_22	VDR	na	16946	-0.22868280112743378	-0.50266814	Yes	
row_23	NTN1	na	17230	-0.24953223764896393	-0.46436042	Yes	
row_24	LRP5L	na	17315	-0.25756728649139404	-0.41369668	Yes	
row_25	AR	na	17707	-0.29587528109550476	-0.3712375	Yes	
row_26	MSX2	na	18304	-0.3825538456439972	-0.32117385	Yes	
row_27	PTCH1	na	18595	-0.47499802708625793	-0.23496106	Yes	
row_28	PGR	na	18700	-0.5553110241889954	-0.121610105	Yes	
row_29	ESR1	na	18709	-0.5776579976081848	0.0016566897	Yes	
